ds,P,PrA,T,UR,VV
2022-04-09,0.2,1008.975,20.870833333333337,86.33333333333333,1.5166666666666666
2022-04-10,0.0,1007.9958333333334,22.554166666666664,83.375,1.4708333333333332
2022-04-11,0.8,1003.975,22.333333333333332,79.08333333333333,1.0833333333333333
2022-04-12,0.4,1003.3583333333332,21.8375,85.45833333333333,0.9291666666666668
2022-04-13,0.6000000000000001,1006.9708333333332,21.170833333333334,80.04166666666667,1.1
2022-04-14,0.2,1011.8291666666668,18.954166666666666,61.75,1.3375
2022-04-15,0.4,1013.7583333333332,16.279166666666665,74.20833333333333,1.225
2022-04-16,0.0,1015.025,16.908333333333335,77.29166666666667,0.9583333333333334
2022-04-17,0.0,1015.3041666666668,18.233333333333334,78.66666666666667,1.0583333333333331
2022-04-18,0.0,1013.8916666666668,20.0125,73.79166666666667,1.1333333333333333
2022-04-19,0.0,1012.4916666666668,20.483333333333334,69.95833333333333,1.0666666666666669
2022-04-20,0.0,1012.1375,19.804166666666667,78.08333333333333,1.15
2022-04-21,0.2,1007.5166666666668,19.904166666666665,78.625,1.0708333333333333
2022-04-22,0.0,1001.5125,21.0375,75.20833333333333,0.95
2022-04-23,0.6000000000000001,1001.0708333333332,19.016666666666666,72.45833333333333,2.2291666666666665
2022-04-24,0.0,1009.5,17.875,70.91666666666667,0.8333333333333334
2022-04-25,0.0,1006.7,21.7625,71.5,1.3291666666666666
2022-04-26,24.8,1006.9166666666666,21.370833333333337,90.20833333333331,1.05
2022-04-27,0.0,1002.2041666666668,25.541666666666668,73.16666666666667,1.5041666666666669
2022-04-28,31.4,1007.2791666666668,19.15,92.54166666666669,1.5208333333333333
2022-04-29,1.0,1017.3041666666668,16.479166666666668,81.375,0.8875000000000001
2022-04-30,0.0,1014.6625,15.570833333333333,76.25,1.5541666666666665
2022-05-01,13.0,1008.6041666666666,17.683333333333334,89.29166666666667,0.9291666666666668
2022-05-02,16.6,1011.625,15.483333333333334,87.875,1.2958333333333334
2022-05-03,4.0,1008.8041666666668,16.645833333333332,92.54166666666669,1.5291666666666668
2022-05-04,34.0,1008.75,18.258333333333333,93.41666666666669,2.5166666666666666
2022-05-05,0.6000000000000001,1013.8666666666668,17.962500000000002,81.83333333333333,0.9291666666666668
2022-05-06,0.0,1016.925,17.2375,79.04166666666667,0.8583333333333334
2022-05-07,0.0,1017.9416666666666,16.212500000000002,81.45833333333333,0.9958333333333332
2022-05-08,0.2,1015.8541666666666,16.5625,80.41666666666667,0.9375
2022-05-09,0.0,1014.2666666666668,18.0375,79.04166666666667,0.8624999999999999
2022-05-10,4.6000000000000005,1010.3833333333332,17.145833333333332,88.58333333333333,0.7125
2022-05-11,8.0,1009.2,16.9875,90.875,1.1875
2022-05-12,0.2,1012.3458333333332,15.8125,82.66666666666667,1.025
2022-05-13,0.0,1013.4833333333332,14.854166666666666,80.75,0.925
2022-05-14,3.2,1010.875,16.258333333333333,84.25,0.9375
2022-05-15,14.6,1007.9958333333334,16.325,94.41666666666669,1.025
2022-05-16,0.0,1011.35,12.6625,71.625,2.2916666666666665
2022-05-17,3.1999999999999997,1006.6083333333332,11.3875,74.25,3.658333333333333
