ds,P,PrA,T,UR,VV
2020-09-21,2.0,929.4,15.470833333333331,84.54166666666667,2.2041666666666666
2020-09-22,11.6,931.9541666666668,14.495833333333332,84.45833333333333,2.1958333333333333
2020-09-23,0.0,933.1541666666668,16.9375,75.66666666666667,2.6916666666666664
2020-09-24,0.0,931.6916666666666,19.1375,69.125,1.8541666666666667
2020-09-25,0.0,929.0291666666668,20.833333333333332,62.625,0.5750000000000001
2020-09-26,0.0,925.1625,23.704166666666666,49.333333333333336,0.9708333333333332
2020-09-27,0.0,922.75,26.72083333333333,39.625,0.7958333333333334
2020-09-28,0.6,924.0791666666668,23.858333333333334,54.75,1.0583333333333331
2020-09-29,0.0,927.6375,21.525,72.04166666666667,1.1625
2020-09-30,0.0,926.4958333333334,25.583333333333332,58.458333333333336,1.3708333333333331
2020-10-01,0.0,924.7708333333334,27.05,52.041666666666664,1.3208333333333333
2020-10-02,0.0,923.6416666666668,30.983333333333334,30.708333333333332,1.8375
2020-10-03,0.0,926.5916666666668,24.708333333333332,61.083333333333336,2.225
2020-10-04,0.0,928.9291666666668,20.516666666666666,75.91666666666667,2.8625000000000003
2020-10-05,0.0,925.6791666666668,23.8375,64.54166666666667,2.3833333333333333
2020-10-06,0.0,924.325,26.383333333333336,57.875,1.4291666666666665
2020-10-07,0.0,925.1666666666666,26.65416666666667,55.333333333333336,1.6208333333333331
2020-10-08,3.6,925.725,23.266666666666666,67.91666666666667,2.158333333333333
2020-10-09,40.2,923.85,19.270833333333332,85.125,1.5416666666666667
2020-10-10,3.0,924.6041666666666,18.916666666666668,68.04166666666667,1.5875
2020-10-11,0.0,928.1416666666668,17.604166666666668,60.958333333333336,2.8208333333333333
2020-10-12,0.0,927.7708333333334,19.4375,61.583333333333336,2.2125
2020-10-13,0.0,925.225,22.695833333333336,54.666666666666664,1.0291666666666666
2020-10-14,0.0,924.0333333333332,24.070833333333336,49.375,1.3291666666666666
2020-10-15,2.2,928.3875,18.933333333333337,76.45833333333333,1.8416666666666668
2020-10-16,0.6000000000000001,930.9583333333334,15.975,80.0,2.1
2020-10-17,0.0,929.9041666666668,16.316666666666666,74.04166666666667,2.629166666666667
2020-10-18,0.0,926.675,18.866666666666667,68.375,2.875
2020-10-19,41.0,925.8041666666668,20.475,71.95833333333333,1.9791666666666667
2020-10-20,36.6,926.8916666666668,20.666666666666668,79.29166666666667,0.9
2020-10-21,0.0,928.8125,20.6875,77.45833333333333,1.4625
2020-10-22,0.0,929.525,20.566666666666663,67.20833333333333,3.2583333333333333
2020-10-23,0.0,927.8583333333332,21.170833333333334,61.166666666666664,3.045833333333333
2020-10-24,33.6,924.6833333333334,20.991666666666667,69.625,1.5458333333333334
2020-10-25,7.0,922.2708333333334,20.583333333333332,80.125,1.1041666666666667
2020-10-26,0.0,921.8541666666666,20.875,68.58333333333333,1.7625
2020-10-27,0.0,918.0375,23.0625,63.958333333333336,1.9125
2020-10-28,0.0,918.325,25.558333333333337,40.833333333333336,2.3208333333333333
2020-10-29,4.2,922.0083333333332,24.170833333333334,50.666666666666664,1.4625
2020-10-30,36.8,926.6041666666666,17.779166666666665,89.16666666666667,2.345833333333333
2020-10-31,2.0,928.0375,16.23333333333333,84.91666666666667,2.8125
2020-11-01,0.4,927.2,15.066666666666668,76.16666666666667,2.2291666666666665
2020-11-02,0.0,926.275,15.395833333333334,68.79166666666667,2.5166666666666666
2020-11-03,0.0,925.4833333333332,16.141666666666666,65.91666666666667,2.2624999999999997
2020-11-04,0.0,926.2458333333334,17.241666666666667,68.0,2.0124999999999997
2020-11-05,8.6,925.3375,16.758333333333333,75.625,1.9833333333333336
2020-11-06,0.0,926.7166666666668,17.883333333333333,65.20833333333333,1.7458333333333331
2020-11-07,0.0,928.6125,19.325,62.166666666666664,0.5583333333333333
2020-11-08,0.0,928.2041666666668,20.720833333333335,60.291666666666664,1.6166666666666665
2020-11-09,0.0,926.7333333333332,21.4125,67.66666666666667,2.125
2020-11-10,13.8,926.0916666666668,21.9,75.95833333333333,1.9916666666666665
2020-11-11,23.0,924.95,22.116666666666664,77.66666666666667,1.1833333333333331
2020-11-12,4.8,923.5083333333332,21.220833333333335,79.625,1.225
2020-11-13,8.0,923.0666666666666,21.925,77.41666666666667,1.3833333333333335
2020-11-14,0.0,923.2166666666668,22.983333333333334,71.33333333333333,1.2541666666666669
2020-11-15,0.0,923.3625,25.40833333333333,61.25,1.8291666666666664
2020-11-16,2.4,921.4083333333332,24.84583333333333,62.0,2.120833333333333
2020-11-17,35.4,920.675,21.725,76.5,1.4541666666666666
2020-11-18,22.0,922.6916666666666,17.616666666666667,83.25,1.9083333333333332
2020-11-19,12.2,921.6375,16.995833333333334,90.04166666666667,1.5458333333333334
2020-11-20,0.0,924.9583333333334,16.962500000000002,72.25,2.033333333333333
2020-11-21,0.0,925.7291666666666,18.475,65.95833333333333,2.345833333333333
2020-11-22,0.0,928.075,19.408333333333335,66.95833333333333,2.5124999999999997
2020-11-23,0.0,929.65,20.241666666666667,66.41666666666667,2.8708333333333336
2020-11-24,0.0,930.4291666666668,21.616666666666664,65.125,2.75
2020-11-25,0.0,928.4291666666668,23.620833333333337,59.708333333333336,1.9333333333333331
2020-11-26,3.0,926.6875,24.0875,56.916666666666664,1.8541666666666667
2020-11-27,0.0,927.4416666666666,23.78333333333333,58.666666666666664,1.5208333333333333
2020-11-28,0.0,928.9208333333332,23.8875,60.0,1.9541666666666664
2020-11-29,1.2,927.2791666666668,24.379166666666663,59.041666666666664,2.029166666666667
2020-11-30,8.0,925.625,24.0,65.625,1.5125
2020-12-01,4.8,925.2625,22.695833333333336,74.41666666666667,1.3166666666666669
2020-12-02,0.2,924.5625,22.8,73.75,1.6666666666666667
2020-12-03,0.0,922.3875,24.258333333333336,65.16666666666667,2.7291666666666665
2020-12-04,0.0,925.2291666666666,24.40833333333333,64.25,2.0625
2020-12-05,0.0,927.5583333333334,21.804166666666664,75.08333333333333,2.3583333333333334
2020-12-06,4.8,926.05,20.525,77.75,2.5833333333333335
2020-12-07,3.0,924.575,21.058333333333337,81.125,1.6625
2020-12-08,37.6,923.8625,21.71666666666667,84.0,1.2875
2020-12-09,0.0,924.8166666666666,21.9625,73.04166666666667,1.625
2020-12-10,0.0,924.9666666666668,22.1375,65.625,1.8791666666666669
