Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,331.65135884284973,14.413862228393555,346.0652210712433,0.11491673970125886,0.08952389190697309,0.013530999363508999,0.25236785867014294,0.14676864135449588,0.03158983269297998,0.41463159712988046,0.06392570686770221,0.005691795635288916,8.415391905161565,0.014650315603709116,0.001994384588090892,2.2993270251657116,0.07871713893322042,0.0132017530699672
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,356.91561222076416,14.561522960662842,371.477135181427,0.12640049594227018,0.09571120790356404,0.014037415769182847,0.25133026620735716,0.14544149358544134,0.03119258338749417,0.48769287771511155,0.09167605088346674,0.01042350691486261,2.5460746292567142,0.01652563670639871,0.001871055335998386,0.8528745672803626,0.08733859726971784,0.014381140351884494
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,374.03407883644104,12.560523986816406,386.59460282325745,0.12723083570348298,0.09585119288576502,0.013940062358550276,0.25936255373522793,0.15233591870055802,0.03383031068162704,0.44329846559108294,0.07345686732866298,0.007116552129015175,5.343511640767656,0.015056617042594093,0.001917754530384347,1.5433508739493624,0.08417514898939536,0.014201169924894199
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,347.5784041881561,11.31267499923706,358.8910791873932,0.11658270344590778,0.09046843007788584,0.01360504790735085,0.2565246987048379,0.1434629604508137,0.03144953849690185,0.44532600642725534,0.07426160793708657,0.007229522665066437,3.4237090106533237,0.015110963371215149,0.001933047220970991,1.0605356048078316,0.08082599045925068,0.013554289072572539
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,387.4762444496155,17.012183904647827,404.4884283542633,0.11981305445484981,0.09138695942458627,0.013046543145566185,0.25750847271815536,0.1443553024031699,0.03165987167788103,0.49688354386457695,0.095698521829243,0.011341675867107716,1.269559602925528,0.027306239021026933,0.0019031163184167136,0.5359411684907771,0.08968675566950668,0.014487801752242912
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,416.44971108436584,11.926603078842163,428.376314163208,0.12029934982657196,0.09206088929835564,0.013469727474691752,0.25084799980944206,0.14164174561508736,0.030274212823023696,0.4135390499362786,0.06337798291536897,0.005615560946593867,2.343184245669651,0.018887992456749905,0.0019049884542594337,0.7819676613104857,0.0789921525713908,0.012816122424642182
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,297.213819026947,12.316845178604126,309.53066420555115,0.13244839186198418,0.09881004480858528,0.014343628305667695,0.2560670609851679,0.14666804115413176,0.032037251068655404,0.4560761242334086,0.078220399165181,0.007881589695274646,1.1986670128997363,0.03735244106317759,0.0030403530532848067,0.5108146474950743,0.0902627315477692,0.014325705530720653
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,295.255676984787,15.940188884735107,311.1958658695221,0.11463886574982904,0.08992345450609847,0.013870007969218947,0.25349770738745453,0.14140078501454714,0.03061031747431225,0.4486099766052761,0.07563072805432067,0.007471195891087695,1.5977046617874915,0.028111071648327282,0.0028890068383518137,0.6036128028825132,0.08376650980582373,0.013710132043242685
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,304.26498103141785,11.997034072875977,316.2620151042938,0.12842790585191655,0.09662570492028279,0.01404501746731874,0.25154902204568025,0.1393153461950949,0.029855211496310777,0.4609292160090078,0.08082944076636742,0.008455225807073453,1.872718640582027,0.02474586571584063,0.0028559974930764875,0.6784061961221581,0.08537908939939673,0.013802863065944863
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,257.43461203575134,5.001958847045898,262.43657088279724,0.1388191833365182,0.1034779292113725,0.01627022755023486,0.24809881858564667,0.14016105898974957,0.029306709268666714,0.4027884147720619,0.060324843980628866,0.005164356444498281,1.3987622923737864,0.04087336555948216,0.0034379901956805435,0.5471171772670032,0.08620929943530867,0.013544820864770098
