Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,20.38248610496521,20.38248610496521,75088399588339.84,0.03678857127246253,0.004679061076853323,0.0030460231621003754,0.0030150319101925403,1.3840143572576855e-05,0.10028891424149297,0.06418678327083047,0.006754821903762732,0.1356616246007522,0.08442973651454065,0.011580996012333682,2.455548279222384,0.1461698674073761,0.03206758662688811,15017679917668.479,0.06691799807508045,0.011019261152682085
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,22.106274127960205,22.106274127960205,76645364916488.64,0.03715769674035593,0.0047329258676313,0.0031298750749153494,0.0030962471913649745,1.4446791239644502e-05,0.08916111571163449,0.058899592627995566,0.005590557027342526,0.13461701263154183,0.08522768825590012,0.011796571764102363,2.3523297556300906,0.14240043280330977,0.03037637223611237,15329072983298.219,0.06535633152378525,0.010502174737285645
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,25.75680184364319,25.75680184364319,41700624622451.67,0.029951650189748453,0.004693530963139042,0.0039528985297572145,0.003908453747063971,2.2416388416715197e-05,0.09209487701087973,0.05995782310919458,0.0058313977409412115,0.13358741470782887,0.08379235986304255,0.011484488563634893,2.5013982156865495,0.14811352054329757,0.0329769138222622,8340124924490.8545,0.06514476149046937,0.011001749495678819
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,25.751526355743408,25.751526355743408,57063078707541.734,0.033276700867649694,0.004751667372489317,0.005745167734589139,0.005696551658393566,5.125010274371451e-05,0.09117414053036042,0.06018501488360385,0.0058345759844036175,0.1339855200060334,0.08447546823961569,0.011586336333640203,2.3031393324402276,0.1404042897740783,0.029602686620928582,11412615741508.826,0.06480760508466821,0.01036530328284109
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,39.478684186935425,39.478684186935425,53630147085063.4,0.03240135778505398,0.004719823627172344,0.0033279647237863695,0.0032907673804921,1.5640968294378187e-05,0.0889278827815405,0.058328938686558855,0.005498600796042601,0.13257867160253914,0.08431149756012611,0.011554795695894064,2.4956044778729245,0.1480719770178266,0.03293916087301204,10726029417013.191,0.06528090768601151,0.010945604392083091
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,21.155871868133545,21.155871868133545,84545241672746.22,0.03873747271069247,0.004679783636132124,0.005505286993211723,0.005457502499985858,4.633251405775251e-05,0.08854743891229923,0.05846673859729192,0.005513571848087882,0.13622484783034117,0.08621051024215781,0.012040442157105381,2.5119575314876204,0.14915722017079344,0.033405388358843324,16909048334549.76,0.0676058888441843,0.011137103702845286
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,20.575653076171875,20.575653076171875,82716802729826.78,0.03847624340671102,0.004733110945791811,0.006229293406048593,0.006174429950168938,5.399899392354204e-05,0.08971516936114915,0.05865614222065621,0.0055798660102146045,0.13764497289408192,0.08573565326051523,0.012004826808975737,2.3583498758075114,0.14750630901747772,0.032638848719966716,16543360545965.848,0.06730975557110583,0.01100213029577448
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,15.958349704742432,15.958349704742432,112044991881883.95,0.04488294123997157,0.0049188574848271285,0.0035778912075943984,0.0035438936244236254,1.9444718589857196e-05,0.09136918367168499,0.05982580580601471,0.005801742788499148,0.13515903783867805,0.0859277595278947,0.012053179170854134,2.4289869912690434,0.15014587063896326,0.033865795813621896,22408998376377.29,0.06886525416745357,0.011331803995278436
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,19.27298378944397,19.27298378944397,63470817548029.87,0.03449460145701985,0.004785201492864901,0.008006822876613577,0.007917133979812863,7.65897144785176e-05,0.10154882983608304,0.0651005189362252,0.0069534485060706655,0.1385381698299185,0.08768980836524845,0.012516568750907689,2.544431965318573,0.15582797936393247,0.036423370087809735,12694163509606.504,0.07020600842044775,0.012151035710426307
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,7.504966974258423,7.504966974258423,105667997793190.62,0.043722873251104286,0.005130083996976175,0.03296361473349209,0.0326522818647677,0.0016150586043544041,0.08852878126499966,0.05861712825891155,0.005585637934262721,0.1368820111762803,0.08645981604744367,0.01222955131717178,2.4754491518898183,0.15289217542662706,0.03498812300082872,21133599558638.637,0.07486885496977085,0.011909690970718765
Fixed Cut 50.0%,2129,1065,2128,49.98825463941743,N/A,19.01897120475769,19.01897120475769,45974976751752.42,0.031106036122118833,0.004847493830993635,0.0031666456099365614,0.0031333685845172468,1.5737991962585476e-05,0.09590989894248267,0.06253164718495846,0.006340917837834178,0.13730517588037028,0.08623414960212092,0.01221857439100596,2.5510846087127512,0.15572440765284307,0.036419480103881574,9194995350351.012,0.06774592182931168,0.011968440831135577
Fixed Cut 55.0%,1916,1065,2341,54.99177824759221,N/A,14.008331060409546,14.008331060409546,88031446446677.84,0.03956523379483342,0.004764997639756487,0.009630195585106423,0.009546905462578978,0.00014398456684055057,0.09347445642891285,0.06172202529388625,0.0061516986673702196,0.1430058993906944,0.08987545095170324,0.01325513168962207,2.4608268755960707,0.15154409617611014,0.03447898474096804,17606289289336.074,0.07045074233582241,0.011758959460911479
Fixed Cut 60.0%,1703,1065,2554,59.99530185576697,N/A,11.381673812866211,11.381673812866211,54206214279347.18,0.03250126310597593,0.004732679353933615,0.007300253944186721,0.007235012259405588,8.547607984462103e-05,0.08933346621699743,0.05883404191450731,0.005621948007404877,0.1324711285274297,0.08704465653997266,0.012272374134738303,2.4132348562276924,0.14969372571214717,0.03365155252535103,10841242855869.941,0.06706173990640171,0.011272806020254496
Fixed Cut 65.0%,1490,1065,2767,64.99882546394174,N/A,12.724021911621094,12.724021911621094,74614962346871.97,0.03665290430861041,0.004665902990681398,0.0083387812694532,0.008264964345908813,0.00011467743048406982,0.09032279922780387,0.06105824348985805,0.006027341124940809,0.13684492487581865,0.08847344736277157,0.012751188075194809,2.627645600290047,0.1593252637498851,0.03821785593383327,14922992469374.941,0.07075496465140681,0.012355393111026852
Fixed Cut 70.0%,1278,1065,2979,69.97885835095138,N/A,5.229326963424683,5.229326963424683,36575639621779.7,0.03140386625176259,0.005428275926742799,0.01746649930269906,0.017313392193159458,0.0004835328375762092,0.0979402191165403,0.06659167959034826,0.007170778864180595,0.13449019708517465,0.09273388455797674,0.013486441113908173,2.669609000437814,0.16291236686679197,0.039909314702565986,7315127924356.487,0.07419103789200783,0.013295668688994755
Fixed Cut 75.0%,1065,1065,3192,74.98238195912614,N/A,7.494213819503784,7.494213819503784,40089099415219.83,0.03036545483020604,0.005041891691658253,0.00837801718783756,0.008295123046923333,9.809873582963547e-05,0.09263732197382168,0.06526647113924679,0.006934297587446309,0.13493505345782747,0.08935715053779371,0.012850993675661539,2.749881216320536,0.16570787459386888,0.04148343818113869,8017819883044.531,0.07179841482960773,0.01328174397434689
Fixed Cut 80.0%,852,1065,3405,79.98590556730092,N/A,9.299482107162476,9.299482107162476,30987584331420.6,0.028122790832163038,0.004888414080117089,0.008516266279131683,0.008446375449283878,0.00011818229646832885,0.10162631603903105,0.06702836805763793,0.007358750374523792,0.13454351107924303,0.08775676244970344,0.012546600682524897,2.5530375152496045,0.1621327078957864,0.03947458047150785,6197516866284.651,0.07069740093691487,0.012877305581028401
