Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,16.790759325027466,16.790759325027466,75967107949304.25,0.03692023881579207,0.004641881636106833,0.004588953883436471,0.00454869665149153,3.619783195322271e-05,0.08674141734930423,0.058341689653794604,0.005442406279808328,0.1370329817187564,0.08445976987951694,0.011651409405009352,2.3278287945212,0.14141266695703697,0.02998801056348965,15193421589861.334,0.0651366123915264,0.010351981143273473
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,12.242953062057495,12.242953062057495,71388292596921.33,0.036162115606042204,0.004835767860206305,0.02010612302880087,0.01992683457273223,0.0006502254521194405,0.0950687777891863,0.061750396815274514,0.006303094205431354,0.14550916213247791,0.0893089624472994,0.013011456942596922,2.395946083927225,0.14426555058815657,0.03116692434889341,14277658519384.766,0.07028277200590098,0.011193493761849476
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,11.840830087661743,11.840830087661743,88078280203716.42,0.03975166152500814,0.004867759128887437,0.010756599976804376,0.010659274431804165,0.00018719906671096163,0.09184825110146337,0.06056671986190578,0.005975324258373876,0.13939298162093935,0.08597956165507913,0.012244808519164952,2.532978243207687,0.149830646788273,0.033679983985841294,17615656040743.812,0.06935757285241403,0.011391014991795708
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,22.911214113235474,22.911214113235474,26851717959518.098,0.02733063470034153,0.0048548530469473584,0.0035344728819523704,0.003498421596177609,1.986842218297852e-05,0.08737400199189166,0.058287781450378474,0.005455842097109004,0.13274466054187462,0.0865387265453486,0.012131281024990831,2.4443163587565095,0.14558151820461018,0.03184930035172075,5370343591904.13,0.06424741649937124,0.010862228988590183
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,36.689288854599,36.689288854599,102507418254308.84,0.04269213747071695,0.004785638563584392,0.004662367137740233,0.004623393603316873,3.2741860324857555e-05,0.09461703991102599,0.06126841761975863,0.006105706358327005,0.12985952661261074,0.08412742079893634,0.01146211276516481,2.411706939797178,0.14432531709906726,0.031276175405938494,20501483650862.258,0.06740733731835921,0.010732474990667918
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,11.039277076721191,11.039277076721191,40299331699958.82,0.029594040768867597,0.0047357467100695915,0.009508621507882876,0.00940689006631579,0.0001225184403000705,0.09032670958211843,0.059692504365769165,0.00577249678920806,0.13864176541942946,0.08789424115215483,0.012571715205015172,2.4268429258473145,0.14530310303599178,0.03165866375017467,8059866339992.273,0.06637815587781981,0.010972228178953516
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,22.102246046066284,22.102246046066284,56739320579009.305,0.03290439254300191,0.004685178566183519,0.00267418338762806,0.002649119658734907,1.1793724905946558e-05,0.09009890981538592,0.059384425053261546,0.0057049349501734695,0.13381706168469581,0.08490073058943046,0.011770149089366182,2.4519874910282513,0.15108603625705333,0.03428757139954846,11347864115802.371,0.06618494082029641,0.011291925546035513
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,17.697353839874268,17.697353839874268,67349286654998.57,0.03516360786827483,0.004710774085190448,0.0031585839474335678,0.0031296587039031268,1.6846774504448315e-05,0.09571831519322993,0.06179165273846543,0.0062341319254142595,0.13342380023812395,0.08879207111107117,0.012675881939825336,2.491630126257341,0.15316726730737676,0.035188613448538,13469857331000.234,0.06840885154581824,0.011765249634694516
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,19.978667974472046,19.978667974472046,54813506889492.836,0.03287411066708748,0.004838042588998705,0.0037228615413136784,0.003681358849572427,1.992901901023254e-05,0.09138773959349981,0.060347918129638294,0.005865226081924099,0.13363978582294322,0.08554002242865015,0.011912316327965482,2.442703070026791,0.15118748949188565,0.03430026369171782,10962701377899.076,0.06672617991336678,0.011387155541923271
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,8.687018871307373,8.687018871307373,58466706453975.5,0.03363234573390527,0.004882303648793214,0.011752105177931326,0.01164646042112677,0.00023116403411532928,0.08830957426480686,0.0588036134721591,0.005583124356007264,0.13719962183711107,0.08888968021829535,0.01283089291332516,2.645258994882743,0.16066189962178087,0.03873407180189559,11693341290795.648,0.07072679989345346,0.012452311350827314
