Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,340.15849709510803,17.479193687438965,357.637690782547,1.38255609177952,0.035145340489177924,0.004805783980538982,0.004954523367894624,0.004892325552241028,3.70963712233127e-05,0.09216832325514247,0.06673272918573905,0.00726383895853147,0.1328814029770477,0.09037026096448611,0.01334613229887524,0.37984211863768647,0.15166796968485816,0.03460356834045517,0.3984804920034584,0.06976172517530047,0.012011283989924829
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,298.48654222488403,7.658125877380371,306.1446681022644,1.4756179627263852,0.038667088154458094,0.0050626631816360936,0.012125890117214258,0.011790060636234296,0.00023964987640033987,0.09104539629785602,0.0648388677108,0.006817634440474852,0.135868797760846,0.09422964162861218,0.01441899126907101,0.3862658815279782,0.1532947323640293,0.03537698957571535,0.42018478568605594,0.07256407809882674,0.01238318566865953
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,261.2739112377167,12.565684080123901,273.8395953178406,1.7819420578008673,0.030631425459426577,0.004917523031481255,0.003442477677959478,0.0034014462844331843,1.9201668091121113e-05,0.08879827290947054,0.06202904559899552,0.006174270965758624,0.13236398240202824,0.09112985997494315,0.01341976320454575,0.3814501513192277,0.15021853986586353,0.033880439145205804,0.4775993884219104,0.06748206343673235,0.011682239603016517
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,253.51150107383728,17.831810235977173,271.34331130981445,1.2904406496291456,0.03962515783539859,0.004932123408864483,0.008893106730117019,0.008702425340492337,0.00012576002406064382,0.09226397481067675,0.06689463015917489,0.007289687052711403,0.13559635536875578,0.09270786120664858,0.014022631954041149,0.38179983052060906,0.15482156212021053,0.03608190033923545,0.381798783411861,0.07255032733238496,0.01249042055578264
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,277.755765914917,9.297460317611694,287.0532262325287,1.4302098971204262,0.03840158858061319,0.004958043608177136,0.010070932868485092,0.009961125013936992,0.00015757873104282191,0.08862611772937298,0.06275711428338097,0.006413459605222472,0.14277123816786963,0.0958637278845704,0.014692999140616444,0.378126940501152,0.15926502913088228,0.03826608479843668,0.40996102527746087,0.07324971697867677,0.012897633176699095
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,261.86189317703247,4.965590000152588,266.82748317718506,1.702125512265909,0.047430150622123024,0.0055549858908144675,0.03837519925574642,0.03601491197976535,0.0020265548115064483,0.10277315307547075,0.07042948947072082,0.007702082377157287,0.12000861889937751,0.08277016591611477,0.011270020633747423,0.3849901591104129,0.15384189305791196,0.0355975846928023,0.4696545285213835,0.07809732220932722,0.012430245681205574
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,243.62126803398132,19.340567111968994,262.9618351459503,1.7313390027959994,0.031766136023845766,0.00489265934266625,0.006668930486626807,0.006606252135587691,6.238389685887189e-05,0.09018701812622067,0.06436751565968894,0.006727261730425975,0.13207512356281348,0.09285445393792106,0.013902114291246194,0.3812631830374702,0.16273045773662423,0.03990477105125867,0.4683066516018263,0.07166496309873352,0.013097838062491197
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,242.662495136261,29.863271951675415,272.5257670879364,1.1970515500345826,0.04429823683201901,0.0050847257902210796,0.00354440128998359,0.003501191249102548,1.9813554628556642e-05,0.09039142956521758,0.0647902012713516,0.006814161617027068,0.1339168336817243,0.09339329844798405,0.014095427192637656,0.38052444834551036,0.15624480480178068,0.03664310972438729,0.36108573258340365,0.07244554652044759,0.01253144757578033
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,219.26548790931702,11.562660694122314,230.82814860343933,2.721868430600166,0.027572583619723038,0.005051468975102282,0.004374058499361133,0.004318761181316976,3.241872205329322e-05,0.09008971251582852,0.0641190539137144,0.006623643409940629,0.12747800875911505,0.09226849482850266,0.013894573452452173,0.37735868964822783,0.16002712281613246,0.03859850884261132,0.6642337800045399,0.06966120327187789,0.012840122680431937
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,219.79098105430603,13.660118103027344,233.45109915733337,1.3750900038580423,0.03759229081743025,0.004891796308143737,0.005117545412380739,0.005032394388344418,4.598768998948884e-05,0.09139448575771345,0.0659457744474923,0.007085357400844497,0.1334110093112075,0.09299121041518872,0.013999523197987808,0.38210137637317115,0.15866599300363302,0.03781623628606509,0.39742288414250293,0.07204553261441773,0.012767780176606135
