Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,P_MAPE,P_MAE,P_MSE,PrA_MAPE,PrA_MAE,PrA_MSE,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,VV_MAPE,VV_MAE,VV_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,4257,1065,N/A,N/A,N/A,301.04653310775757,26.858448028564453,327.904981136322,1.4334681967360539,0.03615001367742939,0.004844012894877112,0.0028708250160022386,0.002838946316653815,1.3274805466685182e-05,0.08851801577797824,0.06263936929185973,0.006339340286644744,0.12986133081785212,0.09072533452138691,0.013376853017254374,0.38111548667534073,0.1517157286842717,0.03457287886739384,0.4071667710046457,0.06881387849832028,0.011829271974327364
Fixed Cut 5.0%,4045,1065,212,4.9800328870096315,N/A,338.5033030509949,35.14906311035156,373.65236616134644,1.1450621659049758,0.04561053855033604,0.005065515814590971,0.009541922063945997,0.009342673046932608,0.00011195643469477845,0.09306664079199799,0.06460680271281606,0.0066556007104900654,0.1280574912488319,0.08924512275553258,0.012932826135261302,0.37938173036189293,0.15433847258883854,0.03583024866558269,0.3510219900743287,0.07262872193089114,0.012119229552123967
Fixed Cut 10.0%,3832,1065,425,9.983556495184402,N/A,285.5394277572632,18.189203023910522,303.7286307811737,1.5905934198697522,0.03305825825741142,0.004859387307576279,0.014162460322323999,0.014223013780221363,0.0002144465569428908,0.08991742414510194,0.06486109520307022,0.006851816118550522,0.12918644467762208,0.09142169741646874,0.013584539483801492,0.3785606069634262,0.15477044868899179,0.03608788428635893,0.4404840711956452,0.07166690266923267,0.012319614750646017
Fixed Cut 15.0%,3619,1065,638,14.987080103359174,N/A,319.0472409725189,16.176896810531616,335.22413778305054,31.799125406313795,0.025799963972305193,0.0055006512479609205,0.006111608031217735,0.00607395338265705,5.214449159781994e-05,0.09008875177391584,0.06482075380846998,0.006844391428169288,0.1321120296813495,0.09165935619650799,0.013647140243158723,0.3785009132431006,0.1570776333946289,0.0371859051610814,6.481187741808682,0.0690863321509138,0.012646046514393628
Fixed Cut 20.0%,3406,1065,851,19.990603711533943,N/A,274.69379210472107,10.233121156692505,284.9269132614136,1.6720897715186018,0.030618267124952026,0.004874413144934339,0.017246959163781907,0.016616566680654317,0.0004627318028153678,0.086349282357622,0.06059226243411348,0.005883642884657848,0.12830941364252285,0.08955023310608731,0.013147088903173397,0.3809881866964356,0.1581644164481294,0.0376628764441822,0.45699672267579283,0.07110834915878725,0.012406150635952625
Fixed Cut 25.0%,3193,1065,1064,24.994127319708713,N/A,273.2384057044983,8.639859914779663,281.87826561927795,1.7055526883510417,0.031078966990771895,0.004894659132627382,0.013968326158065354,0.013833688860418988,0.0002886513186183681,0.09296991611408469,0.06504931080297506,0.006872165315840491,0.130277785262311,0.09052249554812136,0.01334668880763192,0.37907778223891486,0.14635080027288855,0.03212625823129376,0.4643692996248837,0.06936705249503514,0.011505684561202385
Fixed Cut 30.0%,2980,1065,1277,29.997650927883484,N/A,240.91633915901184,20.236434936523438,261.1527740955353,2.3515481631330766,0.027263423050004548,0.005002922448032463,0.005739027367314429,0.005702156496236091,4.4650675276818296e-05,0.08917876690854812,0.06355506391995948,0.006511741568833324,0.12641816066189937,0.09063833608383878,0.013471402363560862,0.3792710627035949,0.15708329461891887,0.037135731553953076,0.5904310361548866,0.06884845483379153,0.012433289721931313
Fixed Cut 35.0%,2768,1065,1489,34.97768381489312,N/A,251.9134829044342,5.086237192153931,256.99972009658813,4.201548930861514,0.02947476184727208,0.0053318960659758385,0.028107068880563402,0.02699771542799102,0.0011576527038373227,0.08841453626433617,0.06225498387744384,0.006277755929455945,0.1306140575066706,0.09022329031199883,0.013203114771907684,0.3836130068826593,0.15867359243411175,0.03782194361988051,0.9664595200791494,0.07352486877976352,0.012758472618211465
Fixed Cut 40.0%,2555,1065,1702,39.981207423067886,N/A,233.90471196174622,15.836944818496704,249.74165678024292,1.2918588374351985,0.038932631315634805,0.004842190102284877,0.012329052263392818,0.012049658254806712,0.00015919226968605732,0.09195043447491352,0.06636131976448661,0.0071532419793581175,0.13527036160381883,0.09340025975002503,0.014064081122514251,0.37794254653115067,0.16214476873688402,0.03970564842333427,0.3818702464616949,0.07457772756436745,0.013184870779435526
Fixed Cut 45.0%,2342,1065,1915,44.98473103124266,N/A,195.58162927627563,4.993625164031982,200.57525444030762,1.5683903412244462,0.04283271521578805,0.005391215990431325,0.02562881338955047,0.02443393056873598,0.0010303845145102975,0.08808548386708887,0.06282169144030067,0.006383035278787444,0.1325030868543979,0.09244161991938903,0.013820552759476211,0.3912222986996156,0.17530422709974713,0.04689903127927499,0.4411660048070198,0.07956683684879216,0.014704843964496044
