Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,18.736117124557495,18.736117124557495,0.13388826666900583,0.09101150788986696,0.013699165443464263,0.3124063769706139,0.14014140524861468,0.029515081147350828,24680426201309.242,0.06365910489250744,0.005608012721819915,23991487525415.24,0.016964601311679556,0.001836351404842373,12167978431681.16,0.07794415483566748,0.012664652679369323
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,43.36476016044617,43.36476016044617,0.12998968799585348,0.08941551368402041,0.012940116786742712,0.34309371362079466,0.14814350984133373,0.03136719552557667,26199344450958.938,0.07054767806187451,0.0066082538490493965,79314370571779.7,0.02792515420451025,0.0018699432014315464,26378428755684.734,0.08400796394793505,0.013196377340700097
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,25.75228214263916,25.75228214263916,0.1307470699562074,0.09177607107059263,0.012846863011532766,0.30887264282475124,0.13922743551377645,0.02933827140276482,27330923974490.555,0.07619553972088955,0.007517471825714753,51702526986302.445,0.022398704124728643,0.0018263985055547265,19758362740198.32,0.08239943760749716,0.01288225118639175
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,29.19549012184143,29.19549012184143,0.12862010090154188,0.08824333218472465,0.012615777307722753,0.33303989596414707,0.14560505886247108,0.030842021685147023,29743740551581.82,0.08816327243514517,0.009685553402737,49735475804454.58,0.022084130255342744,0.001834418729155381,19869804089009.14,0.08602394843442111,0.013744442781190544
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,25.005288124084473,25.005288124084473,0.12884798122469807,0.08854932586493922,0.01268291276608277,0.2944445047841288,0.136048714647173,0.028952713230930016,26127012005078.88,0.06977935408140225,0.00650650409382871,22158744409960.96,0.016873942230296313,0.001908646469478755,12071439103760.037,0.0778128342059531,0.012512694140080063
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,20.76396369934082,20.76396369934082,0.13028970718894564,0.08712739125761328,0.013227646298592494,0.2942809919466019,0.13675105557826567,0.029314928226720056,25845721974865.812,0.06897930870345474,0.006400810826000205,14695648261828.865,0.01575560550001013,0.0019725629791782252,10135342559173.738,0.07715334025983635,0.012728987082622724
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,34.671030044555664,34.671030044555664,0.12761806436876807,0.08672873848778691,0.012602928545003785,0.315888156891845,0.14050648835023336,0.029545025664453595,24733230198247.94,0.06329460151207808,0.005560599456292966,62252996607578.32,0.02730969731474577,0.0027637757173066568,21746556701456.61,0.0794598814162114,0.012618082345764234
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,15.945534944534302,15.945534944534302,0.12886738761060215,0.08978306097306567,0.012500636610218635,0.31693817274235037,0.1405764802592648,0.029223543957404494,24904875100541.87,0.06520999507625648,0.005826486164882377,73306127494706.52,0.029649235442900015,0.00282810424873151,24552750648812.152,0.0813046929378721,0.012594692745309246
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,17.26257586479187,17.26257586479187,0.1334300527557651,0.09370027291891589,0.013427802463885087,0.34354223358121444,0.14887728254523494,0.03190599448752496,24963764780494.164,0.0641468364645156,0.0056894364426028085,60312425423368.79,0.027116720571926142,0.0028211393108871718,21319047550965.793,0.08346027812514847,0.013461093176225009
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,19.906944036483765,19.906944036483765,0.12923612959582698,0.08783947387968842,0.012862055092112211,0.31724907628762766,0.1412220847586188,0.029796986988541354,26459774053807.77,0.07066638270274667,0.006635557328104764,69779470932754.98,0.028938750548679754,0.0028086002354981527,24059811246640.766,0.08216667297243377,0.01302579991106412
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,14.479233980178833,14.479233980178833,0.13467865200933193,0.0955949794100001,0.013595095307664451,0.3041825116280695,0.13859196568872836,0.029451831273196744,23132918384768.527,0.05612310596582339,0.004526563523601697,20508309481857.914,0.0193296861735808,0.002877139533672354,10910306966656.594,0.07740993430953355,0.012612657409533804
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,18.738274812698364,18.738274812698364,0.13423658848652933,0.09527015911146763,0.013477206051071078,0.334850343053545,0.146284410713329,0.03104920903884053,27320066513205.312,0.0746141242363416,0.007259627923535991,124885480655548.42,0.040414828020639205,0.003160081475647409,38051386792188.51,0.08914588052044467,0.013736531122273759
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,22.216253995895386,22.216253995895386,0.13057650298576437,0.09045192902004223,0.012952162125350898,0.310979888596582,0.13969916820321412,0.02951280954617751,22454316298585.37,0.0543216330080832,0.004234587713344425,87262074785419.66,0.03244916342362931,0.002851839496042927,27429097771001.234,0.07923047341374262,0.012387849720228931
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,15.172835111618042,15.172835111618042,0.13319300924720429,0.09247202754528187,0.013474528578684437,0.33504148071107653,0.14600146900263256,0.030954500704215106,24571036985955.598,0.06168743503660083,0.005357637423668029,45912039743652.4,0.027494236955457052,0.0041624801520007415,17620769182402.027,0.08191379213499338,0.01348728671464208
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,15.139528036117554,15.139528036117554,0.12988679506754097,0.08748736487499975,0.013091238490310497,0.32026146058473853,0.14175658683334683,0.029631408584998072,21644686978854.63,0.052235794690894476,0.0039185447689244314,108031547517398.5,0.04008156435008119,0.004317399130385062,32419058624063.273,0.0803903276873309,0.01273964774365452
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,11.46821904182434,11.46821904182434,0.13169027157725696,0.09218722380312018,0.013030530977953512,0.3125731969996997,0.14003199256483187,0.029452052986619282,25671310051569.0,0.06186005016453616,0.0054383807657687735,117283059431615.53,0.042024068901028916,0.004395307424426653,35738592370796.09,0.08402583385837883,0.01307906803869207
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,9.026896953582764,9.026896953582764,0.13262216955349124,0.09208026569403174,0.013257129529917394,0.3194105834182997,0.14188973184920203,0.03003823631244966,27776242454277.89,0.06714151941068991,0.00649194430542319,93771802015053.89,0.03697688388633401,0.004181284193192553,30387011117332.91,0.08452210021006393,0.013492148585245712
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,9.118541955947876,9.118541955947876,0.13518681714733444,0.0967229555757749,0.013840312595390335,0.3104259061816787,0.13901969358043528,0.02904108559794242,27663148921824.523,0.06724749414554497,0.006513130888642911,169127344520156.84,0.052793606810484825,0.004907124473038208,49197623360495.3,0.08894593752805945,0.013575413388753474
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,3.9421958923339844,3.9421958923339844,0.141228317199188,0.10446963552199004,0.015424422639599878,0.31513777995196607,0.14398962723887157,0.03159315220950942,32141761986607.844,0.08389579771427944,0.009682542530053065,83339145375338.78,0.035297332586122214,0.004364567330793504,28870226840486.68,0.09191309826531464,0.015266171177488982
Window L1,997,1754,6015,85.78151739874501,0.2548401355743408,11.771510124206543,12.026350259780884,0.12987390417551986,0.08994839125066231,0.013052307283266087,0.33143430920156847,0.14500181355746597,0.030576269289261576,28356709043683.188,0.06921489509818826,0.006902224223501319,171247430739144.5,0.05326150535714698,0.004909612781553321,49901034945706.875,0.0893566513158653,0.013860103394395576
Window L2,997,1754,6015,85.78151739874501,0.13137602806091309,4.995153188705444,5.126529216766357,0.1392932856659719,0.09948187365653775,0.014837231480793281,0.31567818198636216,0.14040162487376673,0.02889271967868036,29890594260210.934,0.07499113069720098,0.007920792612605795,215936787687313.62,0.06358657698552095,0.006131102732873964,61456845486881.164,0.09461530155325606,0.014445461626238342
