Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,19.875672101974487,19.875672101974487,0.13153141662890808,0.08921249171523112,0.013341809341079385,0.3082290909094207,0.13897099747409394,0.029247111922876188,25476359108959.414,0.0668039789507576,0.006079936329989673,24593579372438.727,0.016994277638281423,0.0018301376670273371,12517484620349.596,0.07799543644459139,0.01262474881524316
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,27.262348890304565,27.262348890304565,0.1289633370012962,0.08945149991899816,0.01265407877037645,0.30268887161134606,0.13738433471119055,0.028963643985583366,24989252857648.21,0.06542111411562768,0.005839363763147049,85202493934540.31,0.02927110140251718,0.001935763637744647,27547936698047.17,0.0803820125370838,0.012348212539212856
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,25.59080195426941,25.59080195426941,0.12923290413366964,0.0887399915860479,0.012777335806960681,0.3074709710867333,0.1386318664415673,0.029090245704305608,26518418634672.074,0.07166335896280197,0.0067909202956438095,39469921811064.164,0.019972482536665052,0.001820485807404499,16497085111434.14,0.07975192488177092,0.012619746903578652
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,17.050992965698242,17.050992965698242,0.13305290288683597,0.09335376205667974,0.013336110354549615,0.2958404001845683,0.1361429800650155,0.028603963357220392,28074166532353.816,0.0814423271039587,0.00849646997126282,93115268499452.9,0.0312130931035978,0.0020953972244637355,30297358757951.727,0.08553804058231325,0.013132985226874148
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,23.25274085998535,23.25274085998535,0.13162321495816412,0.09146853931861926,0.013141606150875123,0.3351046797313302,0.14590431473906135,0.03085258123513449,26025639706043.465,0.06879532164209012,0.00634981197215201,51879858077958.91,0.02264118220799503,0.0018704534065529456,19476374446000.676,0.08220233947694176,0.013053613191178638
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,35.098182916641235,35.098182916641235,0.12909735777233336,0.08859848043144831,0.012789424433315719,0.3109684863630124,0.1393410102094182,0.029357645062093405,28984305262504.03,0.08420604299359412,0.00892366214666763,9474054837201.883,0.014633566845386888,0.001960041216401095,9614590024926.555,0.08169477511996215,0.01325769321461946
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,24.223280906677246,24.223280906677246,0.13026681632672305,0.08961877930791692,0.012979801808939838,0.3022847743729257,0.13746473538718634,0.02899574363966636,26397780636912.688,0.07048037275970494,0.0066199215560322116,13128310149910.334,0.017899803554926992,0.0029064679180911793,9881522696705.838,0.0788659227524342,0.012875483730682386
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,32.247255086898804,32.247255086898804,0.12983073985836305,0.08979706140959415,0.012854700950671668,0.3148583117615868,0.14013041105417778,0.029518423954028105,28077845323500.402,0.07939129461713976,0.008041605861687045,109021337247327.17,0.03691608183397175,0.0029637178913045586,34274795642706.953,0.08655871222872115,0.01334461216442284
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,17.398190021514893,17.398190021514893,0.13014934637376102,0.08969575566714101,0.01292890928041709,0.3132959202277269,0.13982278446640775,0.029380673022280642,26704458618776.633,0.07208198792912582,0.0068507621190966005,57000112052129.35,0.026312570176059872,0.0027807451093857885,20926142667726.582,0.08197827455968397,0.012985272382795036
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,20.838242053985596,20.838242053985596,0.13024400761162072,0.08971513390545602,0.012951725558274793,0.3220494963580489,0.1421978142388425,0.029924144654209964,27466334680670.516,0.0764405833323751,0.007539132657667233,44385871122153.25,0.0239000045890589,0.002805735828357173,17963051450706.023,0.08306338401643346,0.013305184674627291
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,10.535611152648926,10.535611152648926,0.12979020779545516,0.0901337177412309,0.012697700231457918,0.3267614986758326,0.14384392833327592,0.03037756506486544,29837030361985.99,0.08915466244860792,0.009891911534577458,93712143665871.06,0.03377036472213373,0.0028751926209875534,30887293506964.31,0.08922566831131232,0.013960592362972096
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,19.00747799873352,19.00747799873352,0.12878837453500505,0.08851958213739565,0.012656964454767924,0.2828313744687721,0.1334816399395773,0.028556239601740772,26058505110170.793,0.06911492644034595,0.006396935851700789,70726103593755.19,0.029066831387054508,0.0027933433058806426,24196152175981.555,0.08004574497609378,0.012600870803522537
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,11.666143417358398,11.666143417358398,0.12899180054485565,0.08973939995056097,0.012620598339687067,0.3088522624214248,0.14022523875978926,0.030075893160637388,25678517896969.56,0.06781788449595844,0.006213746274291263,98090944938387.75,0.03460788790879981,0.0028896355864375775,30942365708839.383,0.08309760277877751,0.012949968340263313
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,12.426568984985352,12.426568984985352,0.1294958043412969,0.08729267851639076,0.01300982281767802,0.3472133480949426,0.14984546360999565,0.032111493763420575,23048049718831.35,0.05641553197578491,0.004555078972369363,132083947889836.25,0.044863423707075446,0.004413641587936325,38782999402166.88,0.08460427445231206,0.01352250928535109
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,10.894513130187988,10.894513130187988,0.13014013630366122,0.0876179634711829,0.013116070097334015,0.32406051540277103,0.14293709627477935,0.029942231097565917,25758000490760.664,0.06655529765620119,0.00606128229954432,128535214134610.64,0.04421835331180271,0.004440080109939841,38573303656342.91,0.08533217767849188,0.013389915901096004
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,16.48854398727417,16.48854398727417,0.12966442671325165,0.0893028952796933,0.012885164766285645,0.3030804577568,0.13785053879653786,0.029201332114306974,27449773388496.54,0.06641636429499237,0.006346140978251014,69965130402013.91,0.03201927781839058,0.0040661140745240154,24353725947627.562,0.0813972690474031,0.013124687983341904
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,9.87986421585083,9.87986421585083,0.13181745828897146,0.09242638964887456,0.01308169127467605,0.2987554164668007,0.13697116957709798,0.02904950247392731,27609116644447.13,0.06685572352105187,0.006432306634904376,174299558127692.78,0.05388558334621857,0.004978133394416281,50477168693034.91,0.08753471652331031,0.013385408444481014
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,6.8757688999176025,6.8757688999176025,0.1294422447221213,0.08682470511057026,0.013323094658835842,0.32118524488097716,0.14263727156994477,0.03022038890408439,28355605300701.324,0.06891017434849811,0.0068202129294960695,58810680608595.914,0.030274994413508453,0.004238322486603373,21791571477324.29,0.08216178636062987,0.013650504744754937
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,3.7061848640441895,3.7061848640441895,0.14245723190164217,0.10519263784492061,0.015804619473995828,0.32358888408608727,0.14439754252480563,0.030584446013304015,33703131067942.31,0.09615202700264096,0.01188861951195752,131292951411498.53,0.04485681244619781,0.0044933204511361236,41249020619860.234,0.0976497549546401,0.015692751362598383
Window L1,997,1754,6015,85.78151739874501,0.20265603065490723,5.1755690574646,5.378225088119507,0.13056160386046423,0.09036294482232324,0.013107950396992555,0.31387755696873215,0.1401995385525632,0.029377110499993746,26631324938388.42,0.06414885784890172,0.005861562766884684,76599694823961.19,0.033868357772574444,0.004263130189813225,25807754940587.36,0.08214492474909012,0.013152438463421049
Window L2,997,1754,6015,85.78151739874501,0.10672783851623535,10.636389255523682,10.743117094039917,0.12752127507151148,0.08675458717318628,0.012802784847273726,0.3491421442125994,0.1500690947100307,0.03188262467574676,29060092451190.797,0.0728740143747441,0.007485611095001716,93995269624814.23,0.03701965074895,0.004169078983808705,30763840519001.3,0.08667933675172723,0.014085024900457729
Window Normal,3807,1754,3205,45.70735881346263,0.24409985542297363,15.750969171524048,15.995069026947021,0.12991651395219636,0.08908188834718239,0.01292682638546191,0.30633380190604564,0.13815092424153602,0.029029216082111692,27031936507103.14,0.07360472920354462,0.007084600022835822,46207777076801.63,0.024351670466454745,0.0028275872381531334,18309928395976.277,0.08129730306467979,0.012967057432140642
Window RBF,997,1754,6015,85.78151739874501,1.8649170398712158,5.712756872177124,7.57767391204834,0.13623845852046781,0.09776178187269807,0.014014739776978511,0.30643610177712083,0.13854124447517416,0.029177570576108255,29378628227440.94,0.07391269307188074,0.007667264451937796,77369589021810.61,0.03388796606800422,0.004221346904022149,26687054312312.926,0.08602592137193879,0.013770230427261677
Window Cosine,997,1754,6015,85.78151739874501,0.8281881809234619,5.201095819473267,6.0292840003967285,0.12792250049164522,0.08650500089857237,0.012852785127930354,0.31066918336695964,0.13956735547501903,0.02934724371009351,26642000625692.848,0.06420015424511048,0.0058580302170617975,67860967568858.43,0.032355594861899525,0.004338836848487436,23625742048637.773,0.08065702637014985,0.013099223975893269
Window Linear,3867,1754,3145,44.851682829435255,0.12752985954284668,17.281938076019287,17.409467935562134,0.13258665599458574,0.09357214475418446,0.013219155106773121,0.3171832360117964,0.14073081271745305,0.02950479756244326,26048322117937.73,0.06938518869003434,0.006431960027213214,47512481594960.87,0.0245602980420332,0.0028160188656250625,18390200928224.727,0.08206211105092659,0.012992982890513668
Window Clinear,5087,1754,1925,27.452937820878493,0.10269713401794434,21.437463998794556,21.5401611328125,0.12908910888723024,0.08800203885605769,0.012831014047225961,0.32446012827794457,0.14267840184275601,0.0298435068250531,27561420565513.83,0.07752179050008841,0.007733986394694203,64836865338414.67,0.02778852075733251,0.002752306014924079,23099571475982.207,0.08399768798905896,0.013290203320474333
Window Rank,952,1754,6060,86.42327438676554,0.12043595314025879,4.464815139770508,4.585251092910767,0.14425031779703176,0.1056141109207443,0.015784082952092614,0.315304045780952,0.14083006736409276,0.02954255407350203,23209908980975.14,0.055282039719541654,0.004452475979070273,109105000969193.66,0.03990393233380697,0.004177054815631925,33078727487542.19,0.08540753758454595,0.013489041955074237
Window Mahalanobis,1002,1754,6010,85.71021106674273,0.37451624870300293,6.809315204620361,7.183831453323364,0.13184316434374985,0.0899809841650482,0.013546732937107087,0.3230221939457923,0.14272975936233487,0.03005841241101364,28244597674615.492,0.06984343376901118,0.006963049667827903,64943298570607.22,0.031394959640338914,0.004200742996063131,23296974061305.668,0.08348728423418272,0.013692234503002958
