Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,25.286564826965332,25.286564826965332,0.12910721392471722,0.08756347285017232,0.012897781285611455,0.3009697256514096,0.13719820852476183,0.028953599757455057,24576878146087.82,0.06275452626351977,0.0054704320023114174,7167054351007.915,0.01402250582171662,0.0019437810470645921,7935983124273.981,0.07538467836504303,0.012316398523110636
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,23.80314302444458,23.80314302444458,0.1275888208869097,0.08530852523414055,0.01276553499399182,0.30341572091511865,0.13779503647095145,0.029137236501290364,25356400881353.062,0.06646061862579536,0.006009709261191008,43651781104622.14,0.020747201347422584,0.0018032428731617146,17252045496493.857,0.07757784541957785,0.012428930907408724
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,31.047592878341675,31.047592878341675,0.13146203276860144,0.09195364157917661,0.013054116439403357,0.29503367831866506,0.1360923457841704,0.028892329163848637,23974483706560.18,0.05962079403976338,0.005049259722463735,57747331691300.58,0.02362313294589499,0.0018303613354649626,20430453849465.184,0.07782247858725175,0.012206516665295167
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,20.76413106918335,20.76413106918335,0.13352088129344103,0.09318821130615558,0.01347467578403687,0.32847242352235406,0.14425648816326514,0.030415783840128916,24995683515563.45,0.0652168627732402,0.005834219012268785,20276489981063.63,0.01646871381354106,0.001888681637857498,11318043374156.832,0.0797825690140508,0.012903340068573023
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,27.864166736602783,27.864166736602783,0.130229504665171,0.09024329143537614,0.012895523697677273,0.3250131366386307,0.14309063670699365,0.030112689124451576,28478883746076.793,0.08249579046409881,0.008627005698799515,57698333408820.83,0.023518549163684607,0.0018096757235774377,21544304288724.473,0.08483706694253858,0.013361223561126439
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,22.43413996696472,22.43413996696472,0.12689763947195082,0.0853365601387203,0.012500274143200232,0.3124720182703346,0.13982570374564712,0.02934033472293007,26663827140278.395,0.07334866448000081,0.007072135035298904,45659756667597.79,0.020991847453207403,0.0017702797002702984,18080895951969.105,0.07987569395439427,0.012670755900424869
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,17.632745027542114,17.632745027542114,0.12991387193678855,0.08944593364185068,0.012792189280208699,0.3169218841760869,0.14135044137955258,0.02986170151238436,24732369268734.496,0.06260780514514848,0.005485336309916887,40447847931721.336,0.023585591291194096,0.002936054873625702,16295054300113.996,0.0792474428644368,0.012768820494033904
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,16.681753158569336,16.681753158569336,0.12907994531689335,0.08820255174232366,0.012757366231274367,0.32339334271852743,0.14246800297386114,0.029923783058691943,25809682267691.992,0.06740580600332928,0.006162508822841282,60311722972282.836,0.02699148590489157,0.0027808009213899374,21530351309993.78,0.08126696165610175,0.0129061147585494
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,23.252676725387573,23.252676725387573,0.1300059564201668,0.09010486571913781,0.012863655408761476,0.3147196052446779,0.14026399395912117,0.029533650858191988,23797688266178.367,0.05914537560772609,0.0049616360668841356,71337935164463.84,0.029133161293319915,0.0027793346710849104,23783905857660.555,0.07966184914482663,0.012534569251230622
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,12.277050018310547,12.277050018310547,0.13031672264040756,0.09059480480630581,0.01280812545808807,0.2993192136834308,0.13684001538435528,0.028913040572630784,26596594007717.953,0.0708038757648479,0.006686754738976251,61372707526561.336,0.027547962022156914,0.002875776213197568,21992325383569.895,0.08144666449441686,0.012820924245723172
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,24.68055295944214,24.68055295944214,0.13383886101797976,0.09470499411100641,0.013458596238176366,0.3093447437634493,0.1389471219612246,0.029246950132667704,27033755745048.297,0.07435854678503363,0.0072018775888173115,126494437825092.83,0.040708967935961474,0.003159195253908387,38382048392535.35,0.08717990769830687,0.013266654803392453
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,28.247740983963013,28.247740983963013,0.13012956105917958,0.08983480881915273,0.012916182535943035,0.3106928955266584,0.13939251322710794,0.029457230879796185,25176276195965.42,0.0643791527494268,0.005727785456514192,68449286490765.32,0.0286128028165668,0.0027929170481345955,23406390671682.74,0.08055481940306393,0.01272352898009702
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,17.47802209854126,17.47802209854126,0.13025713691260896,0.08929922772243791,0.012972292681011677,0.306446673916908,0.13849750696623334,0.02920022719316279,25625335409110.99,0.06639724192308165,0.006016131083722966,90157701662172.95,0.03307283893748805,0.0028763935781908833,28945759267821.04,0.08181670388731062,0.012766261134022077
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,20.00457501411438,20.00457501411438,0.13293218987782165,0.09366965513647611,0.013306868882122486,0.3260669309097012,0.14350028364741604,0.030300393258454964,23867913601287.383,0.05846960126296001,0.004894236898983636,115117031553196.77,0.04144663020630414,0.004331119007087193,34746236288621.016,0.08427154256328942,0.013208154511662075
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,15.819460153579712,15.819460153579712,0.12814920523045042,0.08662890959849359,0.01271431552429596,0.31511454496270225,0.14039640793270838,0.02940164181976237,23299641310932.65,0.05685897823071302,0.004631658027689908,101206395715134.23,0.03849665767133195,0.0042058461439289175,31126509256516.71,0.08059523835831213,0.012738365378919285
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,8.225757837295532,8.225757837295532,0.1347564108545561,0.09452012895261737,0.01361523330768795,0.30351188488765457,0.13806823361035953,0.029195686596458208,28617853565288.7,0.07052895188223228,0.0071156999194283725,96452792171840.98,0.03751894254828877,0.00420732734258611,31267661434282.41,0.08515906424837405,0.013533486791540157
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,5.424179792404175,5.424179792404175,0.1376064942587628,0.0974534346153974,0.014237223960125799,0.28789584779174615,0.13344858839843501,0.027826455680352045,27215567909134.37,0.0658542768560422,0.006220335458998935,22538439098668.31,0.023999477814324703,0.004514090692175504,12438501751950.645,0.08018894442104939,0.013199526447913081
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,7.096934080123901,7.096934080123901,0.1305366647936607,0.08877497391924319,0.013332508950703804,0.31580000427472743,0.1411525477807591,0.029853840130052184,28370647750646.254,0.07027486599978021,0.007033703858833163,80137905020032.67,0.034616855303858086,0.004284262683633654,27127138192669.723,0.08370481075090964,0.013626078905805715
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,6.311398983001709,6.311398983001709,0.13840324350674554,0.10164567363043223,0.014800065424785281,0.33574064480255766,0.14857329576033243,0.032187405550543814,32115487425835.348,0.08712601466706162,0.009949247366845777,89324111289650.95,0.03600819021645358,0.00413748724885346,30359899678871.64,0.09333829356856886,0.015268551397757093
Window L1,997,1754,6015,85.78151739874501,0.2196488380432129,10.28668737411499,10.506336212158203,0.12915351309918652,0.08803689465384701,0.013062945668880992,0.32404139629772666,0.1428951116992053,0.030027112938755388,27551611608202.5,0.06661447557926482,0.006391387100917238,205383313609494.88,0.060740362878972325,0.005517245500695829,58233731304424.266,0.0895717112028218,0.013749672802312375
Window L2,997,1754,6015,85.78151739874501,0.12422990798950195,6.866247892379761,6.990477800369263,0.13236866266303998,0.09092639156074757,0.013608560001851445,0.3312874330411446,0.14530636835316624,0.030778707468186582,32454606185963.62,0.08898861919847366,0.010276850552790383,146770847112020.8,0.04797623546439725,0.004578732519260105,44806363324496.16,0.09329940364419553,0.014810712635522123
Window Normal,3807,1754,3205,45.70735881346263,0.27303218841552734,17.5097918510437,17.78282403945923,0.13457285407679295,0.095104743153236,0.013586941028750082,0.3300367072496517,0.14435881823761912,0.030478713052194035,26556797606262.918,0.07112088001449925,0.006707573864533016,135719526401988.88,0.04260773378859024,0.0031953083207667664,40569081002063.03,0.08829804379848646,0.013492134066560968
Window RBF,997,1754,6015,85.78151739874501,1.9993491172790527,6.044310092926025,8.043659210205078,0.12993979846180478,0.08759836695004763,0.013293378341494503,0.3082321408230738,0.13878002605782144,0.02918615316890341,27182637662555.746,0.0659464083935838,0.00624804821378205,162994599158862.53,0.05155386265914505,0.004859885566742609,47544309205354.516,0.08596966601514897,0.013396866322730658
Window Cosine,997,1754,6015,85.78151739874501,0.8413960933685303,5.729852914810181,6.571249008178711,0.13646396432552305,0.0972402128526072,0.014143991635007867,0.3029289539459743,0.13761193842429328,0.028929988325872624,25903558195466.797,0.06254511814969747,0.005574813234136001,177409324078765.88,0.054549292918698165,0.005007329716038037,50828220568558.12,0.08798664058632352,0.013414030727763633
Window Linear,3867,1754,3145,44.851682829435255,0.14876484870910645,24.516915798187256,24.665680646896362,0.13257938833838379,0.09306410027446518,0.013280311291974876,0.3054918910008774,0.13793898606546007,0.029049614788608073,25678785756218.93,0.06725072547000138,0.006134772759076816,76112822109192.02,0.030019857980793124,0.002763105889283298,25447901966352.812,0.0820684174476803,0.012806951182235772
