Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg T_MAPE,Std T_MAPE,Avg T_MAE,Std T_MAE,Avg T_MSE,Std T_MSE,Avg UR_MAPE,Std UR_MAPE,Avg UR_MAE,Std UR_MAE,Avg UR_MSE,Std UR_MSE,Avg V_MAPE,Std V_MAPE,Avg V_MAE,Std V_MAE,Avg V_MSE,Std V_MSE,Avg P_MAPE,Std P_MAPE,Avg P_MAE,Std P_MAE,Avg P_MSE,Std P_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Window Normal,3807,1754,3205,45.70735881346263,0.2752238750457764,0.03127617598642802,18.923482799530028,3.130321588632932,19.198706674575806,3.158744046959336,0.13236237925540414,0.0029307621685524163,0.09222578643175681,0.003806744215250418,0.01329585777459651,0.0004200043712158766,0.31749339511057073,0.01034921038287094,0.14105683490884735,0.0026651782173149254,0.029673337469553775,0.0006018332363775603,26108270838762.543,1344482644908.5085,0.0694930857989743,0.0063210992997024505,0.006481170188814309,0.0009346605500131625,87685122852088.17,56363831719311.05,0.03276347949265176,0.011675774264543849,0.0030145207148536417,0.0003225494130677745,28448348422712.74,13838274485946.174,0.0838847966580579,0.0030306000321414076,0.013116221536954553,0.0002623907954434404
Window RBF,997,1754,6015,85.78151739874501,2.0843178749084474,0.30471331302740073,7.964200401306153,2.599808842546707,10.0485182762146,2.8578681383866655,0.13175057956368488,0.002798827300607099,0.09119728595115845,0.004098726430766773,0.013422513829157738,0.0003747986507715305,0.3091321498843952,0.009902752352137277,0.13934412916114688,0.002579234331039417,0.02942926108224825,0.000616753437231248,27801688683466.027,1071521948069.844,0.06820042541325784,0.0038209327817454886,0.006654465760470364,0.0006948982490699659,128373002292598.1,59846273529059.44,0.04444123776341086,0.012401408465941729,0.004643515302542663,0.0004896275888002341,39043672744016.0,14795851299643.105,0.08579576957224298,0.0031269405153166547,0.01353743899360476,0.0002487020257004722
Window Cosine,997,1754,6015,85.78151739874501,0.8629907131195068,0.04666701469279736,6.231805944442749,0.8145184370430357,7.094796657562256,0.8345869554359021,0.13240300911586603,0.004258022817010266,0.09207628906148466,0.004860436505855086,0.013490047727031744,0.0007068119727956556,0.30861515453614574,0.010715080234187824,0.1391536237066244,0.0027406012903226583,0.02930142455011086,0.000629713676017229,27349252223462.08,1324370358952.685,0.06665586342658734,0.004293402686637047,0.006353626922486624,0.0008098684427180165,114340271762392.47,51745004825367.87,0.041493775817629655,0.010646251328595353,0.004486774105940993,0.0003959203881396584,35422380996463.6,12870613046167.34,0.08484488800308099,0.003520048448598933,0.013407968326392553,0.00029466338536711964
Window Linear,3867,1754,3145,44.851682829435255,0.14065213203430177,0.014606799499054662,17.96530213356018,3.806040244952153,18.105954265594484,3.8085892229826204,0.13096558680855702,0.0015393192804396103,0.0909432924390502,0.0023223320939785917,0.01301853375765502,0.00021864809652998347,0.30796284291854975,0.005512666425147377,0.13874356448193176,0.0012177162495961684,0.029225386432844766,0.0001946351766795203,26441853036941.89,1129998023215.5713,0.07100640782473355,0.005869564622593799,0.006723442932050477,0.0009110543647017056,67443500354260.6,17529462200352.084,0.028382872049659058,0.003548587203227173,0.002791660121691669,5.696107530535185e-05,23471338347800.695,4589157462692.0,0.082269034198844,0.002078307990003912,0.012939755811060485,0.00024210485784556315
Window Clinear,5087,1754,1925,27.452937820878493,0.10868158340454101,0.009745166755661632,18.23934140205383,2.6015441194421265,18.348022985458375,2.6030593533428013,0.1302197626620685,0.0018645619621035143,0.08986696803087559,0.002847205937914659,0.012941210964801964,0.0002486991941242587,0.3162938713307551,0.009389855067779614,0.14092904294663045,0.002251759071162318,0.029694719768098298,0.0004293486581876131,27783827261730.133,1119050988122.6528,0.07825935188810963,0.0059358794409088474,0.007899861274487188,0.0010475404209388743,65567457870372.04,17289360993360.402,0.028104454005026102,0.0034876060923283883,0.002820412987579507,6.277136374346447e-05,23337821283025.613,4344120313708.8433,0.08428995421766074,0.0016885958583261868,0.013339051248741738,0.0002722154295222187
Window Rank,952,1754,6060,86.42327438676554,0.13478994369506836,0.013072916089317582,6.157778358459472,1.040136486521276,6.292568302154541,1.0473850067952482,0.13374016205122297,0.006130291363878486,0.09371243609054751,0.007028459639589814,0.01379337200132301,0.0011512076753524996,0.3271247876472101,0.015584450019757917,0.14417889582407972,0.004601718285312809,0.030489332611936416,0.0013035598850198687,26501900200746.3,2144698671219.5217,0.064283699764379,0.005993278329171945,0.005979328355563693,0.0010526020389726044,76177937852355.61,27831451480160.957,0.033580910143144786,0.005482558229370122,0.004219735045663756,9.721884609624399e-05,25669959513275.45,6780093818235.603,0.08393898545553723,0.0024176093371972743,0.013620442003621724,0.00030988248631139066
Window Mahalanobis,1002,1754,6010,85.71021106674273,0.4406763553619385,0.04876301161845099,6.622161149978638,0.5440935139695331,7.0628375053405765,0.5388312517403246,0.1331847242385818,0.002305711956511678,0.09272754363188294,0.0035042091791103566,0.013613818007394437,0.0003607855105788483,0.31043630883372614,0.019799994353023216,0.14001677915827507,0.0045333186885894465,0.029680626188755284,0.000819747368947747,27223987501684.863,2681455558123.8555,0.0670922968942648,0.00928775709237739,0.006423057768078554,0.0016584563701357395,112879651570990.52,32138935112645.05,0.04116954415483534,0.006551693033173577,0.004424605491780808,0.00016411854326060617,35025909768168.832,7865853000440.425,0.085251540959814,0.003415636341278913,0.013535526864002277,0.0004591098156615867
Window AR,997,1754,6015,85.78151739874501,0.17835712432861328,0.01901523971266989,5.542664527893066,0.9520637119289755,5.72102165222168,0.9659811648197346,0.13335286250858777,0.0055655805645769526,0.09244209707966626,0.006363682190515115,0.013745440403370052,0.0009117442745418547,0.31183217517976397,0.005354672097432768,0.14022468460950432,0.0012668184511029695,0.02964152849250571,0.00028098413367600334,28128310175104.484,2254115415081.569,0.07012742124903044,0.007925912180408945,0.00696376844493377,0.0014516731451839474,141296734204327.97,71770235451327.56,0.04729447073985059,0.015084914637059844,0.004893359862234116,0.000783618675226635,42356261094858.12,18048393586377.66,0.0875221684195124,0.005562520459465883,0.013811024300760909,0.000629104188818081
Window Mean,1970,1754,5042,71.90530519110096,4.562876987457275,0.4832497684185964,16.52475357055664,2.4864853078441707,21.087630558013917,2.7118046917675533,0.13280837648348037,0.004341984704625029,0.09289052033881778,0.005013141299280309,0.013335292148373642,0.0007335826926217267,0.3335477542776968,0.005684875730238562,0.14570064385577344,0.00170199093828186,0.030871469648441046,0.0005323948225960664,27551194388515.227,1682668780532.885,0.06754403894654211,0.005728056095773228,0.006513342311409305,0.001049278829685374,87183215436872.7,40424607995776.94,0.03581148732338688,0.008010818053547917,0.004265771569282185,0.00013137021780672956,28683602456346.973,10222155547415.227,0.08548667261612958,0.003272894037637787,0.013746468919376547,0.00037038191204317295
Window Median,997,1754,6015,85.78151739874501,4.562876987457275,0.4832497684185964,6.989503955841064,1.5625238815550433,11.55238094329834,2.030354982816199,0.132177225217866,0.004460395817619133,0.0919123071009959,0.006065438252269869,0.01352103335750912,0.0006265300912555713,0.31247844438444883,0.01310972431530479,0.14058985119297224,0.0030233387892013054,0.029790174688826134,0.0005566900695565475,28536834973677.12,2804805440993.123,0.07225129820759912,0.010154768563325133,0.007344189008349495,0.0017670493841665717,101412669438044.08,53414873302854.5,0.038813501086601206,0.01095519568769765,0.004407714588125426,0.00037832146016063744,32487376102930.32,13589684979082.514,0.08589173939704159,0.004449306154272619,0.013765777910702543,0.0005303501646372775
Binary Segmentation L1,6922,1754,90,1.2835139760410725,1.2650118827819825,0.1177115353770133,24.529712438583374,6.355273102727938,25.794724321365358,6.363509312661125,0.13031365386471844,0.00309718198813217,0.09026748454980404,0.003465240132865338,0.012941372192118132,0.0005139225323355796,0.31156698275664346,0.013009931512069677,0.13994254252428864,0.0030100211230360266,0.029589194846486252,0.0005498027163398693,24740327112350.36,1787965598134.1562,0.06450560065614339,0.007039191994888435,0.005734761619211412,0.0010334452600508713,26465935752758.58,16444890631111.488,0.017654165575270515,0.0030602504767654783,0.0018849958778168585,6.248524838187532e-05,12801565716277.28,4099992572358.57,0.078092448326377,0.0010284188162697754,0.012537581133908156,0.00010043955257419028
Binary Segmentation L2,6922,1754,90,1.2835139760410725,0.33544349670410156,0.04262712884199127,28.457018995285033,10.612764370715084,28.792462491989134,10.615141816950404,0.13018935063524317,0.00220513242667038,0.08927507629155168,0.0033900120586905762,0.013002194338417294,0.00026552374341171244,0.31836288626374576,0.01407899449988482,0.14144840991954225,0.00343941525826307,0.029799234543074423,0.0007644495116162391,25996227477441.16,1245320095578.6042,0.06955873498728293,0.005809126502690097,0.00649025540263451,0.0008663534500689015,46733401285721.53,6606308286731.545,0.021455476811068994,0.0013088096218123759,0.0018235249801105192,1.0596339655960824e-05,18182407190790.734,1674255177881.4658,0.08043442450236181,0.001732956641227648,0.01277880231605918,0.0001780613305087748
Binary Segmentation Normal,1957,1754,5055,72.0907016543069,0.5856667995452881,0.09083155549013752,10.781834983825684,6.646546059093063,11.367501783370972,6.715308031146203,0.13200803863862975,0.0027351463382612267,0.09222517755825879,0.0028164746155810378,0.013121919000966428,0.0005057185610278037,0.3331521618058916,0.012204206571424037,0.1459109789201991,0.003514236592698888,0.031023466207940095,0.0008922257181884307,27195264224127.67,1640163451554.1719,0.06612085815435179,0.0047368483408443685,0.006273270747755556,0.0008922705877136523,95094597084470.92,31812913072946.867,0.037439793952975274,0.006151679272712302,0.004279062912843243,0.00011041929893755603,30572465327149.63,7987307452423.399,0.08542420214644578,0.0018488665362523427,0.013674429717376332,0.0003230618235631
Binary Segmentation RBF,6922,1754,90,1.2835139760410725,87.76793022155762,2.0514599278049808,23.14213647842407,9.606006929016925,110.91006669998168,9.809949531739049,0.1298826623758536,0.0012211741451911137,0.08963928126950349,0.001427903584832342,0.012840282200197325,0.00015851585498662717,0.32048144105240145,0.009066692039098304,0.14213429335873673,0.002432493751566733,0.030015964661206748,0.0005246490491630668,25900025242215.2,1989963010684.4338,0.06829716603791433,0.009422094728279642,0.006351738081490128,0.0014297816189587558,60442862493614.79,17642098357765.38,0.024237248760120483,0.003473530770795025,0.0018593932589988393,3.823630906456721e-05,21585721933957.54,4874884207841.843,0.0810769973565691,0.0032586065524414522,0.012766844550473255,0.00042425591444603843
Binary Segmentation Cosine,5727,1754,1285,18.325727324586424,68.86971440315247,1.3338136063567165,22.70612187385559,6.388613508007388,91.57583627700805,5.656021853849706,0.13196441011702062,0.0027553803376078973,0.092428316269594,0.0038118746284379478,0.01318072369950233,0.00036622585782396597,0.32077632513171883,0.019932214744922544,0.1423844730362731,0.004687128324982582,0.030130490636102323,0.0008122715752690994,25975797779888.684,1356350947990.1477,0.06905189145000307,0.00632434527091825,0.00642884923887643,0.0009717320228924284,56381061008651.07,25884513908385.145,0.023457042357214172,0.005031756850751871,0.0018695736926208704,4.902194828253842e-05,20589214697135.0,6521594476253.368,0.08183043077827142,0.002437048037931352,0.012902409316775486,0.0004201256840653483
Binary Segmentation Linear,1827,1754,5185,73.94466628636623,0.4640646457672119,0.01814773365543359,10.060681486129761,1.2682934148381173,10.524746131896972,1.2830522094027497,0.13207813558992362,0.0019160921176489699,0.09161609275535691,0.0031826004274551015,0.013228695620894286,0.0002267346239247641,0.31600310800374204,0.017412057241903957,0.14118747529958955,0.00475242744021494,0.029806257006024843,0.0012736294998172194,25128436948894.184,2183793526414.9585,0.060413797408600256,0.005710378278932228,0.00530417774665736,0.0009832626803720572,78214990804566.31,7683104284484.141,0.03389252271037701,0.001510449111881994,0.004155989323164355,3.7968606216934574e-05,25835856938365.113,2115957539987.6401,0.08177747204348051,0.0010606000726900923,0.013123779924185204,0.0003315531128083089
