Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,121.42822313308716,3.4596784114837646,124.88790154457092,0.0913709288524651,0.07757501104497566,0.007496948805705105,0.11097097962030128,0.08888521711667408,0.009605747468497667,4.0426649171509315,0.5163743726891789,0.3434078241032303,22.98913144125853,0.48138848694365505,0.33007877448779815,6.808534566720555,0.291055771948621,0.17264732371630787
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,132.9057719707489,5.642235040664673,138.54800701141357,0.08540087931633535,0.07298816641863747,0.006839575051614637,0.10102082923446086,0.08003750908606581,0.008146367181519848,1.8283605336632511,0.5021958050572919,0.35578047461684736,35.13639881570248,0.5590746182122125,0.4002570244609168,9.28779526447913,0.303574024693552,0.19275586032772468
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,112.31245398521423,4.8094401359558105,117.12189412117004,0.08397327862474992,0.07177844821563448,0.006904407475621237,0.10385286459010107,0.08508063379650264,0.00903745235292401,2.5068848589075756,0.5116521244529898,0.34757625377595297,2.679506700531995,0.5206719741314236,0.410538175660341,1.3435544256636054,0.29729579514913773,0.19351407231620976
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,106.29587817192078,7.358633995056152,113.65451216697693,0.08778128939590357,0.07487820893846411,0.007612568162069894,0.05904881173194178,0.04792747478027509,0.003187312462963883,2.2082754240983036,0.5570477465215471,0.4019393515858237,3.448109601762416,0.47310835437418036,0.3078498123550603,1.450803781747141,0.2882404461536167,0.1801472611414795
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,129.0948007106781,5.354002952575684,134.44880366325378,0.07109727005412077,0.06192933222608253,0.005272175950713014,0.06434238259417437,0.054903353527639476,0.004529902213637028,2.8565777756672137,0.5331211953718306,0.3636665763756186,2.7848657471819247,0.4777738485658445,0.32043291462435197,1.4442207938743583,0.2819319324228493,0.17347539229108014
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,105.21712374687195,6.664552927017212,111.88167667388916,0.06041938791035395,0.053256674532199115,0.004294957838701021,0.05358785155731142,0.04418755911968126,0.0027163706373396442,2.4487230623787486,0.5483204339909256,0.38644660908048784,2.2900797656068383,0.4714226985836895,0.3182470614580706,1.213202516863313,0.27929684155662393,0.1779262497536498
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,109.52812695503235,5.943800926208496,115.47192788124084,0.04779654650317905,0.0437864563058432,0.002875297155660825,0.06458183293572266,0.05493959691262019,0.004253899031794756,2.9597264192779322,0.5693140171347701,0.4034007368138208,15.380711573005177,0.4664703574724316,0.2923982174369797,4.613204092930503,0.28362760695641637,0.17573203760956407
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,116.8160970211029,4.414042949676514,121.23013997077942,0.06224072209723657,0.05462840716737306,0.00401495306504883,0.057012723880858554,0.04925366352826413,0.0033124460580842736,2.5291693527226142,0.5600399155676198,0.4035066238071178,2.339815384823772,0.42183442062889775,0.2809758397475672,1.2470595458811204,0.2714391017230387,0.17295246566945455
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,91.71563172340393,3.8159759044647217,95.53160762786865,0.0478790607321226,0.04331870229645786,0.002799948734974498,0.039871298330047676,0.03416249715187471,0.0015579714346309313,2.4524907505501092,0.560634424595685,0.40259714206920105,35.78997042016819,0.4445303258604432,0.27542558336124734,9.58255288244512,0.2706614874761153,0.1705951614000134
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,88.02151775360107,3.4513328075408936,91.47285056114197,0.052993660725979955,0.04879394375126402,0.003201082676593155,0.05327648343402351,0.047015212280931654,0.0030665008306756656,4.399079094448377,0.5478051677919439,0.37115308125535396,3.493071040708687,0.49627059462326745,0.3339398917663275,1.9996050698292667,0.28497122961185184,0.17784013913223756
