Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,197.19959592819214,4.256314039230347,201.45590996742249,0.10016820599656272,0.08429899443644719,0.008477617866586844,0.08444145838854412,0.06538773918331672,0.005480340496062489,19.746140029815937,0.47829739260825915,0.29484866922322733,18.196909867338277,0.5440180832183663,0.3904463551810474,9.53191489038483,0.2930005523615975,0.174813245691731
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,147.00844407081604,5.5848822593688965,152.59332633018494,0.09071620081597408,0.07704238893561312,0.0074005532153460325,0.08051496271008254,0.06235013965168802,0.004808333660162901,2.1629614178868355,0.5593603619657932,0.4048061597503175,46.63883404131236,0.5025211459878721,0.33198134346625047,12.24325665568131,0.3003185091352417,0.18724909752301921
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,136.8230278491974,5.484661102294922,142.3076889514923,0.11287418889014109,0.09364898556883801,0.010556449344780727,0.08515941070134049,0.06798508592833001,0.0057170400839312,2.040560618326127,0.552992769677705,0.4063549584068349,2.9221060292657595,0.5752117593711845,0.45703245978369456,1.290175061795842,0.32245965013651456,0.21991522690481036
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,131.60079717636108,13.057437896728516,144.6582350730896,0.07304507727219173,0.06366718034253283,0.00526829911392465,0.05037745433869941,0.04030988508947912,0.002387416909886912,37.655757248447735,0.527816367097866,0.34242760231370417,3.6733692188986824,0.4800287603973499,0.312431619606984,10.363137249739328,0.277955548231807,0.16562873448612492
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,141.99234795570374,5.908156156539917,147.90050411224365,0.10723191831426854,0.088922856429384,0.01071935663745522,0.06703572267653887,0.057180942892224494,0.004188213226513628,2.7492475083653667,0.5685328661758543,0.4106841639681456,2.0761504511273,0.4887963626619236,0.3530645466504639,1.2499164001208682,0.30085825703984664,0.19466407012064463
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,138.8152949810028,9.023665189743042,147.83896017074585,0.09071351443378631,0.07701851877814074,0.008044175817133268,0.05861872112774887,0.04932673570712513,0.003616885769704816,2.7211003182514,0.5579233140355809,0.39316123515308626,616.3292451620619,0.5065509062804373,0.3255131887539725,154.79991942896868,0.2977048687003211,0.18258387137347426
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,119.80347013473511,6.661015033721924,126.46448516845703,0.051931509098326605,0.04642491678319194,0.0035654238744569572,0.054493105163347426,0.04418037121646973,0.0027601350491580135,2.169430680352489,0.5531183500019805,0.3999333011375714,2.25786183675905,0.45664078533389,0.3068102075480892,1.1334292828433035,0.2750911058338831,0.17826726690231887
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,125.11068320274353,4.481060028076172,129.5917432308197,0.06702239136437953,0.05767447332420494,0.005366089012208268,0.0440443627881162,0.0365580637726575,0.0021189348716792048,9.825464243643774,0.5480446942576266,0.36806486101895697,3.0333381437398272,0.5128448811311243,0.3547724950624285,3.2424672853840244,0.28878052812140337,0.18258059499131823
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,122.37266516685486,4.7234179973602295,127.09608316421509,0.04820195500970948,0.04360010483575385,0.0027902511694015866,0.06580022913697368,0.058948159998926185,0.0047248900311494995,2.440612683707361,0.5181879353619032,0.3577860970506966,1.787397909360876,0.4419794572301939,0.3094185704862716,1.0855031943037303,0.26567891435669433,0.16867995218437976
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,117.94405722618103,6.433978080749512,124.37803530693054,0.04424030178258813,0.040298073314641816,0.002464937957697923,0.0503269010856263,0.043835521752547825,0.0026053339358707702,2.133145425039292,0.5299874598355752,0.375842733779238,4.515098001730974,0.5130167342344298,0.3424720124720572,1.6857026574096194,0.28178444728429874,0.18084625453621592
