Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,11.499750137329102,11.499750137329102,0.07274020882266273,0.028313645837364614,0.0013545289531422286,0.07274020882266273,0.028313645837364614,0.0013545289531422286
Fixed Cut 5.0%,380,100,20,5.0,N/A,5.774619817733765,5.774619817733765,0.08234985537180607,0.032855243117600776,0.001581786995970787,0.08234985537180607,0.032855243117600776,0.001581786995970787
Fixed Cut 10.0%,360,100,40,10.0,N/A,13.720686912536621,13.720686912536621,0.05996128227434132,0.02359304336039212,0.0009102766444222624,0.05996128227434132,0.02359304336039212,0.0009102766444222624
Fixed Cut 15.0%,340,100,60,15.0,N/A,9.764220237731934,9.764220237731934,0.0715400127748074,0.028437116507071942,0.001166433603057269,0.0715400127748074,0.028437116507071942,0.001166433603057269
Fixed Cut 20.0%,320,100,80,20.0,N/A,6.768415927886963,6.768415927886963,0.08011251258029556,0.031145835702626287,0.001539706065163164,0.08011251258029556,0.031145835702626287,0.001539706065163164
Fixed Cut 25.0%,300,100,100,25.0,N/A,12.861276865005493,12.861276865005493,0.06301901526497969,0.024876166585701073,0.0009448797654251908,0.06301901526497969,0.024876166585701073,0.0009448797654251908
Fixed Cut 30.0%,280,100,120,30.0,N/A,5.777604103088379,5.777604103088379,0.08234179689307368,0.03216304809912743,0.0016378858855251007,0.08234179689307368,0.03216304809912743,0.0016378858855251007
Fixed Cut 35.0%,260,100,140,35.0,N/A,9.545408010482788,9.545408010482788,0.062376369305022626,0.024210454112065707,0.0009928415589776879,0.062376369305022626,0.024210454112065707,0.0009928415589776879
Fixed Cut 40.0%,240,100,160,40.0,N/A,5.329753160476685,5.329753160476685,0.08799099775590473,0.033113628897423,0.0018386787083937018,0.08799099775590473,0.033113628897423,0.0018386787083937018
Fixed Cut 45.0%,221,100,179,44.75,N/A,4.1308629512786865,4.1308629512786865,0.166943219093767,0.059152882038691214,0.005185049307789843,0.166943219093767,0.059152882038691214,0.005185049307789843
