Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,4.727593898773193,4.727593898773193,0.11450983256949725,0.09931394891374644,0.014016633179957777,0.11450983256949725,0.09931394891374644,0.014016633179957777
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,5.5329389572143555,5.5329389572143555,0.10705601632084849,0.09153913005711699,0.011749098999255995,0.10705601632084849,0.09153913005711699,0.011749098999255995
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.486143112182617,3.486143112182617,0.11321803841456632,0.09826772039557874,0.013648863220407747,0.11321803841456632,0.09826772039557874,0.013648863220407747
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,5.71318507194519,5.71318507194519,0.10401515410283589,0.0881244919837696,0.01079482607823113,0.10401515410283589,0.0881244919837696,0.01079482607823113
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,4.44845986366272,4.44845986366272,0.10611691529887085,0.09002925706353097,0.01142167515246622,0.10611691529887085,0.09002925706353097,0.01142167515246622
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,4.800260782241821,4.800260782241821,0.10963022128849544,0.09373731584687416,0.0125308988945133,0.10963022128849544,0.09373731584687416,0.0125308988945133
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.690798759460449,3.690798759460449,0.10980095976797011,0.09358949640451023,0.012730348920151714,0.10980095976797011,0.09358949640451023,0.012730348920151714
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,5.452901124954224,5.452901124954224,0.10415285303466067,0.08822379211574195,0.010715897078215174,0.10415285303466067,0.08822379211574195,0.010715897078215174
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,4.479783296585083,4.479783296585083,0.10719295448181664,0.09090807890787309,0.011833015056828872,0.10719295448181664,0.09090807890787309,0.011833015056828872
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,4.519349098205566,4.519349098205566,0.10878777459555392,0.09250639703630062,0.012284139934981921,0.10878777459555392,0.09250639703630062,0.012284139934981921
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,4.822610855102539,4.822610855102539,0.10533106773691145,0.08918304314477292,0.011504891296770948,0.10533106773691145,0.08918304314477292,0.011504891296770948
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,3.854137897491455,3.854137897491455,0.10826899025619316,0.09149120553503878,0.012142044988999427,0.10826899025619316,0.09149120553503878,0.012142044988999427
