Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,3.1461429595947266,3.1461429595947266,0.14801209555024575,0.036730302051861015,0.002029177779946892,0.6210458830299639,0.021079824997389196,0.000920768349990891,0.3845289892901048,0.028905063524625102,0.0014749730649688912
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,4.273280143737793,4.273280143737793,0.1651600906387344,0.04083985342020023,0.0025313365030664708,1.091213578147855,0.03383103952568603,0.0014586319700137275,0.6281868343932946,0.03733544647294313,0.0019949842365400983
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,2.9704790115356445,2.9704790115356445,0.14562886444541112,0.03777361254501103,0.0020411860664320196,0.32222489818909505,0.015386337427087497,0.0008772745908630108,0.2339268813172531,0.026579974986049266,0.001459230328647515
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,2.735934019088745,2.735934019088745,0.1449115340856188,0.03470400461879914,0.001824320774259133,0.7200400437544545,0.02354569713913859,0.0009967855931519946,0.4324757889200366,0.029124850878968864,0.0014105531837055644
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,2.7363321781158447,2.7363321781158447,0.1621861681701883,0.0385512409247618,0.0022069868488878335,1.1809834998637352,0.03645107767591169,0.0016603009524414753,0.6715848340169617,0.037501159300336734,0.0019336439006646545
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,2.8994810581207275,2.8994810581207275,0.2169259097401683,0.05159727061208474,0.0038079932629966986,0.8561607186829572,0.027793821733023978,0.001206349587478017,0.5365433142115629,0.03969554617255435,0.0025071714252373565
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,3.107208251953125,3.107208251953125,0.24949675164097063,0.059348298359078025,0.005044978719493477,1.0534471525098976,0.03274706914009821,0.001395501796165512,0.6514719520754341,0.04604768374958813,0.0032202402578294957
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,3.0997989177703857,3.0997989177703857,0.2441839820271408,0.059040616286330366,0.004626306215515019,0.7384257268493244,0.024490078975114217,0.0010637371944053164,0.4913048544382324,0.0417653476307223,0.002845021704960168
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,3.032304048538208,3.032304048538208,0.34840457752107645,0.08668545269020152,0.008906983267017922,0.7587616314080351,0.024449978616950002,0.0010044043335090782,0.5535831044645557,0.055567715653575774,0.004955693800263497
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,2.957710027694702,2.957710027694702,0.29246776416507275,0.0725705282836003,0.006345577912624858,0.4554926363432243,0.017703722683991518,0.0008922210297008706,0.37398020025414846,0.04513712548379593,0.0036188994711628636
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,2.6550068855285645,2.6550068855285645,0.2653935024306063,0.06316509669869388,0.00567545411240938,0.536475513649683,0.02039991053170402,0.0010209517644971832,0.4009345080401447,0.041782503615198946,0.003348202938453282
