Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,300,76,N/A,N/A,N/A,3.80322265625,3.80322265625,0.21416026152225742,0.11451083394980843,0.013991115793238683,0.4204282924187269,0.47005785211371487,0.22159684631290189,0.31729427697049223,0.29228434303176165,0.11779398105307029
Fixed Cut 5.0%,285,76,15,5.0,N/A,4.217153072357178,4.217153072357178,0.21877065133021503,0.2055584487341442,0.044895002346085934,0.36594981328159815,0.4089954530857107,0.16797287003202835,0.2923602323059066,0.30727695090992746,0.10643393618905712
Fixed Cut 10.0%,270,76,30,10.0,N/A,3.4677677154541016,3.4677677154541016,0.20994758484470183,0.20177638112427426,0.044816475100594895,0.38480244439541755,0.43028529752954336,0.18581111915533072,0.2973750146200598,0.3160308393269088,0.11531379712796279
Fixed Cut 15.0%,255,76,45,15.0,N/A,4.772941827774048,4.772941827774048,0.2444983781939355,0.23791898865423236,0.061596839359640596,0.3643917223690165,0.40794171034524546,0.16734711616616532,0.304445050281476,0.3229303494997389,0.11447197776290295
Fixed Cut 20.0%,240,76,60,20.0,N/A,4.146174907684326,4.146174907684326,0.2779951916074261,0.27328518867285245,0.0810435504574814,0.38118762912953025,0.426878251978575,0.18343463137465366,0.3295914103684782,0.3500817203257138,0.13223909091606756
Fixed Cut 25.0%,225,76,75,25.0,N/A,3.312134027481079,3.312134027481079,0.20131176419401325,0.18769696152521112,0.03742651672173449,0.28651356120651905,0.32056636231631613,0.10336832569925683,0.2439126627002661,0.25413166192076364,0.07039742121049566
Fixed Cut 30.0%,210,76,90,30.0,N/A,3.9759669303894043,3.9759669303894043,0.20108722911721544,0.18771316707790658,0.0380543663085381,0.3296754643603552,0.36920618155826834,0.13727272450329536,0.2653813467387854,0.2784596743180875,0.08766354540591675
Fixed Cut 35.0%,195,76,105,35.0,N/A,3.3971900939941406,3.3971900939941406,0.2086547909548784,0.18799708905219928,0.03724418771990724,0.22581070615721127,0.2527526004600712,0.06427030122515362,0.21723274855604485,0.22037484475613522,0.050757244472530424
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,3.7049360275268555,3.7049360275268555,0.2424633271795674,0.2319853151687667,0.05729000437098549,0.2802425764456436,0.3138729809860748,0.09929559724023453,0.26135295181260554,0.27292914807742075,0.07829280080561002
Fixed Cut 45.0%,165,76,135,45.0,N/A,4.876862049102783,4.876862049102783,0.2533062358249422,0.24441364896262796,0.06354596851548941,0.28460101498873525,0.319166731230713,0.10325759763167079,0.2689536254068387,0.2817901900966705,0.0834017830735801
Fixed Cut 50.0%,151,76,149,49.666666666666664,N/A,3.7718162536621094,3.7718162536621094,0.2297677541441079,0.21567249398093188,0.048737475104793,0.2113356751460651,0.23660096318924054,0.05653118724574812,0.22055171464508644,0.22613672858508624,0.052634331175270554
Fixed Cut 55.0%,136,76,164,54.666666666666664,N/A,3.454874038696289,3.454874038696289,0.17384915174627588,0.15443805176071396,0.026655784203967307,0.1914918721959837,0.21411703298155957,0.046451382670590624,0.18267051197112977,0.1842775423711368,0.03655358343727897
Fixed Cut 60.0%,120,76,180,60.0,N/A,3.8669140338897705,3.8669140338897705,0.20802854802464074,0.19493739082985925,0.04105136119062104,0.1278111247026386,0.1432892698318558,0.020887064744992283,0.16791983636363964,0.16911333033085751,0.03096921296780665
Fixed Cut 65.0%,105,76,195,65.0,N/A,3.3417491912841797,3.3417491912841797,0.2376489554181854,0.23025974515348135,0.05695413490637187,0.13071105777980624,0.14666085493835992,0.02192690429993949,0.18418000659899586,0.18846030004592063,0.03944051960315567
Fixed Cut 70.0%,90,76,210,70.0,N/A,3.5414180755615234,3.5414180755615234,0.23078142972936916,0.22244048477739423,0.053064398360808826,0.1309317426621496,0.1471418713323808,0.022271673335574015,0.1808565861957594,0.1847911780548875,0.037668035848191415
Fixed Cut 75.0%,75,76,225,75.0,N/A,3.1203739643096924,3.1203739643096924,0.2157339344528749,0.2049314631565747,0.04488217648815081,0.11524205529116094,0.1287127699550871,0.017827169169285693,0.1654879948720179,0.16682211655583093,0.03135467282871825
Fixed Cut 80.0%,60,76,240,80.0,N/A,2.422390937805176,2.422390937805176,0.2048925959231639,0.18847305978346457,0.03776525144528794,0.08168512005651238,0.09003703747465851,0.009833157202438114,0.14328885798983815,0.13925504862906155,0.02379920432386303
Fixed Cut 85.0%,45,76,255,85.0,N/A,2.6169447898864746,2.6169447898864746,0.1964324649782022,0.21337232463130112,0.04952250688341567,0.058561523985683164,0.0656880171839016,0.00537281329036296,0.12749699448194268,0.1395301709076014,0.02744766008688932
