Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,407,102,N/A,N/A,N/A,4.161077976226807,4.161077976226807,0.04293286033299629,0.03793544906644041,0.0019311730134409899,0.2082610317088477,0.22420314456359755,0.053315472792167876,322438010428664.2,0.28455596343969836,0.1236943960413241,0.3491083073544041,0.3707133928350469,0.283017956231975,80609502607166.2,0.22935198747619584,0.11548974951972696
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,4.033067941665649,4.033067941665649,0.06266878523199365,0.05611111877501821,0.004760527651270082,0.20939569258795687,0.22427254193780088,0.05245671392721602,444309378110173.25,0.27508859976844574,0.09756289813280734,0.33373212844325034,0.3485914504122006,0.25063271952095256,111077344527543.45,0.22601592772336632,0.10135321480806146
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,3.639057159423828,3.639057159423828,0.04070916907887311,0.03616852235837532,0.0015623445219525183,0.2306999797276332,0.24837959848024763,0.06528995176144918,462601533624018.44,0.27617709320345213,0.0960047808123486,0.29486271279112447,0.3294236829440841,0.23596215742413762,115650383406004.75,0.22253722424653974,0.09970480862997194
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,5.266477108001709,5.266477108001709,0.04477782804110104,0.04017484159361686,0.0019352355161505437,0.2584122884496816,0.27837706835718945,0.0823384535230596,483221010413201.75,0.2734831023893937,0.09082173204898798,0.27978677287542936,0.3316621323865453,0.252948474488991,120805252603300.58,0.23092428618168626,0.10701097389429726
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,4.254375219345093,4.254375219345093,0.05341509665828838,0.047875903889105766,0.00240415666485557,0.21423484813676502,0.23236611611037297,0.05995387363246338,405978405606109.25,0.25798168839334296,0.09939297149759922,0.3097195583096918,0.3537423268849364,0.2705547483949695,101494601401527.45,0.2229915088194395,0.10807643754747193
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,4.686239957809448,4.686239957809448,0.05292477131838624,0.04823093738716709,0.003250056899809738,0.2759121439132052,0.2985425481678038,0.09694306997874154,305134911710132.8,0.2759556742692506,0.12001566247893748,0.29186227792825686,0.41064008715420186,0.3754208286029759,76283727927533.36,0.2583423117446058,0.1489074044901161
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,4.831967830657959,4.831967830657959,0.0718148364188591,0.06476839415058519,0.005032615596627456,0.23160817373348674,0.24936704604321824,0.06542397429324485,528252685723756.06,0.29063356532603923,0.10194961077409635,0.31571941270309195,0.4071617490467894,0.3493362855474475,132063171430939.17,0.25298268864165807,0.130435621552854
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,4.488625764846802,4.488625764846802,0.019089852801554587,0.01770462667352657,0.0008771674674487665,0.1853408307246967,0.19871542422467575,0.04170260404237991,305925541369576.06,0.279140574113872,0.12194252252974043,0.28311709912300004,0.402487215253927,0.37129018418894294,76481385342394.14,0.22451196006650037,0.13395311955712802
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,4.632079124450684,4.632079124450684,0.13024516946716705,0.11864801154046493,0.019015531318581195,0.2117897060663518,0.22761908989276175,0.055884459493723386,199828762950645.53,0.26327819473390934,0.1273559145917316,0.3151586623735606,0.44632187461124206,0.44711521557720324,49957190737661.55,0.26396679269459455,0.16234278024530985
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,4.180803060531616,4.180803060531616,0.13088134865175458,0.12192415777458329,0.035635173441507496,0.11549010192050847,0.1229244629051183,0.01820213864914888,264116971638827.44,0.48223885548000867,0.4645065234339924,0.28144562728545186,0.602938545205128,0.839249672545402,66029242909706.99,0.3325065053412096,0.33939837701751263
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,3.828636884689331,3.828636884689331,0.24213711183224368,0.22306897776413148,0.08567274430337286,0.12736444951733752,0.13766299956795838,0.02209345287488298,283461687123364.7,0.4711085516689228,0.43234522029368644,0.31830874736112436,0.901961874394696,1.8152924156514358,70865421780841.34,0.4334506008489273,0.5888509582808444
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,3.3842601776123047,3.3842601776123047,0.06984298227710431,0.06308019121297816,0.0057535073100824455,0.10372871548845365,0.10913618859617201,0.017955440892847088,293484877556165.0,0.46003044435111123,0.4049267886282017,0.29090715390670036,0.8383291503768431,1.6064274865318109,73371219389041.39,0.367643993634276,0.5087658058407355
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,2.8575282096862793,2.8575282096862793,0.21568032466824352,0.19882925320334366,0.06995938223667708,0.2019991364204116,0.2228247854078777,0.07443740980038031,248069923567249.8,0.4148413848645966,0.3369981352876757,0.2680020241432697,0.7822221372512492,1.4331207822970726,62017480891812.625,0.4046793901817666,0.47862892740545143
Fixed Cut 65.0%,143,102,264,64.86486486486487,N/A,3.660645008087158,3.660645008087158,0.05054788886281331,0.050250996022269255,0.004550195884981289,0.11452457691643299,0.1253257705785433,0.021022141311680613,169605434118877.25,0.525823815409277,0.6105366742374332,0.362710563382604,1.0290899543013559,2.347663996647685,42401358529719.45,0.4326226340778612,0.7459432520204448
Fixed Cut 70.0%,123,102,284,69.77886977886978,N/A,2.845521926879883,2.845521926879883,0.06360844186477749,0.06547789419532903,0.008106390339568507,0.1790177900655604,0.1979055641321466,0.05915771628587227,284729624162951.06,0.5576070923232587,0.6320433318419154,0.3349726974734291,0.9543891228205951,2.0381643266545333,71182406040737.9,0.44384491836783235,0.6843679412804724
Fixed Cut 75.0%,102,102,305,74.93857493857494,N/A,2.6819422245025635,2.6819422245025635,0.13396672224898318,0.1381680296982676,0.03550736975555272,0.09325171782381587,0.09973329793187027,0.012047804629127358,297411423634788.06,0.6631001112874771,0.926422963379407,0.3189649907756507,0.9207096058628299,1.9559262011381155,74352855908697.16,0.4554277611951111,0.7324760847255511
Fixed Cut 80.0%,82,102,325,79.85257985257985,N/A,2.6443581581115723,2.6443581581115723,0.10924051311619257,0.112728834007744,0.026690970573091284,0.16404893991720096,0.1813532335917129,0.04371619347611441,309631368248826.94,0.5870576409987581,0.6997521869355363,0.3175340120444618,0.9001871917455491,1.8019367483299067,77407842062206.88,0.445331725085941,0.6430240248286623
Fixed Cut 85.0%,62,102,345,84.76658476658476,N/A,2.637561082839966,2.637561082839966,0.12998376168300016,0.13520062002855174,0.04482596361878352,0.13836256336105587,0.17213531453122585,0.04027198363517863,224685707631346.94,1.000956039358103,2.3439027033870565,0.34803858637294316,1.0044012890697196,2.3068129684975562,56171426907836.89,0.5781733157469,1.1839534047846434
Fixed Cut 90.0%,41,102,366,89.92628992628993,N/A,3.2423882484436035,3.2423882484436035,0.5890717048023453,0.6459612162373408,0.9265656205780775,0.4802852379000144,0.6033728092675352,0.6447362141307308,287747176616841.75,173.87130752809082,77609.17048805521,0.5004667058952584,1.4100723464233589,4.391493622201673,71936794154210.84,44.13267847500477,19403.783320878032
