Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,9.857249021530151,9.857249021530151,0.041545435833155696,0.03291557241762649,0.0017820180299536242,0.041545435833155696,0.03291557241762649,0.0017820180299536242
Fixed Cut 5.0%,380,100,20,5.0,N/A,8.638453006744385,8.638453006744385,0.04265799580493593,0.03385343392881397,0.001912619774360776,0.04265799580493593,0.03385343392881397,0.001912619774360776
Fixed Cut 10.0%,360,100,40,10.0,N/A,12.87672209739685,12.87672209739685,0.041036492328648186,0.03242170357013815,0.0017253381129212011,0.041036492328648186,0.03242170357013815,0.0017253381129212011
Fixed Cut 15.0%,340,100,60,15.0,N/A,3.2995450496673584,3.2995450496673584,0.08164837381204469,0.06274354172805614,0.005741723704083162,0.08164837381204469,0.06274354172805614,0.005741723704083162
Fixed Cut 20.0%,320,100,80,20.0,N/A,5.403862953186035,5.403862953186035,0.07842468556831834,0.06003661967982049,0.00523573485614612,0.07842468556831834,0.06003661967982049,0.00523573485614612
Fixed Cut 25.0%,300,100,100,25.0,N/A,3.5703721046447754,3.5703721046447754,0.08311861361040532,0.06357875844770548,0.005883008654916101,0.08311861361040532,0.06357875844770548,0.005883008654916101
Fixed Cut 30.0%,280,100,120,30.0,N/A,3.804783821105957,3.804783821105957,0.07443184056852357,0.05847384503466116,0.004930984039188865,0.07443184056852357,0.05847384503466116,0.004930984039188865
Fixed Cut 35.0%,260,100,140,35.0,N/A,3.730315923690796,3.730315923690796,0.0850933035278812,0.06546443716344456,0.006085927769888214,0.0850933035278812,0.06546443716344456,0.006085927769888214
Fixed Cut 40.0%,240,100,160,40.0,N/A,3.4658827781677246,3.4658827781677246,0.07974689957933426,0.06172978445403088,0.005522888864147021,0.07974689957933426,0.06172978445403088,0.005522888864147021
Fixed Cut 45.0%,221,100,179,44.75,N/A,3.3010668754577637,3.3010668754577637,0.07725959695942886,0.059640510460893886,0.005169649604133809,0.07725959695942886,0.059640510460893886,0.005169649604133809
Fixed Cut 50.0%,201,100,199,49.75,N/A,7.2717180252075195,7.2717180252075195,0.05051931474466392,0.039144149899969935,0.002413584944165549,0.05051931474466392,0.039144149899969935,0.002413584944165549
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.0481340885162354,3.0481340885162354,0.0883166847645681,0.06706298494598452,0.006519010801832794,0.0883166847645681,0.06706298494598452,0.006519010801832794
Fixed Cut 60.0%,160,100,240,60.0,N/A,2.9699251651763916,2.9699251651763916,0.07630202373502722,0.05999134027412761,0.0053219342221526396,0.07630202373502722,0.05999134027412761,0.0053219342221526396
Fixed Cut 65.0%,140,100,260,65.0,N/A,3.5227582454681396,3.5227582454681396,0.06888187457330772,0.05383503969279777,0.00416222719548179,0.06888187457330772,0.05383503969279777,0.00416222719548179
Fixed Cut 70.0%,120,100,280,70.0,N/A,2.8397929668426514,2.8397929668426514,0.09118683867987117,0.06900848183327359,0.006947153431840561,0.09118683867987117,0.06900848183327359,0.006947153431840561
Fixed Cut 75.0%,100,100,300,75.0,N/A,3.4573731422424316,3.4573731422424316,0.0745932783995519,0.05767743349812032,0.004744287283484985,0.0745932783995519,0.05767743349812032,0.004744287283484985
Fixed Cut 80.0%,80,100,320,80.0,N/A,2.8771650791168213,2.8771650791168213,0.0688641140206821,0.053812186208526055,0.00414369480626694,0.0688641140206821,0.053812186208526055,0.00414369480626694
Fixed Cut 85.0%,60,100,340,85.0,N/A,2.9043939113616943,2.9043939113616943,0.07156203144800072,0.055542067617174645,0.004430049103210002,0.07156203144800072,0.055542067617174645,0.004430049103210002
Fixed Cut 90.0%,40,100,360,90.0,N/A,3.120539903640747,3.120539903640747,0.08922818106583355,0.06746748449728587,0.006690201779895963,0.08922818106583355,0.06746748449728587,0.006690201779895963
Window L1,60,100,340,85.0,0.010493993759155273,2.9465978145599365,2.957091808319092,0.07392840548901661,0.05828309585197862,0.004843025156395569,0.07392840548901661,0.05828309585197862,0.004843025156395569
Window L2,60,100,340,85.0,0.004988908767700195,2.851145029067993,2.8561339378356934,0.06995458972828691,0.0544355697479045,0.00423696783881242,0.06995458972828691,0.0544355697479045,0.00423696783881242
Window Normal,60,100,340,85.0,0.008453130722045898,2.824871063232422,2.8333241939544678,0.07606452576924524,0.05862430583501043,0.004904707152436571,0.07606452576924524,0.05862430583501043,0.004904707152436571
Window RBF,60,100,340,85.0,0.0066759586334228516,2.7992360591888428,2.8059120178222656,0.07995403119240531,0.06122065586759905,0.005427594049292831,0.07995403119240531,0.06122065586759905,0.005427594049292831
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,230,100,170,42.5,0.004309892654418945,3.7529752254486084,3.7572851181030273,0.0812929478356108,0.0624704130195667,0.005596923746928507,0.0812929478356108,0.0624704130195667,0.005596923746928507
Window Clinear,105,100,295,73.75,0.0039501190185546875,2.847724199295044,2.8516743183135986,0.10687146895089537,0.07974858719710208,0.009537177556620298,0.10687146895089537,0.07974858719710208,0.009537177556620298
Window Rank,60,100,340,85.0,0.0063250064849853516,2.890312910079956,2.8966379165649414,0.07736480255426816,0.05929117295901172,0.005127190943365061,0.07736480255426816,0.05929117295901172,0.005127190943365061
Window Mahalanobis,60,100,340,85.0,0.004358053207397461,3.414783000946045,3.4191410541534424,0.0752752969453936,0.05820281895994808,0.004824942433469247,0.0752752969453936,0.05820281895994808,0.004824942433469247
Window AR,60,100,340,85.0,0.009598970413208008,3.194356918334961,3.203955888748169,0.06901822238906373,0.05405941464849806,0.004215711620086075,0.06901822238906373,0.05405941464849806,0.004215711620086075
Window Mean,76,100,324,81.0,0.05915403366088867,3.120513677597046,3.1796677112579346,0.08326243289233655,0.06436576994031017,0.005994353544509897,0.08326243289233655,0.06436576994031017,0.005994353544509897
Window Median,60,100,340,85.0,0.05915403366088867,3.6061811447143555,3.665335178375244,0.07709076653982021,0.059779892204872245,0.005175133093660163,0.07709076653982021,0.059779892204872245,0.005175133093660163
Binary Segmentation L1,240,100,160,40.0,0.015354156494140625,4.043210983276367,4.058565139770508,0.08805386976463445,0.06722685304026135,0.006541843058222217,0.08805386976463445,0.06722685304026135,0.006541843058222217
Binary Segmentation L2,240,100,160,40.0,0.0076618194580078125,4.064404010772705,4.072065830230713,0.07727282297701288,0.05926962737850914,0.005059620532726442,0.07727282297701288,0.05926962737850914,0.005059620532726442
Binary Segmentation Normal,240,100,160,40.0,0.01384425163269043,3.2952189445495605,3.309063196182251,0.0782304711022973,0.06020307713394192,0.00517531799051115,0.0782304711022973,0.06020307713394192,0.00517531799051115
Binary Segmentation RBF,240,100,160,40.0,0.011874914169311523,3.7333896160125732,3.7452645301818848,0.07574349730086105,0.058079158539618835,0.004852894589650428,0.07574349730086105,0.058079158539618835,0.004852894589650428
Binary Segmentation Cosine,10,100,390,97.5,0.01257181167602539,3.070748805999756,3.0833206176757812,0.18495132596745412,0.1471261247029437,0.026297127619705405,0.18495132596745412,0.1471261247029437,0.026297127619705405
Binary Segmentation Linear,375,100,25,6.25,0.0072901248931884766,9.014667987823486,9.021958112716675,0.04612039390138575,0.036053693142045755,0.002105257133751122,0.04612039390138575,0.036053693142045755,0.002105257133751122
Binary Segmentation Clinear,45,100,355,88.75,0.005300998687744141,5.148926019668579,5.154227018356323,0.08286765787595872,0.0627261714915271,0.005774196075781754,0.08286765787595872,0.0627261714915271,0.005774196075781754
Binary Segmentation Rank,240,100,160,40.0,0.006960868835449219,3.296851396560669,3.303812265396118,0.07488777126490817,0.05765094274879846,0.00477430029525036,0.07488777126490817,0.05765094274879846,0.00477430029525036
Binary Segmentation Mahalanobis,240,100,160,40.0,0.009495019912719727,3.338254928588867,3.347749948501587,0.08031125235029249,0.06148167229799239,0.005439266607506758,0.08031125235029249,0.06148167229799239,0.005439266607506758
Binary Segmentation AR,245,100,155,38.75,0.011207818984985352,4.289355754852295,4.30056357383728,0.07088348904854412,0.05492121858718243,0.004328913691344243,0.07088348904854412,0.05492121858718243,0.004328913691344243
Binary Segmentation Mean,212,100,188,47.0,0.1015617847442627,2.5449538230895996,2.6465156078338623,0.08070749260905753,0.06214718231763053,0.005498235821681686,0.08070749260905753,0.06214718231763053,0.005498235821681686
Binary Segmentation Median,240,100,160,40.0,0.1015617847442627,3.8864901065826416,3.9880518913269043,0.07598213557317711,0.05850217335422502,0.004874494488213737,0.07598213557317711,0.05850217335422502,0.004874494488213737
Bottom Up L1,225,100,175,43.75,0.0059909820556640625,2.9948737621307373,3.0008647441864014,0.08521529527448388,0.06503783666008969,0.006110781203295189,0.08521529527448388,0.06503783666008969,0.006110781203295189
Bottom Up L2,240,100,160,40.0,0.005380153656005859,6.891435861587524,6.89681601524353,0.05940975283130702,0.04599052238497536,0.003122252435365258,0.05940975283130702,0.04599052238497536,0.003122252435365258
Bottom Up Normal,225,100,175,43.75,0.0059659481048583984,3.902599811553955,3.9085657596588135,0.08370779463882771,0.06361823935106758,0.00590138847832837,0.08370779463882771,0.06361823935106758,0.00590138847832837
