Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,300,76,N/A,N/A,N/A,3.3865978717803955,3.3865978717803955,0.18285039373117878,0.0905614172985664,0.009198258160282203,0.44109684309504116,0.49299975158610354,0.24375696558604884,0.31197361841311,0.29178058444233496,0.1264776118731655
Fixed Cut 5.0%,285,76,15,5.0,N/A,4.024994134902954,4.024994134902954,0.22224484645267636,0.21370908415628412,0.04981950980061926,0.37713115821193166,0.42118765573669315,0.17801278349449295,0.299688002332304,0.3174483699464887,0.11391614664755612
Fixed Cut 10.0%,270,76,30,10.0,N/A,4.1270599365234375,4.1270599365234375,0.25221173660817064,0.24117748647288895,0.061690009990591224,0.4347169104441765,0.4862673240305217,0.237227320686985,0.3434643235261735,0.3637224052517053,0.14945866533878807
Fixed Cut 15.0%,255,76,45,15.0,N/A,4.416154861450195,4.416154861450195,0.2419421778003203,0.23169528933331482,0.057007382346114764,0.34229704922176113,0.3831339220215805,0.14754510064947915,0.2921196135110407,0.3074146056774476,0.10227624149779697
Fixed Cut 20.0%,240,76,60,20.0,N/A,3.98165225982666,3.98165225982666,0.23441645153678803,0.2188949759089418,0.050166581261594574,0.3142496702342841,0.35167668099087357,0.12436905249383828,0.27433306088553605,0.2852858284499077,0.08726781687771643
Fixed Cut 25.0%,225,76,75,25.0,N/A,3.049570083618164,3.049570083618164,0.22414831668314886,0.20896544591032837,0.045966524231556234,0.27248627968891376,0.3037030576805633,0.09497912424327687,0.24831729818603138,0.25633425179544583,0.07047282423741653
Fixed Cut 30.0%,210,76,90,30.0,N/A,3.0996479988098145,3.0996479988098145,0.16458885867003237,0.14001591668405292,0.02324592806722968,0.23489521955962833,0.26261043211786783,0.06949224343646741,0.19974203911483038,0.20131317440096036,0.04636908575184854
Fixed Cut 35.0%,195,76,105,35.0,N/A,2.6767449378967285,2.6767449378967285,0.11858564116031743,0.09120880042278004,0.014915054453428426,0.16304723507987565,0.18249920839947348,0.03370774065948297,0.14081643812009656,0.13685400441112677,0.024311397556455703
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,5.8821799755096436,5.8821799755096436,0.29698657406208223,0.2911237306850533,0.0911119178365164,0.2861279240445838,0.3209638838328673,0.10459049855199203,0.29155724905333297,0.30604380725896035,0.09785120819425419
Fixed Cut 45.0%,165,76,135,45.0,N/A,3.5062808990478516,3.5062808990478516,0.24774885734156746,0.23971135474426056,0.06129046199745196,0.26985527101205026,0.3025314696466937,0.09264723213337459,0.25880206417680884,0.27112141219547714,0.07696884706541325
