Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,546.2391376495361,14.642162084579468,560.8812997341156,0.09765936110391744,0.08224835946149671,0.008825798810875493,0.10594107323981178,0.08500472436414037,0.008993140311638765,7.250615582919484,0.4703725375617136,0.2730402469313594,2.9618350664765445,0.4305927931584677,0.2445154770429143,2.60401277093494,0.2670546036364547,0.13384366577419698
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,621.2346799373627,9.501430988311768,630.7361109256744,0.061347612250213526,0.05357614542410549,0.0042282093846971675,0.10868233318565464,0.08663418801800858,0.008757416668437974,8.739950344291003,0.4471041645811054,0.27768004052177186,6.732471735929102,0.42515293043567803,0.2706559017707254,3.9106130064139926,0.2531168571147244,0.14033039208640802
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,955.4302792549133,21.134124040603638,976.564403295517,0.07707047650432011,0.06703836166001674,0.005705823992715124,0.08259819693145813,0.0672281734788647,0.005931244796277878,14.02625738098077,0.4086385159852965,0.22158718411312472,87.54993935873742,0.37679237555426637,0.2179012526997919,25.433966353288493,0.22992435666961106,0.11278137640047739
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,868.2956659793854,15.866611957550049,884.1622779369354,0.10581069618109515,0.08911643187623293,0.009122052024399594,0.07797982172307626,0.06546199168304398,0.005412886501910365,26.574474811750022,0.45523452817778587,0.27042080003483665,10.411620469760622,0.34546885131529126,0.16953222361911047,9.292471449853702,0.23882045076308847,0.11362199054506425
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,743.5387499332428,20.92737102508545,764.4661209583282,0.10682254117073016,0.0898767056959903,0.009616723029413453,0.042511912434183806,0.0350492454057095,0.0018646807141884027,15.278369058001754,0.4661896381521156,0.2715367375380297,3.2298387492990415,0.35475636421611423,0.1800406141541074,4.664385565226427,0.23646798836748242,0.11576468885893475
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,778.3609991073608,13.645583152770996,792.0065822601318,0.07182203491031819,0.06289974308300555,0.00510597228579061,0.04826380682512984,0.039331066986150895,0.0022133689377673493,7.772914104837339,0.50106128461777,0.3239518785453977,4.820952952749975,0.3883505060553764,0.20580895846608158,3.17848822483069,0.24791065018557573,0.1342700445587593
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,639.1077136993408,17.320616960525513,656.4283306598663,0.06150956509404094,0.05430996168056253,0.004579213794282917,0.039858071144924,0.03255827078694522,0.0014410832297050606,12.718612060109256,0.40952151589273084,0.2235827352455326,8.923081683477394,0.42265794604255835,0.23897684144549172,5.435765344956403,0.22976192360069925,0.11714496842875308
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,652.5921428203583,8.055510997772217,660.6476538181305,0.06119313320689758,0.054297087429059476,0.004319259306844929,0.058210234294245336,0.05236812266736181,0.004273375106758201,8.05033283308866,0.5032974330488786,0.3097671104842879,5.140787993106323,0.35620356841269224,0.18982099793195878,3.3276310484240326,0.241541552889498,0.12704518570746243
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,464.6003701686859,7.170323848724365,471.7706940174103,0.041851110030947346,0.03809981533230656,0.002093557400995297,0.04335256702412476,0.03782115508441004,0.0019816526722477674,12.106894174655595,0.4371556363839359,0.2530772283107141,5.270609791454416,0.3929250747220035,0.22234007266765632,4.36567691079127,0.22650042038066398,0.11987312776290338
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,424.0024878978729,8.642728805541992,432.6452167034149,0.11422985404187123,0.09448157048127688,0.010569373833895529,0.06411980431508328,0.05296569820629516,0.004214996759198524,4.3761722442351765,0.5215396330363019,0.3432807170286386,6.225398811304401,0.46682433884242897,0.2851595468837324,2.694980178474132,0.2839528101415758,0.16080615862636632
