Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Exchange rate_MAPE,Exchange rate_MAE,Exchange rate_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,197,50,N/A,N/A,N/A,4.1203389167785645,4.1203389167785645,0.03996922727190613,0.021431506165591974,0.0006723405510620419,0.03996922727190613,0.021431506165591974,0.0006723405510620419
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,4.028101205825806,4.028101205825806,0.04351358367526096,0.02337977367693644,0.0007855466375064674,0.04351358367526096,0.02337977367693644,0.0007855466375064674
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,3.294116258621216,3.294116258621216,0.036137739711912,0.019239475893771743,0.0005720507601917937,0.036137739711912,0.019239475893771743,0.0005720507601917937
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,2.6268231868743896,2.6268231868743896,0.06979049950151976,0.03837618700771577,0.002029091478738289,0.06979049950151976,0.03837618700771577,0.002029091478738289
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,3.6893739700317383,3.6893739700317383,0.04220673477297995,0.022706684470530356,0.0007469055960477777,0.04220673477297995,0.022706684470530356,0.0007469055960477777
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,3.6978890895843506,3.6978890895843506,0.04788908909906183,0.025934111150052567,0.0009884999656783289,0.04788908909906183,0.025934111150052567,0.0009884999656783289
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,3.1821911334991455,3.1821911334991455,0.042193547737300226,0.02268880446325227,0.0007419400297386438,0.042193547737300226,0.02268880446325227,0.0007419400297386438
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,3.5201339721679688,3.5201339721679688,0.04839371288352316,0.02616405569510669,0.000987135328597309,0.04839371288352316,0.02616405569510669,0.000987135328597309
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,2.6265108585357666,2.6265108585357666,0.05959065356274793,0.03303982405002071,0.001525654418929391,0.05959065356274793,0.03303982405002071,0.001525654418929391
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,4.371561050415039,4.371561050415039,0.044578362702863555,0.02441900481427461,0.0008838131249889976,0.044578362702863555,0.02441900481427461,0.0008838131249889976
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,4.160256862640381,4.160256862640381,0.038177577021172755,0.020954589453021023,0.0006715090707966008,0.038177577021172755,0.020954589453021023,0.0006715090707966008
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,2.815451145172119,2.815451145172119,0.05656818179167978,0.03358095631914186,0.001696713756520056,0.05656818179167978,0.03358095631914186,0.001696713756520056
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,2.5943191051483154,2.5943191051483154,0.05263052972124099,0.0538295989011914,0.0042594222499445925,0.05263052972124099,0.0538295989011914,0.0042594222499445925
Fixed Cut 65.0%,69,50,128,64.9746192893401,N/A,2.5037097930908203,2.5037097930908203,0.05867207656859103,0.06006542158989294,0.005221521009553064,0.05867207656859103,0.06006542158989294,0.005221521009553064
Fixed Cut 70.0%,60,50,137,69.54314720812182,N/A,2.721364974975586,2.721364974975586,0.051687131275053096,0.05306953725865817,0.0041802750325325485,0.051687131275053096,0.05306953725865817,0.0041802750325325485
Fixed Cut 75.0%,50,50,147,74.61928934010153,N/A,2.5250020027160645,2.5250020027160645,0.11252352084888566,0.11437339604592772,0.015500820112513001,0.11252352084888566,0.11437339604592772,0.015500820112513001
Fixed Cut 80.0%,40,50,157,79.69543147208121,N/A,2.440372943878174,2.440372943878174,0.05469597953488614,0.05615383842631262,0.0045323812583441805,0.05469597953488614,0.05615383842631262,0.0045323812583441805
Fixed Cut 85.0%,30,50,167,84.77157360406092,N/A,2.301283121109009,2.301283121109009,0.09695708543054019,0.09848279497649952,0.011645198874719272,0.09695708543054019,0.09848279497649952,0.011645198874719272
Fixed Cut 90.0%,20,50,177,89.84771573604061,N/A,2.5667426586151123,2.5667426586151123,0.08779170552983974,0.08987533977910199,0.010387175148233603,0.08779170552983974,0.08987533977910199,0.010387175148233603
Window L1,82,50,115,58.37563451776649,0.003966808319091797,2.1604530811309814,2.1644198894500732,0.061833587014859484,0.046391947759911095,0.0031436423976840427,0.061833587014859484,0.046391947759911095,0.0031436423976840427
Window L2,82,50,115,58.37563451776649,0.002053976058959961,2.4705941677093506,2.4726481437683105,0.06423116335784732,0.048385194084751317,0.0034746894765951344,0.06423116335784732,0.048385194084751317,0.0034746894765951344
Window Normal,82,50,115,58.37563451776649,0.013265132904052734,2.0557870864868164,2.069052219390869,0.04669587653617538,0.034717642369130754,0.0017828366709812644,0.04669587653617538,0.034717642369130754,0.0017828366709812644
Window RBF,82,50,115,58.37563451776649,0.0023241043090820312,2.0852670669555664,2.0875911712646484,0.060969810823724324,0.045518010341004174,0.0029333892134925624,0.060969810823724324,0.045518010341004174,0.0029333892134925624
Window Cosine,0,50,197,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,132,50,65,32.99492385786802,0.0024280548095703125,2.8393921852111816,2.841820240020752,0.04039820769131848,0.021682151320722404,0.0006850014621463108,0.04039820769131848,0.021682151320722404,0.0006850014621463108
Window Clinear,112,50,85,43.14720812182741,0.0017409324645996094,2.1064319610595703,2.10817289352417,0.04356518581805057,0.02376886581001619,0.0008175831709994052,0.04356518581805057,0.02376886581001619,0.0008175831709994052
