Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,226,57,N/A,N/A,N/A,3.4447288513183594,3.4447288513183594,4.559450210999552,0.18428963867946524,0.05443146607012738,4.559450210999552,0.18428963867946524,0.05443146607012738
Fixed Cut 5.0%,215,57,11,4.867256637168142,N/A,3.2452850341796875,3.2452850341796875,4.883654331335158,0.18246917663141152,0.05274770067947329,4.883654331335158,0.18246917663141152,0.05274770067947329
Fixed Cut 10.0%,204,57,22,9.734513274336283,N/A,3.785659074783325,3.785659074783325,5.009122057594699,0.178101569395503,0.05108383901120736,5.009122057594699,0.178101569395503,0.05108383901120736
Fixed Cut 15.0%,193,57,33,14.601769911504425,N/A,2.730901002883911,2.730901002883911,4.7938624942597015,0.17922111568971533,0.051590014692182856,4.7938624942597015,0.17922111568971533,0.051590014692182856
Fixed Cut 20.0%,181,57,45,19.911504424778762,N/A,3.3516552448272705,3.3516552448272705,4.998700195144968,0.18168241558595558,0.05195551381955801,4.998700195144968,0.18168241558595558,0.05195551381955801
Fixed Cut 25.0%,170,57,56,24.778761061946902,N/A,3.154186964035034,3.154186964035034,5.3358932518234665,0.17803456841035742,0.050122833423034835,5.3358932518234665,0.17803456841035742,0.050122833423034835
Fixed Cut 30.0%,159,57,67,29.646017699115045,N/A,3.31482195854187,3.31482195854187,5.3562308433778005,0.17876437334342857,0.05013370603317379,5.3562308433778005,0.17876437334342857,0.05013370603317379
Fixed Cut 35.0%,147,57,79,34.95575221238938,N/A,2.7374300956726074,2.7374300956726074,5.312269612616636,0.17754592237993141,0.04964350335501984,5.312269612616636,0.17754592237993141,0.04964350335501984
Fixed Cut 40.0%,136,57,90,39.823008849557525,N/A,3.17979097366333,3.17979097366333,5.376968470818797,0.17831142900510688,0.04990892843368032,5.376968470818797,0.17831142900510688,0.04990892843368032
Fixed Cut 45.0%,125,57,101,44.690265486725664,N/A,3.9448399543762207,3.9448399543762207,5.523663698669447,0.17460868817447409,0.04862077669709295,5.523663698669447,0.17460868817447409,0.04862077669709295
Fixed Cut 50.0%,114,57,112,49.557522123893804,N/A,3.5933151245117188,3.5933151245117188,5.5935677794765475,0.17711028115772237,0.04940356397213114,5.5935677794765475,0.17711028115772237,0.04940356397213114
Fixed Cut 55.0%,102,57,124,54.86725663716814,N/A,2.870406150817871,2.870406150817871,5.678609596918104,0.177656674366435,0.05006495581284518,5.678609596918104,0.177656674366435,0.05006495581284518
Fixed Cut 60.0%,91,57,135,59.73451327433629,N/A,3.284471035003662,3.284471035003662,5.653929931419247,0.17627676485105415,0.04947123212344508,5.653929931419247,0.17627676485105415,0.04947123212344508
Fixed Cut 65.0%,80,57,146,64.60176991150442,N/A,3.186345100402832,3.186345100402832,5.560301078326652,0.1809900330188178,0.05129574885996888,5.560301078326652,0.1809900330188178,0.05129574885996888
Fixed Cut 70.0%,68,57,158,69.91150442477876,N/A,2.6471991539001465,2.6471991539001465,5.719387884438334,0.17833610312961568,0.05033489276900041,5.719387884438334,0.17833610312961568,0.05033489276900041
Fixed Cut 75.0%,57,57,169,74.77876106194691,N/A,2.6197681427001953,2.6197681427001953,5.560802239976206,0.17482639489694496,0.0488415991299464,5.560802239976206,0.17482639489694496,0.0488415991299464
Fixed Cut 80.0%,46,57,180,79.64601769911505,N/A,3.0332868099212646,3.0332868099212646,5.78744101721842,0.2711943763078481,0.11885959415805208,5.78744101721842,0.2711943763078481,0.11885959415805208
Fixed Cut 85.0%,34,57,192,84.95575221238938,N/A,3.031989097595215,3.031989097595215,5.518580743088632,0.26995050526044584,0.11585487144572912,5.518580743088632,0.26995050526044584,0.11585487144572912
Fixed Cut 90.0%,23,57,203,89.82300884955751,N/A,2.389993906021118,2.389993906021118,4.878642715654504,0.2710579071082852,0.11722336127500677,4.878642715654504,0.2710579071082852,0.11722336127500677
Window L1,131,57,95,42.0353982300885,0.00445866584777832,3.248512029647827,3.2529706954956055,5.478919720202977,0.17980010287784565,0.05076815535816832,5.478919720202977,0.17980010287784565,0.05076815535816832
Window L2,131,57,95,42.0353982300885,0.002469301223754883,3.8264009952545166,3.8288702964782715,5.483722392501366,0.1762693635809301,0.04933824365401895,5.483722392501366,0.1762693635809301,0.04933824365401895
Window Normal,131,57,95,42.0353982300885,0.0041959285736083984,3.0829741954803467,3.087170124053955,5.6304614485490765,0.17956507759117116,0.050638734311706256,5.6304614485490765,0.17956507759117116,0.050638734311706256
Window RBF,131,57,95,42.0353982300885,0.0025527477264404297,3.28932785987854,3.2918806076049805,5.598087052935858,0.18083375649475086,0.051099277423861326,5.598087052935858,0.18083375649475086,0.051099277423861326
Window Cosine,131,57,95,42.0353982300885,0.0019009113311767578,3.27242112159729,3.274322032928467,5.608017168033866,0.17834999756835926,0.050059249270603706,5.608017168033866,0.17834999756835926,0.050059249270603706
Window Linear,0,57,226,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,141,57,85,37.610619469026545,0.0022308826446533203,3.133819103240967,3.13604998588562,5.542352002265889,0.17799473641439337,0.049982724792883355,5.542352002265889,0.17799473641439337,0.049982724792883355
Window Rank,131,57,95,42.0353982300885,0.0028557777404785156,3.6698272228240967,3.672683000564575,5.450225478456969,0.17592023549600502,0.049008438904980293,5.450225478456969,0.17592023549600502,0.049008438904980293
Window Mahalanobis,131,57,95,42.0353982300885,0.0017490386962890625,3.1996638774871826,3.2014129161834717,5.498614107683986,0.1769631177000608,0.04945962538597004,5.498614107683986,0.1769631177000608,0.04945962538597004
Window AR,131,57,95,42.0353982300885,0.004873037338256836,4.1780500411987305,4.182923078536987,5.357828979027012,0.17735518274827858,0.04972300010064961,5.357828979027012,0.17735518274827858,0.04972300010064961
Window Mean,119,57,107,47.34513274336283,0.027286291122436523,3.850480079650879,3.8777663707733154,5.621048328036974,0.17672543482803335,0.049272218441609186,5.621048328036974,0.17672543482803335,0.049272218441609186
Window Median,131,57,95,42.0353982300885,0.027286291122436523,3.585109233856201,3.6123955249786377,5.476739765453976,0.17434999523683448,0.04834997753873389,5.476739765453976,0.17434999523683448,0.04834997753873389
Binary Segmentation L1,131,57,95,42.0353982300885,0.008418083190917969,4.043187141418457,4.051605224609375,5.541681342208014,0.1756382564890264,0.04905141303480079,5.541681342208014,0.1756382564890264,0.04905141303480079
Binary Segmentation L2,131,57,95,42.0353982300885,0.004518032073974609,3.8944008350372314,3.898918867111206,5.491970727637847,0.17683931963466634,0.04955858924816014,5.491970727637847,0.17683931963466634,0.04955858924816014
Binary Segmentation Normal,131,57,95,42.0353982300885,0.007905960083007812,3.49714994430542,3.5050559043884277,5.540882052134232,0.17455272315069098,0.04850152297495851,5.540882052134232,0.17455272315069098,0.04850152297495851
Binary Segmentation RBF,131,57,95,42.0353982300885,0.003880023956298828,3.245985984802246,3.249866008758545,5.5554800421213555,0.1781211485149764,0.049807677609981484,5.5554800421213555,0.1781211485149764,0.049807677609981484
Binary Segmentation Cosine,131,57,95,42.0353982300885,0.003531217575073242,3.375127077102661,3.3786582946777344,5.399712124673439,0.1771549093536939,0.049677521594301464,5.399712124673439,0.1771549093536939,0.049677521594301464
Binary Segmentation Linear,201,57,25,11.061946902654867,0.004710197448730469,3.268317937850952,3.2730281352996826,4.751161862592569,0.1796344828419294,0.0517086835733515,4.751161862592569,0.1796344828419294,0.0517086835733515
Binary Segmentation Clinear,216,57,10,4.424778761061947,0.0034286975860595703,3.3329241275787354,3.336352825164795,5.014425626244871,0.18013070968910116,0.051303789765321996,5.014425626244871,0.18013070968910116,0.051303789765321996
Binary Segmentation Rank,131,57,95,42.0353982300885,0.005634784698486328,3.422760009765625,3.4283947944641113,5.522448383391025,0.17765490310214985,0.04970745740741726,5.522448383391025,0.17765490310214985,0.04970745740741726
Binary Segmentation Mahalanobis,131,57,95,42.0353982300885,0.0033690929412841797,3.6435251235961914,3.6468942165374756,5.480516327848058,0.1770322322659101,0.04943402768844729,5.480516327848058,0.1770322322659101,0.04943402768844729
Binary Segmentation AR,131,57,95,42.0353982300885,0.007547140121459961,3.6863279342651367,3.6938750743865967,5.356150031159143,0.1764883188593267,0.049576868047417316,5.356150031159143,0.1764883188593267,0.049576868047417316
Binary Segmentation Mean,147,57,79,34.95575221238938,0.05294322967529297,2.949568033218384,3.0025112628936768,5.442908952018766,0.17755875347181221,0.04959245972253736,5.442908952018766,0.17755875347181221,0.04959245972253736
Binary Segmentation Median,131,57,95,42.0353982300885,0.05294322967529297,3.585273027420044,3.638216257095337,5.512537509225309,0.17595665948413838,0.049142942883666295,5.512537509225309,0.17595665948413838,0.049142942883666295
Bottom Up L1,141,57,85,37.610619469026545,0.0034639835357666016,3.660037040710449,3.663501024246216,5.679975437899503,0.17373849408649433,0.04810311373193855,5.679975437899503,0.17373849408649433,0.04810311373193855
Bottom Up L2,126,57,100,44.24778761061947,0.0023381710052490234,3.3213388919830322,3.3236770629882812,5.385621380641379,0.17700583456083196,0.04955066770164608,5.385621380641379,0.17700583456083196,0.04955066770164608
Bottom Up Normal,126,57,100,44.24778761061947,0.002949237823486328,3.5614373683929443,3.5643866062164307,5.535083003027425,0.17381579099222083,0.048215046761447417,5.535083003027425,0.17381579099222083,0.048215046761447417
Bottom Up RBF,126,57,100,44.24778761061947,0.002665996551513672,3.62636399269104,3.6290299892425537,5.575232663223334,0.1747402437212371,0.048559005304027264,5.575232663223334,0.1747402437212371,0.048559005304027264
Bottom Up Cosine,126,57,100,44.24778761061947,0.0016338825225830078,3.3853938579559326,3.3870277404785156,5.519892613786757,0.18157719301008213,0.051500550220959444,5.519892613786757,0.18157719301008213,0.051500550220959444
Bottom Up Linear,11,57,215,95.13274336283186,0.0020220279693603516,3.136812925338745,3.1388349533081055,4.614422899827128,0.2730435240478117,0.11963102603209567,4.614422899827128,0.2730435240478117,0.11963102603209567
Bottom Up Clinear,216,57,10,4.424778761061947,0.0018351078033447266,3.3126659393310547,3.3145010471343994,4.60509226616668,0.1858670315281982,0.055604395681313284,4.60509226616668,0.1858670315281982,0.055604395681313284
Bottom Up Rank,126,57,100,44.24778761061947,0.0030760765075683594,3.568696975708008,3.571773052215576,5.52097439164001,0.17787495808624257,0.04984720209007012,5.52097439164001,0.17787495808624257,0.04984720209007012
Bottom Up Mahalanobis,126,57,100,44.24778761061947,0.0017290115356445312,3.588893175125122,3.5906221866607666,5.437029475925011,0.1764296841435041,0.049366725825921345,5.437029475925011,0.1764296841435041,0.049366725825921345
Bottom Up AR,141,57,85,37.610619469026545,0.0035467147827148438,3.6935408115386963,3.697087526321411,5.708824527548457,0.17444614009880055,0.04844154101726446,5.708824527548457,0.17444614009880055,0.04844154101726446
Bottom Up Mean,127,57,99,43.80530973451327,0.025260210037231445,2.8838930130004883,2.9091532230377197,5.588998703403946,0.17696114020370474,0.04944711475807131,5.588998703403946,0.17696114020370474,0.04944711475807131
Bottom Up Median,126,57,100,44.24778761061947,0.025260210037231445,3.4196441173553467,3.444904327392578,5.424211803270055,0.17809842227025885,0.050052778718889225,5.424211803270055,0.17809842227025885,0.050052778718889225
