Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,407,102,N/A,N/A,N/A,3.97016978263855,3.97016978263855,0.08914967328261157,0.08029345961153214,0.007516203585790731,0.2278585951838366,0.24519332239574929,0.06305353562225471,311404991770926.1,0.2771506276306432,0.1180479023328459,0.3597057711089711,0.360878320515334,0.2556205669534524,77851247942731.7,0.24087893253831463,0.11105955212358594
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,3.7298851013183594,3.7298851013183594,0.08085302592277786,0.07188211904314847,0.006319170225891968,0.2616123253166672,0.28114721304564516,0.08297152865578258,510606361899137.6,0.2776612466623988,0.09558861076380674,0.31946614511457155,0.36117278074532,0.2833086796010668,127651590474784.56,0.24796583987412807,0.11704699731163704
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,4.1404218673706055,4.1404218673706055,0.03838464896131576,0.034151708286281356,0.0015525364244973253,0.25419391803052444,0.2728596301462504,0.07688213822112304,363179402288721.1,0.27820182573356916,0.11081106927762849,0.3079609288226361,0.3523422597698801,0.2753065793951462,90794850572180.44,0.23438885598399523,0.11613808082959876
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,4.983752012252808,4.983752012252808,0.030065959548779417,0.027528929911016867,0.0012028705741231245,0.2248632505783161,0.24199095870391737,0.06217609585310667,204445010047795.5,0.2447081496185457,0.10727494381586279,0.30796642051092116,0.352035425963161,0.2750850784953121,51111252511949.016,0.21656586604916023,0.11143474718460117
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,6.323929786682129,6.323929786682129,0.033850692699717674,0.031102725559571262,0.0015711737639080953,0.1918070450809263,0.20649424885521228,0.044732952581385446,416754954671503.06,0.28740887247943986,0.11299771527807345,0.31277194737260866,0.3721401118048557,0.305464456518251,104188738667875.9,0.22428648967476977,0.11619157453540446
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,4.863641262054443,4.863641262054443,0.026816535951907746,0.02405090113947149,0.0007486888949359581,0.16654614397705525,0.17720476671341637,0.034208280898707234,437035390415667.44,0.286247549383817,0.10683723156131941,0.27810835967757036,0.3810416145381403,0.3225609002318101,109258847603916.97,0.21713620794371136,0.11608877539669316
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,5.105626821517944,5.105626821517944,0.029282354737139377,0.026265634120420604,0.001699224501697134,0.20863591263051431,0.22559037114517105,0.055236973893869314,380130275189684.8,0.2789763431617346,0.11076855973802034,0.27851802693041344,0.3877564985246406,0.3373357611844457,95032568797421.34,0.22964721173799174,0.12626012982950807
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,4.181565046310425,4.181565046310425,0.0679266432703992,0.060474691512672214,0.004291543765697771,0.19727985586527652,0.21208598707924184,0.046982166701101176,319378326588448.56,0.2574330875565389,0.10043504912857641,0.26621535311778505,0.3703519649473666,0.30992624247877093,79844581647112.27,0.2250864327739549,0.11540875051853652
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,3.9690418243408203,3.9690418243408203,0.07686102174605064,0.07018232419024198,0.006879230560723905,0.15824001117889175,0.17079467051980163,0.03202665283265125,170223111697031.06,0.303598464222884,0.18353161388053607,0.3271071358247026,0.4589984220005235,0.46705783815653057,42555777924257.91,0.25089347023336284,0.17237383385761051
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,3.8141796588897705,3.8141796588897705,0.09835831317382383,0.09039342039093355,0.013146872872233902,0.10862177662659976,0.11375321533784334,0.019362039758865825,177707474289330.22,0.5178712920138613,0.5947662821019918,0.3173756945110911,0.6712472017626142,1.0191052870840738,44426868572332.69,0.34831628237631296,0.41159512045429136
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,4.549417018890381,4.549417018890381,0.269256311615104,0.24848483145368247,0.1153831324350481,0.12774732269464556,0.14053321808228572,0.028605114985112666,276457608630832.8,0.46372079832816404,0.4193562838832101,0.29282814212381214,0.8600816309008965,1.7501150070757387,69114402157708.38,0.42820511969125713,0.5783648845947774
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,3.7935822010040283,3.7935822010040283,0.12617898017899518,0.1164469387875862,0.024465907275298286,0.18994826155227312,0.20641042847712268,0.04776293080588715,269885174704753.47,0.47186382172966285,0.44253821918520747,0.3216144793399593,0.9238141553301985,1.9339040496442539,67471293676188.54,0.42963383608114253,0.6121677767276619
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,3.4934542179107666,3.4934542179107666,0.08752659602272837,0.07993367168185768,0.00940992204346604,0.0972391789672783,0.10260787934957172,0.015088050760522302,177178075861035.44,0.49199766264977235,0.5297844794139962,0.3294611064856626,0.9480031175624746,2.036721466318044,44294518965258.99,0.40563558281091905,0.6477509796340071
Fixed Cut 65.0%,143,102,264,64.86486486486487,N/A,3.6643710136413574,3.6643710136413574,0.03343186125350427,0.03280515779171882,0.0033305175100503195,0.11131307869764112,0.12088553262367824,0.020932363703739767,356572509020591.44,0.5317014746438384,0.5461498818309749,0.3403912135871226,0.9701499889374062,2.1239810381011486,89143127255147.97,0.41388553849916043,0.6735984502864784
Fixed Cut 70.0%,123,102,284,69.77886977886978,N/A,3.2983450889587402,3.2983450889587402,0.14796097968015948,0.15188776734138165,0.04268294646416781,0.09088212626989053,0.09892942275330151,0.012807881766403793,256959453497020.97,0.6252250099331009,0.8388869910347814,0.32705819095676114,0.9282511386494177,1.923694487544576,64239863374255.38,0.4510733346693004,0.7045180767024822
Fixed Cut 75.0%,102,102,305,74.93857493857494,N/A,3.2674450874328613,3.2674450874328613,0.0858634795232139,0.08848378565909748,0.014223069195082191,0.14564622274682382,0.1596930842873558,0.03464872463327737,198781120293661.97,0.5871483944426894,0.7608613214560894,0.3404911532368428,0.9748025894803088,2.145564229701954,49695280073415.63,0.4525319634673628,0.7388243362466014
Fixed Cut 80.0%,82,102,325,79.85257985257985,N/A,3.1132431030273438,3.1132431030273438,0.03934146071527054,0.0394582294860081,0.0031479336500260364,0.09146385407745386,0.09894647815811554,0.012053789090442898,311045184417749.25,0.6251738960484009,0.8044898031818835,0.28170189660859174,0.8093278017811144,1.5037073520563482,77761296104437.42,0.3932266013684097,0.5808497194946753
Fixed Cut 85.0%,62,102,345,84.76658476658476,N/A,3.1921210289001465,3.1921210289001465,0.11413687246445098,0.11677271475407848,0.02349710405928788,0.14338772017314755,0.1790413660978971,0.04321255341228017,60552061472294.09,0.7926295194079318,1.5542734210096838,0.31166581248156344,0.9057010668535653,1.903158435880185,15138015368073.666,0.4985361667783683,0.8810353785903589
Fixed Cut 90.0%,41,102,366,89.92628992628993,N/A,3.638766288757324,3.638766288757324,0.5493307215464582,0.6028755561745602,0.805264224064293,0.27472974139344775,0.3425228036396791,0.18025311863537077,219667485238024.4,174.06200029335653,77790.07899936324,0.556044845507077,1.5307816240343886,4.994569909223096,54916871309506.46,44.13454506930129,19449.01477165378
