Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Pace_MAPE,Std Pace_MAPE,Avg Pace_MAE,Std Pace_MAE,Avg Pace_MSE,Std Pace_MSE,Avg Distance_MAPE,Std Distance_MAPE,Avg Distance_MAE,Std Distance_MAE,Avg Distance_MSE,Std Distance_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Binary Segmentation AR,125,76,175,58.333333333333336,0.011107969284057616,0.0005793870321658531,3.2745866775512695,0.45177218408977626,3.285694646835327,0.4517042223867698,0.19291505460833236,0.020624612952475634,0.1762721507079349,0.025914850059459444,0.034650527414914256,0.010240064044986452,0.1446107191464563,0.05374594925118664,0.16212406979189548,0.060496534800379795,0.029797891677130234,0.02195433091394357,0.16876288687739432,0.03650705367139052,0.16919811024991518,0.042693877857073265,0.032224209546022245,0.015901438914424755
Binary Segmentation Mean,176,76,124,41.333333333333336,0.09342513084411622,0.0033556123441026778,3.9769689083099364,0.37230931825141533,4.070394039154053,0.3755789629143036,0.2766263783885173,0.015271639061049665,0.27168665291399086,0.01732776841689852,0.08026924682434242,0.01063777158470042,0.27066665724249467,0.03923305668802436,0.30337387038412444,0.043985106277829276,0.09462396558905463,0.026803770486667683,0.273646517815506,0.024664527629628733,0.2875302616490577,0.027464798641914142,0.08744660620669853,0.01648990174313406
Binary Segmentation Median,153,76,147,49.0,0.09342513084411622,0.0033556123441026778,2.9238062381744383,0.527126095307695,3.0172313690185546,0.5289652268282957,0.20882925041362718,0.041162490571474655,0.1925596910607977,0.04283267602263814,0.04116939833616899,0.016718111773918746,0.1911515420506746,0.04737007166956396,0.21401235081246076,0.05337468767386481,0.04896880033355479,0.024501648745480734,0.1999903962321509,0.04355616393248363,0.20328602093662926,0.04718047350376347,0.04506909933486188,0.0201737262575989
Bottom Up L1,135,76,165,55.00000000000001,0.0075146198272705075,0.0008572036155972503,3.260471725463867,0.4244777467581965,3.2679863452911375,0.42422074827390294,0.18916312242130356,0.038487517054299696,0.1708468746081632,0.042335025069400095,0.03353332954181422,0.012982366449962951,0.16943396365227992,0.025566709650178994,0.18983517151046633,0.028846883552281145,0.03738104728459111,0.010412828305249196,0.17929854303679174,0.02936932213804795,0.1803410230593148,0.03271200628644768,0.03545718841320267,0.010801759867398113
Bottom Up L2,135,76,165,55.00000000000001,0.004249715805053711,0.00024004368064733808,3.628063774108887,0.31653346523073184,3.6323134899139404,0.3166291681137668,0.2200245382624077,0.02253859100714902,0.2051110944519862,0.025021148285486145,0.04496208348893217,0.010612493303991874,0.15971384727037582,0.017352476031874467,0.17887430718078273,0.019518670709326093,0.032674913509180344,0.006956428040019504,0.18986919276639178,0.017817244864636417,0.19199270081638448,0.01981108015493802,0.03881849849905626,0.007718067578735492
Bottom Up Normal,135,76,165,55.00000000000001,0.010066986083984375,0.0011884032489997715,3.194020080566406,0.7549988559808127,3.2040870666503904,0.7549384742551534,0.19347157905441137,0.054654606300293236,0.17244418465500452,0.06145221827280839,0.036613912438995824,0.016878838827513697,0.13107611786313486,0.062117805691816734,0.1466461715950502,0.06986911062795811,0.02614487098315533,0.018995599534906104,0.1622738484587731,0.056515909500030354,0.1595451781250274,0.06313249916317205,0.03137939171107558,0.01745785730949777
Bottom Up RBF,135,76,165,55.00000000000001,0.004818248748779297,0.0004283096508610703,3.2309855461120605,0.4200008353204379,3.23580379486084,0.42023268009942566,0.18444794570610676,0.04322312398640424,0.1638421761240836,0.050730537962218956,0.03235170714747385,0.011615529243467107,0.16731746099650777,0.046090540770535,0.18737451002316344,0.052108318729017576,0.03818161131819493,0.01747819563712912,0.17588270335130726,0.04313366878259443,0.17560834307362355,0.04961326754926005,0.03526665923283439,0.013826980842465385
Bottom Up Cosine,285,76,15,5.0,0.003234577178955078,0.0005195148333648695,3.5035804748535155,0.3752204108663431,3.506815052032471,0.37490323231583705,0.1821601109253124,0.03138485611216938,0.1692877306088147,0.03437849497351971,0.032941565870084344,0.012375625791999455,0.38991822574033835,0.04533423484461461,0.4359403453885141,0.05109182636593271,0.19294978125181397,0.04416140394651579,0.28603916833282533,0.0319620180542073,0.30261403799866443,0.03538855615939481,0.11294567356094916,0.025039722486895847
Bottom Up Linear,245,76,55,18.333333333333332,0.004776287078857422,0.0004374137415112576,3.7813819885253905,0.7895011679856438,3.7861582756042482,0.7896760954786487,0.24967425341319824,0.04402068473849118,0.24088392703222086,0.048452699314195706,0.06463542103693641,0.023143919052480838,0.35124830767628556,0.03158325490337884,0.3930288018533645,0.03563580984744036,0.15637397965538263,0.027997537155727736,0.30046128054474197,0.0309640768801585,0.3169563644427927,0.034691650779129356,0.11050470034615952,0.02150687700382307
Bottom Up Clinear,245,76,55,18.333333333333332,0.0034868717193603516,0.0003720320438244741,3.549195671081543,0.6844429290897619,3.5526825428009032,0.6847692146546017,0.22519171631274296,0.049270301317902505,0.21317855461576604,0.05484282671027946,0.05172328623430954,0.023685858581233298,0.339353927124214,0.02788201962740192,0.3795583205820353,0.03166110711781845,0.14600855477837002,0.024777595402454927,0.2822728217184785,0.03596332601187978,0.2963684375989007,0.040343354823232924,0.09886592050633977,0.0228852659883239
Bottom Up Rank,125,76,175,58.333333333333336,0.0051861763000488285,0.0004013839481284333,3.3483534812927247,0.6898703247353609,3.3535396575927736,0.6899109330055471,0.2055159531928123,0.025089965192801766,0.1874339065323695,0.031068121308069244,0.038693145673866516,0.011037804516521758,0.14500699254539523,0.04875354147717739,0.1622779971457406,0.0550635863651186,0.029719630797666513,0.016803131414624656,0.17526147286910376,0.033762077310634915,0.17485595183905506,0.03947587616345013,0.034206388235766515,0.01241727424386668
Bottom Up Mahalanobis,125,76,175,58.333333333333336,0.003271627426147461,0.00039306617850974916,3.6389617919921875,0.9216638750826825,3.642233419418335,0.921908196195201,0.22953027441681786,0.007493848102658628,0.216508876031377,0.010625646174756573,0.04986896728895911,0.005252698772611709,0.1496620701297824,0.04200544948273996,0.16774472421592707,0.04734563024446392,0.030591987933884388,0.016838754441534102,0.1895961722733001,0.02042999625632777,0.19212680012365205,0.021892453587749706,0.040230477611421754,0.00753018628195777
Bottom Up AR,150,76,150,50.0,0.005903100967407227,0.00037490442550737376,3.44215989112854,0.41219985326532044,3.4480629920959474,0.41219557217150943,0.2292758807327618,0.01494570681808997,0.2140398652290942,0.018783090607077266,0.04878744925419914,0.008443575171870336,0.17770604093149583,0.05314663563426035,0.19888064213519654,0.0597940161388678,0.04321786884772999,0.019544065418722757,0.20349096083212884,0.028727045681733617,0.2064602536821454,0.03463317644628122,0.04600265905096456,0.012155104950011113
Bottom Up Mean,172,76,128,42.66666666666667,0.052508211135864256,0.0021765586198484927,2.930072212219238,0.5911532227218415,2.9825804233551025,0.5910696162384118,0.22364727470878756,0.04260407569503909,0.20874118058370403,0.048964346698349946,0.048842579377494824,0.019786416691250093,0.19434267974954092,0.07604131711536556,0.21744919937688514,0.08561227242683553,0.054058366839303144,0.030911321624452925,0.20899497722916427,0.05682439228511336,0.2130951899802946,0.06511667324062974,0.05145047310839899,0.024315966546873288
