Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,4.728656053543091,4.728656053543091,0.09283154962043604,0.03603683935676414,0.0020424683680030755,0.09283154962043604,0.03603683935676414,0.0020424683680030755
Fixed Cut 5.0%,380,100,20,5.0,N/A,8.31820011138916,8.31820011138916,0.09377731963346568,0.03805858557220122,0.0020247773863301378,0.09377731963346568,0.03805858557220122,0.0020247773863301378
Fixed Cut 10.0%,360,100,40,10.0,N/A,5.407510042190552,5.407510042190552,0.09595785069028238,0.03938244857147322,0.002240222374125592,0.09595785069028238,0.03938244857147322,0.002240222374125592
Fixed Cut 15.0%,340,100,60,15.0,N/A,7.013806104660034,7.013806104660034,0.08419278862799101,0.033368733904820945,0.0016612433858207234,0.08419278862799101,0.033368733904820945,0.0016612433858207234
Fixed Cut 20.0%,320,100,80,20.0,N/A,13.239598989486694,13.239598989486694,0.06525263618565008,0.025518970291227315,0.0010575960544762955,0.06525263618565008,0.025518970291227315,0.0010575960544762955
Fixed Cut 25.0%,300,100,100,25.0,N/A,12.820051908493042,12.820051908493042,0.06422180419860606,0.025373670934660152,0.0009738068467387827,0.06422180419860606,0.025373670934660152,0.0009738068467387827
Fixed Cut 30.0%,280,100,120,30.0,N/A,10.553361892700195,10.553361892700195,0.06980736042141647,0.026521466802917955,0.0012441889144412272,0.06980736042141647,0.026521466802917955,0.0012441889144412272
Fixed Cut 35.0%,260,100,140,35.0,N/A,7.689401149749756,7.689401149749756,0.07060617607687292,0.02693266394910539,0.001259327640391962,0.07060617607687292,0.02693266394910539,0.001259327640391962
Fixed Cut 40.0%,240,100,160,40.0,N/A,6.613116025924683,6.613116025924683,0.08294274860751816,0.03235555077008117,0.0016731455984710234,0.08294274860751816,0.03235555077008117,0.0016731455984710234
Fixed Cut 45.0%,221,100,179,44.75,N/A,5.193952798843384,5.193952798843384,0.0807777179407369,0.03174793229374862,0.001609915323452386,0.0807777179407369,0.03174793229374862,0.001609915323452386
Fixed Cut 50.0%,201,100,199,49.75,N/A,3.466970920562744,3.466970920562744,0.22215346116045184,0.07829150579190403,0.008649810561956362,0.22215346116045184,0.07829150579190403,0.008649810561956362
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.35695481300354,3.35695481300354,0.11466784828470777,0.0454459205419795,0.003229468863371165,0.11466784828470777,0.0454459205419795,0.003229468863371165
Fixed Cut 60.0%,160,100,240,60.0,N/A,3.257111072540283,3.257111072540283,0.12269676929602995,0.047747773176605925,0.00367803510757781,0.12269676929602995,0.047747773176605925,0.00367803510757781
Fixed Cut 65.0%,140,100,260,65.0,N/A,3.143766164779663,3.143766164779663,0.29017601456090014,0.14091064215802093,0.024589248618376112,0.29017601456090014,0.14091064215802093,0.024589248618376112
Fixed Cut 70.0%,120,100,280,70.0,N/A,3.2166802883148193,3.2166802883148193,0.10980074431924707,0.04330515442325298,0.0030300139848872714,0.10980074431924707,0.04330515442325298,0.0030300139848872714
