Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,4.435199975967407,4.435199975967407,0.1587907477865478,0.1490275464087216,0.03346430258233406,0.1587907477865478,0.1490275464087216,0.03346430258233406
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,3.7868387699127197,3.7868387699127197,0.16257288581710877,0.15258777157758552,0.0355338518851875,0.16257288581710877,0.15258777157758552,0.0355338518851875
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.19881010055542,3.19881010055542,0.2252085293036722,0.21039175435346175,0.060235928455312816,0.2252085293036722,0.21039175435346175,0.060235928455312816
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,3.2657527923583984,3.2657527923583984,0.17178554793510623,0.16141118348072447,0.03875207465875994,0.17178554793510623,0.16141118348072447,0.03875207465875994
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,3.9601829051971436,3.9601829051971436,0.15330960035957603,0.14374480387740576,0.031535139434412864,0.15330960035957603,0.14374480387740576,0.031535139434412864
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,3.6921169757843018,3.6921169757843018,0.1782824839164561,0.1673199036815293,0.04134020378125022,0.1782824839164561,0.1673199036815293,0.04134020378125022
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.73748779296875,3.73748779296875,0.16185679244157056,0.15194236069058317,0.03413331221132423,0.16185679244157056,0.15194236069058317,0.03413331221132423
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.5055012702941895,3.5055012702941895,0.19483021749860055,0.18298074457103253,0.04908105812946332,0.19483021749860055,0.18298074457103253,0.04908105812946332
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,3.532958984375,3.532958984375,0.1420480184398639,0.13246342246511514,0.027616190472009024,0.1420480184398639,0.13246342246511514,0.027616190472009024
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,3.3674449920654297,3.3674449920654297,0.14113046278018768,0.13090848180497,0.027262239593723987,0.14113046278018768,0.13090848180497,0.027262239593723987
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,3.3568801879882812,3.3568801879882812,0.16534065959911287,0.15515888495583402,0.03731322754932697,0.16534065959911287,0.15515888495583402,0.03731322754932697
