Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,USD/Bitcoin_MAPE,USD/Bitcoin_MAE,USD/Bitcoin_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,619,155,N/A,N/A,N/A,12.49600100517273,12.49600100517273,0.052826420669697303,0.016836946969045925,0.0005451518989625457,0.052826420669697303,0.016836946969045925,0.0005451518989625457
Fixed Cut 5.0%,589,155,30,4.846526655896607,N/A,11.573799848556519,11.573799848556519,0.05099020373622715,0.016555413807348384,0.0005340881185868861,0.05099020373622715,0.016555413807348384,0.0005340881185868861
Fixed Cut 10.0%,558,155,61,9.8546042003231,N/A,15.607033014297485,15.607033014297485,0.04478321981999819,0.014191627915270087,0.00039490285888215006,0.04478321981999819,0.014191627915270087,0.00039490285888215006
Fixed Cut 15.0%,527,155,92,14.862681744749596,N/A,4.2717180252075195,4.2717180252075195,0.0807424709324408,0.025427770816628625,0.0011490479487444314,0.0807424709324408,0.025427770816628625,0.0011490479487444314
Fixed Cut 20.0%,496,155,123,19.87075928917609,N/A,4.5179102420806885,4.5179102420806885,0.09417690359750588,0.029202060993268567,0.0014522342003224962,0.09417690359750588,0.029202060993268567,0.0014522342003224962
Fixed Cut 25.0%,465,155,154,24.878836833602584,N/A,3.657280921936035,3.657280921936035,0.2926055335597425,0.08875713454089469,0.01057698382087453,0.2926055335597425,0.08875713454089469,0.01057698382087453
Fixed Cut 30.0%,434,155,185,29.88691437802908,N/A,5.45048713684082,5.45048713684082,0.09281087819377108,0.029021553136572707,0.0014620821956635895,0.09281087819377108,0.029021553136572707,0.0014620821956635895
Fixed Cut 35.0%,403,155,216,34.894991922455574,N/A,5.069724082946777,5.069724082946777,0.09151472314643028,0.027633802031395725,0.0012397093252603008,0.09151472314643028,0.027633802031395725,0.0012397093252603008
Fixed Cut 40.0%,372,155,247,39.903069466882066,N/A,9.734056949615479,9.734056949615479,0.06968889653301172,0.021378158955146238,0.0008059091519631658,0.06968889653301172,0.021378158955146238,0.0008059091519631658
Fixed Cut 45.0%,341,155,278,44.91114701130856,N/A,3.4541850090026855,3.4541850090026855,0.09707776714023991,0.030453420458853946,0.00163803407213168,0.09707776714023991,0.030453420458853946,0.00163803407213168
Fixed Cut 50.0%,310,155,309,49.919224555735056,N/A,5.319320917129517,5.319320917129517,0.1132639833466389,0.034145615484666415,0.0019133205100846909,0.1132639833466389,0.034145615484666415,0.0019133205100846909
Fixed Cut 55.0%,279,155,340,54.92730210016155,N/A,6.525430202484131,6.525430202484131,0.08267786139159641,0.025581342393549113,0.0011715211848322446,0.08267786139159641,0.025581342393549113,0.0011715211848322446
Fixed Cut 60.0%,248,155,371,59.935379644588046,N/A,2.8672268390655518,2.8672268390655518,0.0876896975993493,0.02754879593037641,0.0013592427786371986,0.0876896975993493,0.02754879593037641,0.0013592427786371986
Fixed Cut 65.0%,217,155,402,64.94345718901454,N/A,2.6786069869995117,2.6786069869995117,0.09556688495918546,0.029670901717487062,0.00162781224860652,0.09556688495918546,0.029670901717487062,0.00162781224860652
