Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,400,100,N/A,N/A,N/A,N/A,9.398178815841675,3.086236411014079,9.398178815841675,3.086236411014079,0.04669500263662214,0.013033556211380925,0.03694479539157284,0.00993665611171287,0.0022703801709616635,0.0011387872010179458,0.04669500263662214,0.013033556211380925,0.03694479539157284,0.00993665611171287,0.0022703801709616635,0.0011387872010179458
Fixed Cut 5.0%,380,100,20,5.0,N/A,N/A,10.25922269821167,0.9950866591280414,10.25922269821167,0.9950866591280414,0.04103261848734528,0.0010481789776677105,0.03262809608507475,0.0007825032474081697,0.0017642302214355466,9.891133503297448e-05,0.04103261848734528,0.0010481789776677105,0.03262809608507475,0.0007825032474081697,0.0017642302214355466,9.891133503297448e-05
Fixed Cut 10.0%,360,100,40,10.0,N/A,N/A,7.356560277938843,4.325316036460316,7.356560277938843,4.325316036460316,0.06110362982072611,0.01680248924816972,0.04805234858469825,0.012989601143642625,0.003638677177696046,0.0016167292117396195,0.06110362982072611,0.01680248924816972,0.04805234858469825,0.012989601143642625,0.003638677177696046,0.0016167292117396195
Fixed Cut 15.0%,340,100,60,15.0,N/A,N/A,4.596988487243652,1.6973432945716724,4.596988487243652,1.6973432945716724,0.07625068570932635,0.015658049277750656,0.05861991486912488,0.011654734972850403,0.005213381737304664,0.0018499594845980028,0.07625068570932635,0.015658049277750656,0.05861991486912488,0.011654734972850403,0.005213381737304664,0.0018499594845980028
Fixed Cut 20.0%,320,100,80,20.0,N/A,N/A,6.671907043457031,2.5235969111550864,6.671907043457031,2.5235969111550864,0.0659677256269465,0.013888197169170174,0.05116507102992591,0.01024326210181947,0.003957186741057463,0.0012993274252588714,0.0659677256269465,0.013888197169170174,0.05116507102992591,0.01024326210181947,0.003957186741057463,0.0012993274252588714
Fixed Cut 25.0%,300,100,100,25.0,N/A,N/A,3.929935836791992,0.5947981145488332,3.929935836791992,0.5947981145488332,0.0816779303509664,0.008291186437516793,0.06251720273583529,0.0055560219126873115,0.005705807493179409,0.0011590264124017465,0.0816779303509664,0.008291186437516793,0.06251720273583529,0.0055560219126873115,0.005705807493179409,0.0011590264124017465
Fixed Cut 30.0%,280,100,120,30.0,N/A,N/A,6.4348596096038815,2.5682969775136595,6.4348596096038815,2.5682969775136595,0.06135137963497139,0.013974808957186079,0.04776719691570777,0.01089452314895576,0.0035005932886656636,0.0013509685765103218,0.06135137963497139,0.013974808957186079,0.04776719691570777,0.01089452314895576,0.0035005932886656636,0.0013509685765103218
Fixed Cut 35.0%,260,100,140,35.0,N/A,N/A,6.711754417419433,3.010751503424978,6.711754417419433,3.010751503424978,0.06523531925148196,0.01897014919543952,0.05045060055502569,0.01439242399740175,0.0039675159973854655,0.001873925729316181,0.06523531925148196,0.01897014919543952,0.05045060055502569,0.01439242399740175,0.0039675159973854655,0.001873925729316181
Fixed Cut 40.0%,240,100,160,40.0,N/A,N/A,4.32686972618103,1.1736731675919745,4.32686972618103,1.1736731675919745,0.07953391740095188,0.007558759564248693,0.06097881677000186,0.005540074579848633,0.00541385212675283,0.000983927614868481,0.07953391740095188,0.007558759564248693,0.06097881677000186,0.005540074579848633,0.00541385212675283,0.000983927614868481
Fixed Cut 45.0%,221,100,179,44.75,N/A,N/A,4.142409133911133,1.2202114357411333,4.142409133911133,1.2202114357411333,0.07572002538324006,0.012931411513819697,0.05829260941262579,0.009653286596143215,0.005058397240989351,0.0015173863439010998,0.07572002538324006,0.012931411513819697,0.05829260941262579,0.009653286596143215,0.005058397240989351,0.0015173863439010998
