Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,5.433216094970703,5.433216094970703,0.22926726139562792,0.21256511356162675,0.05832871716846037,0.22926726139562792,0.21256511356162675,0.05832871716846037
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,4.701647996902466,4.701647996902466,0.22084440873500907,0.20583153026079062,0.05665110553546234,0.22084440873500907,0.20583153026079062,0.05665110553546234
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.160137176513672,3.160137176513672,0.16903634677248588,0.1588073511481804,0.03796653219102673,0.16903634677248588,0.1588073511481804,0.03796653219102673
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,3.606344223022461,3.606344223022461,0.15667028564194754,0.14698558924956961,0.03241357250694101,0.15667028564194754,0.14698558924956961,0.03241357250694101
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,4.50873327255249,4.50873327255249,0.1573604605839143,0.1476497644913895,0.03232228935349581,0.1573604605839143,0.1476497644913895,0.03232228935349581
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,3.534994125366211,3.534994125366211,0.16947076676600234,0.15921666035451815,0.038163620346182946,0.16947076676600234,0.15921666035451815,0.038163620346182946
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.044762134552002,3.044762134552002,0.13287473647612577,0.12150235143604587,0.023044921262745443,0.13287473647612577,0.12150235143604587,0.023044921262745443
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.9470391273498535,3.9470391273498535,0.16628360082515226,0.15615447515471362,0.0362045006806836,0.16628360082515226,0.15615447515471362,0.0362045006806836
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,3.742079019546509,3.742079019546509,0.2139901141103139,0.20043197912773675,0.05612275555167931,0.2139901141103139,0.20043197912773675,0.05612275555167931
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,3.637834072113037,3.637834072113037,0.15589056318907807,0.14621316227361578,0.032840558097900596,0.15589056318907807,0.14621316227361578,0.032840558097900596
