Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,3.226215124130249,3.226215124130249,0.15967172188385678,0.038777717129826195,0.002298220557853787,0.98935720474842,0.031014296127973795,0.001321935281045228,0.5745144633161384,0.034896006628899995,0.0018100779194495076
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,2.7667248249053955,2.7667248249053955,0.1578873620660955,0.039143824171804474,0.0023139180699871865,0.687024634380872,0.02281915461515851,0.0009892515526391992,0.4224559982234838,0.03098148939348149,0.0016515848113131926
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,4.288686037063599,4.288686037063599,0.16256800793058138,0.039917500410012456,0.0024287767824833027,0.9929721800809173,0.030792814546457378,0.0013165241010921758,0.5777700940057491,0.035355157478234915,0.0018726504417877392
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,2.9535820484161377,2.9535820484161377,0.17796468243534788,0.042628558107123536,0.0028332102655104236,1.7273861830371087,0.05237542936131352,0.0030486890246735478,0.9526754327362279,0.04750199373421851,0.0029409496450919855
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,2.778923749923706,2.778923749923706,0.2581690893132999,0.06129071337701352,0.005417762680969784,0.7877734653372956,0.025299919108962097,0.0010511285583865958,0.5229712773252977,0.04329531624298781,0.00323444561967819
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,2.9921348094940186,2.9921348094940186,0.21938826344255322,0.05297838942304858,0.0037666851341795426,0.9737820539917474,0.030870859618051395,0.0013458087852432218,0.5965851587171502,0.04192462452054999,0.002556246959711382
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,2.5204222202301025,2.5204222202301025,0.1810223762455242,0.04301237487568195,0.002689901818805621,1.6504766731561273,0.05058605789407072,0.002854413713344297,0.9157495247008255,0.046799216384876316,0.0027721577660749595
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,3.111830949783325,3.111830949783325,0.2815300266907416,0.06926921732303273,0.005930550854659459,0.35445045771917,0.016830515750099775,0.0009855280688869173,0.31799024220495575,0.04304986653656627,0.003458039461773189
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,2.9919679164886475,2.9919679164886475,0.22474527229011984,0.05440408487473914,0.003927376220532422,0.3054008916254264,0.016815226170699603,0.0010534521917143133,0.2650730819577731,0.03560965552271938,0.0024904142061233686
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,3.0439517498016357,3.0439517498016357,0.3902582060136821,0.09750888106846832,0.011067618046341354,1.0698343007193472,0.0330522786158079,0.001450477957863282,0.7300462533665147,0.06528057984213811,0.006259048002102318
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,3.0890769958496094,3.0890769958496094,0.25827055046064884,0.06282388497165528,0.0051053376994736254,0.7921383133432177,0.025787653934547274,0.0010889325935116328,0.5252044319019333,0.044305769453101294,0.003097135146492629
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,2.694035053253174,2.694035053253174,0.1913627130437963,0.04551239875794979,0.0029915483113827643,1.3235521642071786,0.040472758796992525,0.001983070996590527,0.7574574386254876,0.04299257877747115,0.0024873096539866453
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,2.6607298851013184,2.6607298851013184,0.1296656650132562,0.03903711846452169,0.0021724651487793328,0.6413921224588844,0.022375017185104738,0.001011491348618772,0.38552889373607035,0.0307060678248132,0.0015919782486990529
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,3.3984627723693848,3.3984627723693848,0.08860140856522775,0.0687377247348505,0.006852888382597084,0.5203940662490909,0.07543967129545824,0.0141482664036618,0.30449773740715924,0.07208869801515438,0.01050057739312944
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,2.549628973007202,2.549628973007202,0.18059346121724018,0.14665800595439782,0.027726835167413158,0.4630417380338717,0.07270659448582928,0.014795021672012566,0.321817599625556,0.10968230022011358,0.021260928419712853
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,2.660236120223999,2.660236120223999,0.06692318460332707,0.05485056583874987,0.004784638418371497,0.340158043545334,0.09533083440649419,0.032570593045645115,0.2035406140743305,0.07509070012262203,0.0186776157320083
Fixed Cut 80.0%,100,125,397,79.87927565392354,N/A,2.628187894821167,2.628187894821167,0.10421975975624441,0.07905447491970696,0.008690103113617264,0.5381284382195396,0.11910225624699436,0.03358922066184281,0.32117409898789195,0.09907836558335065,0.021139661887730032
Fixed Cut 85.0%,75,125,422,84.90945674044266,N/A,2.2584941387176514,2.2584941387176514,0.10131405728140283,0.08142553022620777,0.009624771553587616,0.43569705342698445,0.10770265576524886,0.03449261206178231,0.26850555535419374,0.0945640929957283,0.022058691807684962
Fixed Cut 90.0%,50,125,447,89.93963782696177,N/A,2.932752847671509,2.932752847671509,0.13928344279818689,0.11835525473833962,0.021024540562434666,0.5017183948712043,0.11391802370217963,0.03337637016529239,0.32050091883469567,0.11613663922025962,0.027200455363863528
Window L1,127,125,370,74.44668008048289,0.022207021713256836,2.258104085922241,2.280311107635498,0.0845902803088305,0.06233625429279722,0.005499246011190221,0.4410500810827656,0.10558626977421302,0.03230094615074484,0.262820180695798,0.08396126203350511,0.01890009608096753
Window L2,182,125,315,63.38028169014085,0.008018970489501953,2.2037081718444824,2.2117271423339844,0.1175003064706612,0.03834531860907624,0.0020502390084059874,0.46969270125529106,0.02448033686984673,0.001443944418862794,0.2935965038629761,0.03141282773946149,0.0017470917136343913
Window Normal,177,125,320,64.38631790744466,0.029074907302856445,2.351047992706299,2.3801229000091553,0.08702161004864212,0.06689164209439011,0.006489714647774825,0.5650993208751509,0.08012197495346209,0.015038283783093347,0.3260604654618966,0.0735068085239261,0.010763999215434084
Window RBF,127,125,370,74.44668008048289,0.014598846435546875,2.419471263885498,2.434070110321045,0.10080845437949155,0.07602067661010008,0.008133418917597645,0.4227558876265121,0.1041852834024163,0.03288084574487935,0.2617821710030018,0.09010298000625816,0.020507132331238496
Window Cosine,182,125,315,63.38028169014085,0.00589299201965332,2.571976900100708,2.5778698921203613,0.11309802916339806,0.03715745343572554,0.0019244944891991763,1.0788995560119667,0.034653495696563875,0.0016649287727912656,0.5959987925876823,0.03590547456614471,0.001794711630995221
Window Linear,182,125,315,63.38028169014085,0.007697343826293945,2.182305097579956,2.19000244140625,0.10446805300632198,0.03304325759875585,0.001547312573164232,0.4267669272222072,0.016841682112329052,0.0008263173218572844,0.26561749011426455,0.02494246985554245,0.0011868149475107578
Window Clinear,227,125,270,54.32595573440644,0.005810976028442383,2.386063814163208,2.3918747901916504,0.18357149871711217,0.04356000921865143,0.0027847631332795384,1.2662210877513624,0.03878337730794777,0.0018357241883820543,0.7248962932342372,0.0411716932632996,0.0023102436608307972
Window Rank,177,125,320,64.38631790744466,0.014004945755004883,2.4597859382629395,2.4737908840179443,0.0841219290462216,0.06376379890511885,0.005848042046977812,0.3871774415350455,0.06505707780523783,0.013780605859168725,0.23564968529063346,0.06441043835517835,0.009814323953073264
Window Mahalanobis,177,125,320,64.38631790744466,0.0075719356536865234,2.254114866256714,2.2616868019104004,0.08291171898517415,0.06048177100526813,0.0050899956174326605,0.5344127146961081,0.07623670051854302,0.014076716497812546,0.30866221684064105,0.06835923576190558,0.009583356057622606
Window AR,182,125,315,63.38028169014085,0.013242959976196289,2.164213180541992,2.1774561405181885,0.09842729012662677,0.03117848208859828,0.0013783655135043028,0.5485218637803072,0.0199393538554984,0.0009602749450433152,0.32347457695346693,0.025558917972048335,0.0011693202292738082
Window Mean,174,125,323,64.98993963782696,0.12812089920043945,2.769880771636963,2.8980016708374023,0.09026286206522179,0.0741966319591263,0.00845644264959122,0.3501698084905546,0.06721822663431755,0.015661908654328986,0.2202163352778882,0.07070742929672193,0.012059175651960104
Window Median,180,125,317,63.78269617706237,0.12812089920043945,2.5773792266845703,2.7055001258850098,0.13615293965564723,0.05210234690300313,0.0038214494518225175,0.3476981472415648,0.017372451799755953,0.0009922063220266016,0.241925543448606,0.03473739935137955,0.0024068278869245597
Binary Segmentation L1,412,125,85,17.102615694164992,0.026851177215576172,3.0486838817596436,3.0755350589752197,0.2659044433499446,0.06329395599134445,0.005681680223120015,1.227216095214818,0.03737119623462564,0.001737481435933391,0.7465602692823814,0.050332576112985056,0.0037095808295267013
Binary Segmentation L2,452,125,45,9.054325955734406,0.012291669845581055,3.72367000579834,3.735961675643921,0.1801099847098281,0.043501369517786506,0.0029318528657155583,0.9005091195338955,0.028618811859906314,0.0011797093174043308,0.5403095521218615,0.036060090688846407,0.0020557810915599445
Binary Segmentation Normal,172,125,325,65.3923541247485,0.03189396858215332,2.206852912902832,2.2387468814849854,0.16581886301721835,0.13736683345724293,0.026151085381655437,0.9822682657045475,0.12634683365139948,0.022482790019988125,0.5740435643608829,0.1318568335543212,0.02431693770082178
Binary Segmentation RBF,402,125,95,19.114688128772634,0.027472972869873047,2.9694552421569824,2.9969282150268555,0.17945615997480854,0.042631123593016074,0.0028029709747402973,0.5784283939270147,0.01993021886922053,0.0008555855173945702,0.37894227695091165,0.03128067123111827,0.0018292782460674335
Binary Segmentation Cosine,22,125,475,95.57344064386318,0.02561211585998535,2.0799338817596436,2.105545997619629,0.10181464300519143,0.13355930225503665,0.02665087436267294,0.4157016851575315,0.31453373304781984,0.30681300558426067,0.25875816408136143,0.2240465176514282,0.16673193997346678
Binary Segmentation Linear,342,125,155,31.18712273641851,0.010399103164672852,2.571578025817871,2.581977128982544,0.30825272692591477,0.07606419673989501,0.007066145957390031,0.5264266471326907,0.01900939697164992,0.0008667878035365338,0.4173396870293026,0.047536796855772466,0.003966466880463283
Binary Segmentation Clinear,337,125,160,32.19315895372233,0.008597850799560547,2.6984477043151855,2.707045555114746,0.29318408478044383,0.07161986691425236,0.006512169217414299,0.32540442991894813,0.016078602727217402,0.0009384437226392537,0.30929425734969596,0.0438492348207349,0.0037253064700267765
Binary Segmentation Rank,367,125,130,26.156941649899395,0.014560937881469727,3.0500149726867676,3.0645759105682373,0.2696036022157858,0.06444583789086251,0.005777155686428289,1.1649693965303642,0.03605982786264598,0.0016068268070186793,0.7172864993730753,0.05025283287675425,0.003691991246723485
Binary Segmentation Mahalanobis,297,125,200,40.24144869215292,0.024271011352539062,2.5164332389831543,2.5407042503356934,0.3010815452041261,0.07416028430864796,0.006770124088601613,0.5323969065673433,0.019626319949960922,0.000960812215025261,0.41673922588573475,0.04689330212930445,0.0038654681518134346
Binary Segmentation AR,317,125,180,36.21730382293762,0.016749858856201172,2.7440907955169678,2.760840654373169,0.28546117009126404,0.07057413751754545,0.006075087247762976,0.34192993689425016,0.016697203435819295,0.0010002143787072573,0.313695553492757,0.04363567047668238,0.003537650813235117
Binary Segmentation Mean,312,125,185,37.223340040241446,0.1987006664276123,2.6243603229522705,2.823060989379883,0.28688990710676593,0.07105775107340404,0.006109492936078162,0.41898380233687976,0.01686272994216895,0.0008646969904751395,0.3529368547218228,0.043960240507786505,0.0034870949632766503
Binary Segmentation Median,340,125,157,31.58953722334004,0.1987006664276123,3.0741658210754395,3.2728664875030518,0.3233286777185825,0.08005876209436455,0.007735243522357925,0.3452786825446497,0.015812129185007153,0.0008954069774092379,0.33430368013161627,0.04793544563968586,0.004315325249883581
Bottom Up L1,407,125,90,18.10865191146881,0.00908207893371582,3.895116090774536,3.904198169708252,0.24510048589326602,0.05828604282718349,0.004859648249210509,0.7300818709979446,0.023761710097900016,0.0009947119512820244,0.4875911784456054,0.041023876462541756,0.0029271801002462667
Bottom Up L2,172,125,325,65.3923541247485,0.00575709342956543,2.2950761318206787,2.300833225250244,0.09294100397997465,0.06898617894188104,0.006685404208181926,0.4726044776937788,0.0719401360926408,0.014172644880332437,0.28277274083687665,0.07046315751726095,0.010429024544257176
Bottom Up Normal,172,125,325,65.3923541247485,0.012073993682861328,2.293945074081421,2.3060190677642822,0.08239307594733512,0.0627267665421023,0.005728278028442071,0.5347638861968024,0.07767894313406717,0.014822713798387375,0.3085784810720688,0.07020285483808475,0.01027549591341472
Bottom Up RBF,357,125,140,28.169014084507044,0.009093761444091797,2.655531167984009,2.6646249294281006,0.2490674247051019,0.05992172758127949,0.004864355539313194,0.9315194623542031,0.02911492974321131,0.0012524965124640684,0.5902934435296527,0.04451832866224541,0.0030584260258886293
Bottom Up Cosine,232,125,265,53.31991951710262,0.00528407096862793,2.5096840858459473,2.514968156814575,0.27588245558200597,0.06815905353738924,0.005692040736785084,0.37025029809353033,0.01992705129009825,0.0012352478812423806,0.3230663768377683,0.04404305241374377,0.0034636443090137305
Bottom Up Linear,187,125,310,62.37424547283702,0.00681614875793457,2.72631573677063,2.7331318855285645,0.12032225623884975,0.038778260028761405,0.0020971732339720977,1.06823155992367,0.033001799571800626,0.0014272180282584822,0.5942769080812601,0.03589002980028101,0.00176219563111529
Bottom Up Clinear,297,125,200,40.24144869215292,0.004073143005371094,2.514734983444214,2.518808126449585,0.24891993691060355,0.06051446664089698,0.004780504476187116,0.43724912114498476,0.017956921143001636,0.0009632904458116326,0.3430845290277942,0.03923569389194932,0.002871897460999373
Bottom Up Rank,297,125,200,40.24144869215292,0.007608890533447266,2.5445902347564697,2.552199125289917,0.1868743529190412,0.044482365535992004,0.002846129233029223,1.0783153623141568,0.0334298659810488,0.0014337415266500013,0.6325948576165988,0.0389561157585204,0.002139935379839612
Bottom Up Mahalanobis,257,125,240,48.2897384305835,0.006148815155029297,2.6388118267059326,2.644960641860962,0.3374406729322911,0.08477810557276134,0.008280738673655535,0.3288724585599558,0.018741967104167846,0.001136207627022532,0.3331565657461234,0.05176003633846462,0.004708473150339034
Bottom Up AR,357,125,140,28.169014084507044,0.007088899612426758,2.649797201156616,2.656886100769043,0.19974594767317702,0.04760499536459936,0.003220030638852594,1.042019314321462,0.03235196661897771,0.0013856723437465474,0.6208826309973194,0.03997848099178854,0.0023028514912995703
Bottom Up Mean,274,125,223,44.8692152917505,0.07302689552307129,2.956641912460327,3.0296688079833984,0.36771403652598794,0.09181277506092465,0.009860471131231768,0.7180001199284604,0.023705783780976993,0.0009939803865224503,0.5428570782272242,0.05775927942095084,0.0054272257588771095
Bottom Up Median,277,125,220,44.26559356136821,0.07302689552307129,2.7190377712249756,2.792064666748047,0.2525459151147191,0.06251280024858678,0.00476366689718287,0.40684594153428705,0.016638085527471234,0.000862260257417888,0.329695928324503,0.039575442888029035,0.00281296357730038
