Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,383.23736095428467,3.7974789142608643,387.03483986854553,0.1956693981573583,0.050620695765592215,0.0034888633421043674,0.43793124540056555,0.020914585844629567,0.0009946021780609898,0.3168003217789619,0.035767640805110884,0.002241732760082679
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,348.25661611557007,5.057449102401733,353.3140652179718,0.11513407753982252,0.03562062422769152,0.0020981459258748603,0.48170283407200354,0.031024527755349626,0.001350417407037152,0.29841845580591303,0.03332257599152057,0.001724281666456006
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,367.5842070579529,3.264101982116699,370.8483090400696,0.1380786842662427,0.03773411669299479,0.0019832774540879824,0.42602943288655853,0.021049323643428684,0.0009473163424564695,0.28205405857640053,0.02939172016821173,0.0014652968982722257
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,343.4988181591034,2.971470832824707,346.4702889919281,0.1503370454685089,0.04693003531928638,0.0033132996332692066,0.5260549780128426,0.03596410362690545,0.0016630573610945322,0.33819601174067593,0.04144706947309591,0.00248817849718187
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,321.7422170639038,3.1213719844818115,324.8635890483856,0.13074480303326955,0.039095029192106494,0.0023106261956444465,0.46593576842371465,0.02683024589861753,0.0011206750507455174,0.298340285728492,0.03296263754536201,0.001715650623194983
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,321.98936438560486,3.9735541343688965,325.96291851997375,0.1125277935372135,0.0357969357551689,0.001950585927576606,0.4864390479873024,0.027134309641740715,0.001253937800790003,0.29948342076225787,0.0314656226984548,0.001602261864183304
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,313.9310290813446,3.2867279052734375,317.21775698661804,0.08262262105963665,0.024026504846736664,0.0008567332910075099,0.4628575388457173,0.021506768784469932,0.0010984686885378726,0.27274007995267696,0.0227666368156033,0.0009776009897726912
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,315.0148448944092,3.6462318897247314,318.6610767841339,0.11256945723809596,0.03201073920916862,0.0014799092944246957,0.5092357230391085,0.034945343441027114,0.0015973557190882676,0.3109025901386022,0.03347804132509786,0.0015386325067564815
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,308.7292859554291,3.744871139526367,312.47415709495544,0.07843947313299864,0.02355615718979129,0.0009145770961123263,1.0567343193155434,0.022555902872955273,0.0015120699335974606,0.567586896224271,0.023056030031373284,0.0012133235148548934
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,305.90111088752747,3.525193929672241,309.4263048171997,0.2381670883593292,0.059889937234999656,0.004442285406779671,0.44971575465503794,0.018048589798579005,0.0010304405897172077,0.34394142150718354,0.038969263516789324,0.0027363629982484396
