Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,10.755892038345337,10.755892038345337,0.06433130983569234,0.02507726708570049,0.001043546968686086,0.06433130983569234,0.02507726708570049,0.001043546968686086
Fixed Cut 5.0%,380,100,20,5.0,N/A,6.8431360721588135,6.8431360721588135,0.08672199178634853,0.03483951674327758,0.0017771421101941427,0.08672199178634853,0.03483951674327758,0.0017771421101941427
Fixed Cut 10.0%,360,100,40,10.0,N/A,12.097058057785034,12.097058057785034,0.06316275313703827,0.02473712505851318,0.0010507197576470142,0.06316275313703827,0.02473712505851318,0.0010507197576470142
Fixed Cut 15.0%,340,100,60,15.0,N/A,11.473768949508667,11.473768949508667,0.0624071573254726,0.024689781020075737,0.0009239731984469169,0.0624071573254726,0.024689781020075737,0.0009239731984469169
Fixed Cut 20.0%,320,100,80,20.0,N/A,5.943195104598999,5.943195104598999,0.07931939517382525,0.031225654980565638,0.0014945244610015658,0.07931939517382525,0.031225654980565638,0.0014945244610015658
Fixed Cut 25.0%,300,100,100,25.0,N/A,10.985804080963135,10.985804080963135,0.0677475560617497,0.026535596221776158,0.0010875225362410295,0.0677475560617497,0.026535596221776158,0.0010875225362410295
Fixed Cut 30.0%,280,100,120,30.0,N/A,5.6921491622924805,5.6921491622924805,0.0836132231782707,0.03210122318855828,0.0016814012979565471,0.0836132231782707,0.03210122318855828,0.0016814012979565471
Fixed Cut 35.0%,260,100,140,35.0,N/A,6.058553218841553,6.058553218841553,0.08081601400209341,0.031214742534118663,0.0015753470003157643,0.08081601400209341,0.031214742534118663,0.0015753470003157643
Fixed Cut 40.0%,240,100,160,40.0,N/A,4.6523542404174805,4.6523542404174805,0.10761034803142339,0.03970625366015567,0.0025402083471668204,0.10761034803142339,0.03970625366015567,0.0025402083471668204
Fixed Cut 45.0%,221,100,179,44.75,N/A,5.515256881713867,5.515256881713867,0.08224231254165523,0.031006678059559145,0.0016352799631903223,0.08224231254165523,0.031006678059559145,0.0016352799631903223
Fixed Cut 50.0%,201,100,199,49.75,N/A,4.308063983917236,4.308063983917236,0.10752784861743696,0.038746305582010476,0.002506386045289763,0.10752784861743696,0.038746305582010476,0.002506386045289763
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.435286045074463,3.435286045074463,0.13760118097328441,0.05338303973207405,0.004484255289058576,0.13760118097328441,0.05338303973207405,0.004484255289058576
Fixed Cut 60.0%,160,100,240,60.0,N/A,3.4017038345336914,3.4017038345336914,0.10193680510113624,0.04532852654020743,0.003261074238877807,0.10193680510113624,0.04532852654020743,0.003261074238877807
Fixed Cut 65.0%,140,100,260,65.0,N/A,4.034969806671143,4.034969806671143,0.12477940897817526,0.05932672778955946,0.005544411762833424,0.12477940897817526,0.05932672778955946,0.005544411762833424
Fixed Cut 70.0%,120,100,280,70.0,N/A,3.8283326625823975,3.8283326625823975,0.18637853147636943,0.07059817854559682,0.00747749906264296,0.18637853147636943,0.07059817854559682,0.00747749906264296
Fixed Cut 75.0%,100,100,300,75.0,N/A,3.3535218238830566,3.3535218238830566,0.17307276172058886,0.06620867042144647,0.0065563752714706105,0.17307276172058886,0.06620867042144647,0.0065563752714706105
Fixed Cut 80.0%,80,100,320,80.0,N/A,3.405858039855957,3.405858039855957,0.12657964147805162,0.052798758912046606,0.004538203613465842,0.12657964147805162,0.052798758912046606,0.004538203613465842
Fixed Cut 85.0%,60,100,340,85.0,N/A,3.414551019668579,3.414551019668579,0.11565857183621922,0.05015490750739143,0.0038905291950034324,0.11565857183621922,0.05015490750739143,0.0038905291950034324
Fixed Cut 90.0%,40,100,360,90.0,N/A,3.1733829975128174,3.1733829975128174,0.11370750164213277,0.05972271543032019,0.005556810673528885,0.11370750164213277,0.05972271543032019,0.005556810673528885
Window L1,120,100,280,70.0,0.010243654251098633,3.3085732460021973,3.318816900253296,0.3067508708107915,0.1473552397547842,0.025782778898698427,0.3067508708107915,0.1473552397547842,0.025782778898698427
Window L2,125,100,275,68.75,0.005557060241699219,3.47533917427063,3.480896234512329,0.10279925406413323,0.047458992866496914,0.0035053972050926733,0.10279925406413323,0.047458992866496914,0.0035053972050926733
Window Normal,290,100,110,27.500000000000004,0.009844064712524414,11.284609079360962,11.294453144073486,0.06432939186685299,0.025018225498467373,0.0010724844023757064,0.06432939186685299,0.025018225498467373,0.0010724844023757064
Window RBF,120,100,280,70.0,0.0058858394622802734,3.1468710899353027,3.152756929397583,0.28596949780247705,0.1375126499367629,0.02259085414667982,0.28596949780247705,0.1375126499367629,0.02259085414667982
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
