Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,5.73808479309082,5.73808479309082,0.10688183450686035,0.09114288489741257,0.01149593030341,0.10688183450686035,0.09114288489741257,0.01149593030341
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,7.03315806388855,7.03315806388855,0.10660455783041956,0.09033115338309487,0.01131892365721919,0.10660455783041956,0.09033115338309487,0.01131892365721919
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,6.397479295730591,6.397479295730591,0.10120275485954427,0.08575587791862187,0.009676876386489204,0.10120275485954427,0.08575587791862187,0.009676876386489204
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,4.120991945266724,4.120991945266724,0.11006264461358253,0.0948467817089634,0.012763394476846254,0.11006264461358253,0.0948467817089634,0.012763394476846254
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,3.9567267894744873,3.9567267894744873,0.1090957661443645,0.09277460705024289,0.012641825684070875,0.1090957661443645,0.09277460705024289,0.012641825684070875
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,4.182585000991821,4.182585000991821,0.10861482799600197,0.09158111908905632,0.01244075351513772,0.10861482799600197,0.09158111908905632,0.01244075351513772
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.189586877822876,3.189586877822876,0.10598428852773259,0.08888958399365955,0.01172278675639776,0.10598428852773259,0.08888958399365955,0.01172278675639776
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.5761868953704834,3.5761868953704834,0.1110768919069114,0.09198492071700418,0.013085146283495743,0.1110768919069114,0.09198492071700418,0.013085146283495743
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,3.665895938873291,3.665895938873291,0.10642645350622551,0.0882879104126014,0.011436784384365965,0.10642645350622551,0.0882879104126014,0.011436784384365965
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,4.011339902877808,4.011339902877808,0.10507066500153511,0.08867617270759569,0.011073789987791105,0.10507066500153511,0.08867617270759569,0.011073789987791105
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,4.745619058609009,4.745619058609009,0.10348331148234717,0.08725811517819007,0.010807912013791913,0.10348331148234717,0.08725811517819007,0.010807912013791913
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,4.894395112991333,4.894395112991333,0.10429324978571496,0.08837923949509618,0.010855761600038556,0.10429324978571496,0.08837923949509618,0.010855761600038556
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,5.22308087348938,5.22308087348938,0.10538325084359032,0.08886594567523022,0.011366064549723286,0.10538325084359032,0.08886594567523022,0.011366064549723286
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,3.4430298805236816,3.4430298805236816,0.10904646487524051,0.09275213541405171,0.012527161839462238,0.10904646487524051,0.09275213541405171,0.012527161839462238
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,4.103590250015259,4.103590250015259,0.10800295262820257,0.09176011338750736,0.012315546115807296,0.10800295262820257,0.09176011338750736,0.012315546115807296
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,3.577677011489868,3.577677011489868,0.11540477559535073,0.10133092757925752,0.014219161007277905,0.11540477559535073,0.10133092757925752,0.014219161007277905
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,3.606858968734741,3.606858968734741,0.10948206590145508,0.09488853201090279,0.012607900759235378,0.10948206590145508,0.09488853201090279,0.012607900759235378
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,2.990946054458618,2.990946054458618,0.10946499568929044,0.0946836812158253,0.01260768763996545,0.10946499568929044,0.0946836812158253,0.01260768763996545
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,3.0173230171203613,3.0173230171203613,0.110286036524455,0.09584959122961609,0.012903204901337253,0.110286036524455,0.09584959122961609,0.012903204901337253
Window L1,269,94,105,28.07486631016043,0.00934600830078125,5.21669602394104,5.226042032241821,0.10821645082789223,0.09196697631043216,0.01204229499448953,0.10821645082789223,0.09196697631043216,0.01204229499448953
Window L2,264,94,110,29.411764705882355,0.005159139633178711,5.509155035018921,5.5143141746521,0.10755306790585924,0.09190208617047547,0.01198539919062234,0.10755306790585924,0.09190208617047547,0.01198539919062234
Window Normal,264,94,110,29.411764705882355,0.009766101837158203,3.9687020778656006,3.978468179702759,0.10738976259593266,0.08987536700908634,0.011875522150478686,0.10738976259593266,0.08987536700908634,0.011875522150478686
Window RBF,264,94,110,29.411764705882355,0.005881786346435547,4.758711099624634,4.764592885971069,0.1095124763908649,0.09384020313198756,0.012442769671357054,0.1095124763908649,0.09384020313198756,0.012442769671357054
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,254,94,120,32.0855614973262,0.004669904708862305,5.1554179191589355,5.160087823867798,0.10576773463077062,0.08994133062093523,0.011385154142995107,0.10576773463077062,0.08994133062093523,0.011385154142995107
Window Rank,264,94,110,29.411764705882355,0.005338191986083984,3.7396092414855957,3.7449474334716797,0.111933060953411,0.09542277557029195,0.013304599167857811,0.111933060953411,0.09542277557029195,0.013304599167857811
Window Mahalanobis,264,94,110,29.411764705882355,0.0034401416778564453,3.7962121963500977,3.799652338027954,0.10951775371446758,0.09442247679613319,0.012562440255267718,0.10951775371446758,0.09442247679613319,0.012562440255267718
Window AR,264,94,110,29.411764705882355,0.00798797607421875,4.5312840938568115,4.53927206993103,0.10873292686578297,0.09279170262151967,0.01232461800016304,0.10873292686578297,0.09279170262151967,0.01232461800016304
Window Mean,211,94,163,43.58288770053476,0.051589250564575195,3.627403974533081,3.6789932250976562,0.10861258885826777,0.09284729580711311,0.012032416764692105,0.10861258885826777,0.09284729580711311,0.012032416764692105
Window Median,264,94,110,29.411764705882355,0.051589250564575195,3.658724069595337,3.710313320159912,0.10715563955367582,0.09127193134348235,0.011685656333325916,0.10715563955367582,0.09127193134348235,0.011685656333325916
Binary Segmentation L1,289,94,85,22.727272727272727,0.015598058700561523,3.999138116836548,4.014736175537109,0.10712364679092856,0.09110194678311477,0.011604783540065505,0.10712364679092856,0.09110194678311477,0.011604783540065505
Binary Segmentation L2,284,94,90,24.06417112299465,0.0077702999114990234,3.918954849243164,3.926725149154663,0.11454175322274472,0.09908913197805136,0.014171499134733393,0.11454175322274472,0.09908913197805136,0.014171499134733393
Binary Segmentation Normal,289,94,85,22.727272727272727,0.015542030334472656,6.738971948623657,6.75451397895813,0.10037881716723379,0.08464857329571814,0.00975860973237474,0.10037881716723379,0.08464857329571814,0.00975860973237474
Binary Segmentation RBF,289,94,85,22.727272727272727,0.012762069702148438,5.654510974884033,5.667273044586182,0.10760835664967924,0.0917344840753648,0.012063091948360269,0.10760835664967924,0.0917344840753648,0.012063091948360269
Binary Segmentation Cosine,9,94,365,97.59358288770053,0.013003110885620117,3.3503618240356445,3.3633649349212646,0.18771547677992412,0.17417712325468415,0.03906537992025486,0.18771547677992412,0.17417712325468415,0.03906537992025486
Binary Segmentation Linear,9,94,365,97.59358288770053,0.008091926574707031,3.62117600440979,3.629267930984497,0.20397588490607144,0.1894620078560844,0.04594291150780062,0.20397588490607144,0.1894620078560844,0.04594291150780062
Binary Segmentation Clinear,259,94,115,30.74866310160428,0.006975889205932617,3.6810901165008545,3.688066005706787,0.1085647988009366,0.09203178642751794,0.012179587060578858,0.1085647988009366,0.09203178642751794,0.012179587060578858
Binary Segmentation Rank,264,94,110,29.411764705882355,0.007835865020751953,3.665757894515991,3.673593759536743,0.10805353114808684,0.09066836970609445,0.012407460891253174,0.10805353114808684,0.09066836970609445,0.012407460891253174
Binary Segmentation Mahalanobis,284,94,90,24.06417112299465,0.010624885559082031,3.8655900955200195,3.8762149810791016,0.10677631328884535,0.09012673463661881,0.011455594173641727,0.10677631328884535,0.09012673463661881,0.011455594173641727
Binary Segmentation AR,144,94,230,61.49732620320856,0.01322174072265625,6.519486904144287,6.532708644866943,0.10255753369560446,0.08697921750906656,0.01050969511524026,0.10255753369560446,0.08697921750906656,0.01050969511524026
Binary Segmentation Mean,212,94,162,43.31550802139038,0.11142587661743164,4.205244064331055,4.316669940948486,0.10657066582777995,0.08986888151776619,0.01162670065358091,0.10657066582777995,0.08986888151776619,0.01162670065358091
Binary Segmentation Median,274,94,100,26.737967914438503,0.11142587661743164,4.627943754196167,4.739369630813599,0.10667158771109789,0.09054112188464711,0.011561051048210166,0.10667158771109789,0.09054112188464711,0.011561051048210166
Bottom Up L1,264,94,110,29.411764705882355,0.008754968643188477,4.054911851882935,4.063666820526123,0.10615171650533714,0.09008406524717909,0.011624546095947718,0.10615171650533714,0.09008406524717909,0.011624546095947718
Bottom Up L2,264,94,110,29.411764705882355,0.004603862762451172,3.7432029247283936,3.7478067874908447,0.1077855558898499,0.09110873662740365,0.012186242295528879,0.1077855558898499,0.09110873662740365,0.012186242295528879
Bottom Up Normal,264,94,110,29.411764705882355,0.00867319107055664,4.72800087928772,4.736674070358276,0.10471319742002161,0.08760563976118405,0.011294549923594705,0.10471319742002161,0.08760563976118405,0.011294549923594705
Bottom Up RBF,264,94,110,29.411764705882355,0.005248069763183594,4.740267992019653,4.745516061782837,0.11033248891518826,0.09298852106513096,0.013090775770507317,0.11033248891518826,0.09298852106513096,0.013090775770507317
Bottom Up Cosine,14,94,360,96.2566844919786,0.003858804702758789,3.1134791374206543,3.117337942123413,0.19613348046049206,0.18216384592740334,0.04263713116714318,0.19613348046049206,0.18216384592740334,0.04263713116714318
Bottom Up Linear,14,94,360,96.2566844919786,0.0038928985595703125,3.1187729835510254,3.1226658821105957,0.21294584504032985,0.19786804885342518,0.04975815255039979,0.21294584504032985,0.19786804885342518,0.04975815255039979
Bottom Up Clinear,239,94,135,36.096256684491976,0.0037407875061035156,3.5245559215545654,3.528296709060669,0.11112820169416415,0.09535957348507243,0.013025767681163905,0.11112820169416415,0.09535957348507243,0.013025767681163905
Bottom Up Rank,264,94,110,29.411764705882355,0.005927085876464844,4.693146705627441,4.699073791503906,0.11012265465259558,0.0936677305837768,0.012872294940782519,0.11012265465259558,0.0936677305837768,0.012872294940782519
Bottom Up Mahalanobis,264,94,110,29.411764705882355,0.003309011459350586,8.621438026428223,8.624747037887573,0.09999356129263942,0.08477767558607992,0.009719453945777008,0.09999356129263942,0.08477767558607992,0.009719453945777008
Bottom Up AR,84,94,290,77.54010695187165,0.006777286529541016,3.8127191066741943,3.8194963932037354,0.10673460116889176,0.09209252917653059,0.011759751864775967,0.10673460116889176,0.09209252917653059,0.011759751864775967
Bottom Up Mean,194,94,180,48.1283422459893,0.054785966873168945,5.878821849822998,5.933607816696167,0.10495944617567751,0.08930960291450837,0.011047570707809472,0.10495944617567751,0.08930960291450837,0.011047570707809472
Bottom Up Median,264,94,110,29.411764705882355,0.054785966873168945,5.495848178863525,5.550634145736694,0.10487856780846484,0.08854321461331673,0.01121235418897728,0.10487856780846484,0.08854321461331673,0.01121235418897728
