Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Dollars/Barrel_MAPE,Dollars/Barrel_MAE,Dollars/Barrel_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,400,100,N/A,N/A,N/A,12.530363321304321,12.530363321304321,0.06401001841257972,0.02518323391325855,0.0010122787699383474,0.06401001841257972,0.02518323391325855,0.0010122787699383474
Fixed Cut 5.0%,380,100,20,5.0,N/A,12.360888957977295,12.360888957977295,0.06097728423457765,0.024006453637894797,0.0009575764967149057,0.06097728423457765,0.024006453637894797,0.0009575764967149057
Fixed Cut 10.0%,360,100,40,10.0,N/A,17.734731912612915,17.734731912612915,0.06143218579085783,0.02428898670451236,0.0009120097540827448,0.06143218579085783,0.02428898670451236,0.0009120097540827448
Fixed Cut 15.0%,340,100,60,15.0,N/A,12.030104875564575,12.030104875564575,0.06903704571566108,0.02712767999333289,0.001112416249529945,0.06903704571566108,0.02712767999333289,0.001112416249529945
Fixed Cut 20.0%,320,100,80,20.0,N/A,13.5677330493927,13.5677330493927,0.05856668249684281,0.023078604715393098,0.0008713367142176861,0.05856668249684281,0.023078604715393098,0.0008713367142176861
Fixed Cut 25.0%,300,100,100,25.0,N/A,18.029675006866455,18.029675006866455,0.05740386424754644,0.02258155346657683,0.0008130450667852974,0.05740386424754644,0.02258155346657683,0.0008130450667852974
Fixed Cut 30.0%,280,100,120,30.0,N/A,8.327636957168579,8.327636957168579,0.0626135971318187,0.02432558522655502,0.0010018005975398101,0.0626135971318187,0.02432558522655502,0.0010018005975398101
Fixed Cut 35.0%,260,100,140,35.0,N/A,4.728450059890747,4.728450059890747,0.08661767890424311,0.033228702247383585,0.0017921756779648878,0.08661767890424311,0.033228702247383585,0.0017921756779648878
Fixed Cut 40.0%,240,100,160,40.0,N/A,4.743959903717041,4.743959903717041,0.10710308845151176,0.03895756708537601,0.002575965803575933,0.10710308845151176,0.03895756708537601,0.002575965803575933
Fixed Cut 45.0%,221,100,179,44.75,N/A,7.555186033248901,7.555186033248901,0.07213278457471864,0.027237236120797308,0.0013576182016073063,0.07213278457471864,0.027237236120797308,0.0013576182016073063
Fixed Cut 50.0%,201,100,199,49.75,N/A,4.562401056289673,4.562401056289673,0.11526798000048794,0.04166042711471146,0.003016233863702966,0.11526798000048794,0.04166042711471146,0.003016233863702966
Fixed Cut 55.0%,181,100,219,54.75,N/A,3.3718650341033936,3.3718650341033936,0.167404168758487,0.0641949150262584,0.006355473155512079,0.167404168758487,0.0641949150262584,0.006355473155512079
Fixed Cut 60.0%,160,100,240,60.0,N/A,3.5110650062561035,3.5110650062561035,0.1380906681426663,0.06668241453440261,0.006839781406557253,0.1380906681426663,0.06668241453440261,0.006839781406557253
Fixed Cut 65.0%,140,100,260,65.0,N/A,3.5583689212799072,3.5583689212799072,0.20472675680940428,0.08084563172473457,0.00869068291879899,0.20472675680940428,0.08084563172473457,0.00869068291879899
Fixed Cut 70.0%,120,100,280,70.0,N/A,3.132718801498413,3.132718801498413,0.2737594175354382,0.1320769742336937,0.021257845859500732,0.2737594175354382,0.1320769742336937,0.021257845859500732
Fixed Cut 75.0%,100,100,300,75.0,N/A,3.0253241062164307,3.0253241062164307,0.27174416891228614,0.13061648274435508,0.020591821591992118,0.27174416891228614,0.13061648274435508,0.020591821591992118
Fixed Cut 80.0%,80,100,320,80.0,N/A,3.077378988265991,3.077378988265991,0.1208154268054873,0.050776591485711876,0.004054738668761718,0.1208154268054873,0.050776591485711876,0.004054738668761718
Fixed Cut 85.0%,60,100,340,85.0,N/A,3.078089952468872,3.078089952468872,0.11307750388511068,0.048777858950109554,0.003921165065306794,0.11307750388511068,0.048777858950109554,0.003921165065306794
Fixed Cut 90.0%,40,100,360,90.0,N/A,2.866278886795044,2.866278886795044,0.15625573904488005,0.08414727187227361,0.010297555972947108,0.15625573904488005,0.08414727187227361,0.010297555972947108
Window L1,120,100,280,70.0,0.009335041046142578,3.129056930541992,3.1383919715881348,0.1682394473680362,0.08173197937532561,0.009250939142427268,0.1682394473680362,0.08173197937532561,0.009250939142427268
Window L2,125,100,275,68.75,0.006091117858886719,3.0599513053894043,3.066042423248291,0.21968098857084153,0.10617743452203886,0.014345517256781562,0.21968098857084153,0.10617743452203886,0.014345517256781562
Window Normal,290,100,110,27.500000000000004,0.008734941482543945,10.261363983154297,10.27009892463684,0.058626816377116954,0.022794203666659973,0.0008662373758187184,0.058626816377116954,0.022794203666659973,0.0008662373758187184
Window RBF,120,100,280,70.0,0.006651878356933594,3.245563268661499,3.2522151470184326,0.19730894566387897,0.0955916814559669,0.012007920278877485,0.19730894566387897,0.0955916814559669,0.012007920278877485
Window Cosine,0,100,400,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,90,100,310,77.5,0.0060269832611083984,3.2960851192474365,3.302112102508545,0.11050844836106383,0.05134163375174438,0.0041701224156999485,0.11050844836106383,0.05134163375174438,0.0041701224156999485
Window Clinear,135,100,265,66.25,0.004886150360107422,3.358924150466919,3.3638103008270264,0.1456656609285534,0.05685289255807836,0.004945053114435931,0.1456656609285534,0.05685289255807836,0.004945053114435931
Window Rank,125,100,275,68.75,0.006036043167114258,3.420950174331665,3.4269862174987793,0.12120994708061125,0.058039007685644725,0.005158403588552965,0.12120994708061125,0.058039007685644725,0.005158403588552965
Window Mahalanobis,125,100,275,68.75,0.0037660598754882812,3.3462579250335693,3.3500239849090576,0.18376640790319332,0.08847267407936067,0.0104344445267186,0.18376640790319332,0.08847267407936067,0.0104344445267186
Window AR,65,100,335,83.75,0.008821964263916016,3.2849299907684326,3.2937519550323486,0.10260648114719882,0.049528643878819466,0.0038918281931295587,0.10260648114719882,0.049528643878819466,0.0038918281931295587
Window Mean,120,100,280,70.0,0.06035017967224121,3.385064125061035,3.4454143047332764,0.12393454645970624,0.05928884853584758,0.005441252817119568,0.12393454645970624,0.05928884853584758,0.005441252817119568
Window Median,123,100,277,69.25,0.06035017967224121,2.967345952987671,3.027696132659912,0.285209405225754,0.1371911418419343,0.022640830609063824,0.285209405225754,0.1371911418419343,0.022640830609063824
Binary Segmentation L1,260,100,140,35.0,0.019500017166137695,6.879765033721924,6.8992650508880615,0.0814838262443872,0.03253703343986063,0.00161193662426555,0.0814838262443872,0.03253703343986063,0.00161193662426555
Binary Segmentation L2,245,100,155,38.75,0.020093917846679688,7.420200824737549,7.4402947425842285,0.08291616458549728,0.03174269329183429,0.0016449590243014115,0.08291616458549728,0.03174269329183429,0.0016449590243014115
Binary Segmentation Normal,285,100,115,28.749999999999996,0.020088911056518555,5.913702964782715,5.933791875839233,0.09008487189160244,0.03402961927431189,0.0019652714841405326,0.09008487189160244,0.03402961927431189,0.0019652714841405326
Binary Segmentation RBF,260,100,140,35.0,0.015066146850585938,6.309167861938477,6.3242340087890625,0.09299510571992087,0.0351593468026826,0.002057618566766055,0.09299510571992087,0.0351593468026826,0.002057618566766055
Binary Segmentation Cosine,10,100,390,97.5,0.016141176223754883,4.093056917190552,4.109198093414307,0.1872024787044178,0.17994723846199404,0.0436496749784167,0.1872024787044178,0.17994723846199404,0.0436496749784167
Binary Segmentation Linear,380,100,20,5.0,0.008731842041015625,14.047728061676025,14.056459903717041,0.06043501075239336,0.023694846245772613,0.0009346696180962083,0.06043501075239336,0.023694846245772613,0.0009346696180962083
