Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,4.293818950653076,4.293818950653076,0.08059141677174594,0.07644767626366064,0.007764678544973731,0.13686165194680136,0.09477704088528983,0.010736769682598624,0.7747075434091731,0.4365812121693656,0.2467775068387898,0.6550047424483504,0.4554476021269292,0.27848003676725996,0.4117913386440178,0.26581338286131134,0.13593974795840555
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,4.340483665466309,4.340483665466309,0.08752224851256359,0.0829768020065256,0.009109130960469438,0.07672814255496206,0.05293803310764862,0.0035599732272521543,0.8585825989245462,0.4498664351891686,0.26808556606532746,0.6501034475923813,0.4498474490633028,0.2692129169238103,0.4182341093961133,0.25890717984166145,0.13749189679421492
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,5.3316099643707275,5.3316099643707275,0.053588076281709196,0.05102437674524702,0.0037822459382800505,0.07421291516337612,0.052745914781298246,0.00353246197058509,0.8831840148569592,0.4500073326855695,0.2698424329199319,0.6495849355888568,0.4482679150870712,0.2753007428656955,0.41514248547272536,0.2505113848247965,0.1381144709236231
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,4.582901954650879,4.582901954650879,0.0725756489409321,0.06939212198088764,0.007801377330597325,0.08853529633891535,0.065371676336357,0.005450421719141556,0.9056551325876118,0.41915517624319476,0.2497965485357605,0.6817219154698996,0.46933174048024223,0.30916692378497324,0.4371219983343396,0.25581267876017044,0.14305381784261822
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,3.8480660915374756,3.8480660915374756,0.0649173855761987,0.06136265549742787,0.005012736914045741,0.07558869218827233,0.0571344480016312,0.004981425033759552,0.8583820902991682,0.45791331510791466,0.2693424594478587,0.7224800717102838,0.48538837613389285,0.3457039311256655,0.43034205994348074,0.26544969868521673,0.15626013813033235
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,4.186468124389648,4.186468124389648,0.05714937970999882,0.053207753542510214,0.003946957406543664,0.07326351750156279,0.05602317598542928,0.0044666641684525075,0.9227079935431697,0.4408464712298268,0.2666193690936167,0.6974942246885774,0.4769618146526626,0.34062700271197366,0.437653778860827,0.25675980385260727,0.15391499834514666
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,4.766304016113281,4.766304016113281,0.05494899908804702,0.052193443301299484,0.00388606379829072,0.05321469715354827,0.040633472511256555,0.0024199575495237953,1.0319343327460546,0.46385514279946505,0.2954503309035376,0.6948099153470573,0.48367036318146406,0.33231065617846595,0.4587269860836768,0.2600881054483714,0.15851675210745453
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,3.0191421508789062,3.0191421508789062,0.058652021762483644,0.05530570360336618,0.004811748015057948,0.05452295847306011,0.04583400822391892,0.0031839015009336373,0.8325575978921823,0.4391313217148523,0.2521044851087591,0.7424693543015732,0.5113961404106164,0.35723051180163184,0.4220504831073249,0.2629167934881885,0.15433266160659564
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,2.81097412109375,2.81097412109375,0.07964791002570287,0.07411368813139108,0.00818879610618635,0.03962580375253991,0.0330434424710377,0.0014890676690056603,0.8276021906256397,0.44823321725811804,0.2599865952375071,0.7553475967693255,0.5008493815742703,0.3677980504857037,0.4255558752933021,0.2640599323587043,0.1593656273746007
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,3.7102749347686768,3.7102749347686768,0.04083179314901828,0.03847022820162558,0.0021427863263673184,0.04521794643030308,0.03792239373115167,0.0020371455954623077,0.8606942638880296,0.44249627228004695,0.2587587626526893,0.70161205190504,0.4736743756904153,0.32335129901843285,0.4120890138430978,0.24814081747580996,0.146572498398238
