Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,250,63,N/A,N/A,N/A,N/A,4.604962778091431,0.8568397949119125,4.604962778091431,0.8568397949119125,0.2059937355461978,0.0055977595676788075,0.15482298196207578,0.001989304156446702,0.030789272175433126,0.0005254183699725715,0.2059937355461978,0.0055977595676788075,0.15482298196207578,0.001989304156446702,0.030789272175433126,0.0005254183699725715
Fixed Cut 5.0%,238,63,12,4.8,N/A,N/A,4.361538982391357,1.1053941925570903,4.361538982391357,1.1053941925570903,0.21205244913077254,0.006071586087810726,0.1555017215164734,0.0026562672325957173,0.031163329450622283,0.0011747229443622744,0.21205244913077254,0.006071586087810726,0.1555017215164734,0.0026562672325957173,0.031163329450622283,0.0011747229443622744
Fixed Cut 10.0%,225,63,25,10.0,N/A,N/A,4.497476816177368,0.5758044802073691,4.497476816177368,0.5758044802073691,0.20947543252574927,0.0033706488637169517,0.15443734968287492,0.0007526795891304893,0.030776882528371866,0.00041541955340858327,0.20947543252574927,0.0033706488637169517,0.15443734968287492,0.0007526795891304893,0.030776882528371866,0.00041541955340858327
Fixed Cut 15.0%,213,63,37,14.799999999999999,N/A,N/A,3.6610302448272707,0.9007851345327108,3.6610302448272707,0.9007851345327108,0.20146109348301372,0.003296793337006081,0.15101597818567086,0.0017816606727204486,0.02956463025982037,0.0004836694636211073,0.20146109348301372,0.003296793337006081,0.15101597818567086,0.0017816606727204486,0.02956463025982037,0.0004836694636211073
Fixed Cut 20.0%,200,63,50,20.0,N/A,N/A,3.946806526184082,0.48891290328954357,3.946806526184082,0.48891290328954357,0.19810621965389047,0.010675928207431323,0.151452868736693,0.003297986791663472,0.03035094600966939,0.0003886257446376141,0.19810621965389047,0.010675928207431323,0.151452868736693,0.003297986791663472,0.03035094600966939,0.0003886257446376141
Fixed Cut 25.0%,188,63,62,24.8,N/A,N/A,3.5084579467773436,0.5642724099832036,3.5084579467773436,0.5642724099832036,0.19891103570750132,0.006409123298402584,0.1502617886943989,0.0020953471787691007,0.02946783825583326,0.00038935544666182637,0.19891103570750132,0.006409123298402584,0.1502617886943989,0.0020953471787691007,0.02946783825583326,0.00038935544666182637
Fixed Cut 30.0%,175,63,75,30.0,N/A,N/A,3.7874762058258056,0.46489610054728736,3.7874762058258056,0.46489610054728736,0.19929862170915766,0.005492580232711363,0.15156735518376876,0.003491234515495006,0.029710498275525014,0.0009898819045999433,0.19929862170915766,0.005492580232711363,0.15156735518376876,0.003491234515495006,0.029710498275525014,0.0009898819045999433
Fixed Cut 35.0%,163,63,87,34.8,N/A,N/A,3.190038299560547,0.38878872204852977,3.190038299560547,0.38878872204852977,0.20177672293469878,0.004501204955567535,0.15160432936977614,0.00270565509375516,0.02961878145175002,0.0007503815634199052,0.20177672293469878,0.004501204955567535,0.15160432936977614,0.00270565509375516,0.02961878145175002,0.0007503815634199052
Fixed Cut 40.0%,151,63,99,39.6,N/A,N/A,3.8232317924499513,0.6520111569389878,3.8232317924499513,0.6520111569389878,0.19521450970485177,0.011513235404484755,0.1492844636769065,0.003615715405350794,0.029761450633255467,0.0007719820097926724,0.19521450970485177,0.011513235404484755,0.1492844636769065,0.003615715405350794,0.029761450633255467,0.0007719820097926724
Fixed Cut 45.0%,138,63,112,44.800000000000004,N/A,N/A,3.2011674880981444,0.5085681585907532,3.2011674880981444,0.5085681585907532,0.1958547440447568,0.006123742031744938,0.1490828237415986,0.0025667229477800125,0.029098957625105892,0.0005017514032005356,0.1958547440447568,0.006123742031744938,0.1490828237415986,0.0025667229477800125,0.029098957625105892,0.0005017514032005356
