Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,3.6974878311157227,3.6974878311157227,0.09114308091087094,0.08571530164794407,0.008969563284088516,0.1391789398678656,0.09687141284330217,0.011055593353993875,0.8309205838418539,0.4534298048618192,0.2641401678239816,0.7084510896229638,0.4947434660228883,0.32315536655408134,0.4424234235608885,0.28268999634398856,0.15183017275403632
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,4.472921848297119,4.472921848297119,0.08991829838317326,0.08456593465496001,0.00905779950890644,0.13472219171735567,0.09361204426129688,0.010239861541168299,0.8966195729115116,0.45274091924295756,0.27516045997277083,0.6874425594147179,0.4752136788135188,0.30118932783235003,0.4521756556066897,0.27653314424318337,0.14891186221379887
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,4.582098007202148,4.582098007202148,0.08537614114618079,0.07991363596603321,0.007607955700888539,0.0901859867351534,0.06424942942309246,0.0055368000291444106,0.9340295403337542,0.45315628653719775,0.278153388664688,0.709805500046658,0.47920259364597817,0.3584119247755534,0.45484929206543656,0.26913048639307546,0.16242751729256852
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,5.398370981216431,5.398370981216431,0.06259401312383432,0.05964187061889643,0.005475624900589561,0.11954889241945282,0.08852624813676228,0.009753202694382327,0.8241810734055229,0.4158285777539752,0.2350901086688691,0.6948304825750936,0.4821516842236523,0.3165697212126803,0.42528861538097584,0.2615370951833216,0.14172216436913032
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,3.772681951522827,3.772681951522827,0.07802682112519384,0.07383594751287978,0.009697895033575989,0.14111725333975264,0.1082445032120432,0.014718877582884796,0.7688179471283569,0.4104980639813708,0.22065345053913893,0.7737992255285007,0.5132386099859729,0.3669609756757179,0.44044031178045107,0.2764542811730667,0.1530077997078294
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,4.633779048919678,4.633779048919678,0.05545895860959143,0.052718359590753223,0.004242886295026405,0.07004345387245112,0.053373065243588244,0.004066623503103624,0.915723506126002,0.45393767681867286,0.27518384522223094,0.6670187443035765,0.46467636608233204,0.3121796360983671,0.4270611657279053,0.25617636693383666,0.148918247779682
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,5.552177906036377,5.552177906036377,0.09124070062354354,0.0860608394340783,0.009418805944914737,0.04262580951192669,0.035237601111793845,0.002094696178228987,0.8852248751162121,0.44295789375300565,0.259974268562009,0.7064901533131965,0.48198291657309106,0.2968413180879865,0.43139538464121985,0.26155981271799233,0.1420822721932848
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,4.817958831787109,4.817958831787109,0.037333613885047065,0.0351607860224783,0.0019304567071470693,0.04893138413927893,0.040207455549635215,0.002116615941779721,0.8046805216947033,0.45621831581890415,0.26732532492239947,0.6475361047790942,0.4441340579035653,0.2762914934677832,0.38462040612453086,0.2439301538236458,0.13691597275977735
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,4.09967303276062,4.09967303276062,0.04901312061378386,0.04649707328875403,0.0031476930732944404,0.055619703582368604,0.045529687808355666,0.0030068604187908953,0.84631523763439,0.428933132798496,0.24131888412225241,0.6988218576126297,0.47550052827058387,0.32927482254818324,0.412442479860793,0.24911510554154742,0.14418706504063034
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,3.3556618690490723,3.3556618690490723,0.06126974958191518,0.05777377979291004,0.005157737998508439,0.03904716707581072,0.03311820133943064,0.0016669854691362263,0.9425418178275434,0.4553544051185646,0.28542784215182665,0.7217233791016101,0.49179058854702273,0.35514094312316274,0.44114552839671994,0.2595092436994821,0.16184837718565848
Fixed Cut 50.0%,244,122,243,49.89733059548255,N/A,4.312268018722534,4.312268018722534,0.030553884442714042,0.029145374109907963,0.001474797313282294,0.05817000328056823,0.048992829059155224,0.0031387619546919747,0.7998057839598731,0.45447221749627226,0.26611245807956124,0.6888164955340471,0.4699134800116838,0.2912058950894394,0.39433654180430067,0.25063097516925487,0.14048297810924365
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,4.371902942657471,4.371902942657471,0.03788672592809208,0.035900562987653366,0.0021580500310182118,0.06625464950378777,0.05454604810927449,0.004047278914297473,0.8454349903385092,0.4376715559365567,0.2482264234610244,0.7231373243715203,0.5018900579091198,0.32706457529338606,0.41817842253547727,0.2575020562356512,0.14537408192493154
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,4.171389102935791,4.171389102935791,0.0436866046917662,0.0406409226472207,0.0026400700150789186,0.031876141660537295,0.027743182508644847,0.0010520378863323736,0.8379736256326554,0.4361909739393738,0.2538626107615519,0.6904620750967444,0.48496650889226184,0.3236124985263011,0.40099961177042587,0.24738539699687537,0.14529180429731606
Fixed Cut 65.0%,171,122,316,64.8870636550308,N/A,3.471626043319702,3.471626043319702,0.03400570559904719,0.03126467026864856,0.001526082105370502,0.06418219744799523,0.05559423859462085,0.004195995149013607,0.9071425215413236,0.4664688373142014,0.28238490038140623,0.71992160393524,0.5026351078473541,0.3257324023183784,0.4313130071309015,0.2639907135062064,0.15345984498854218
