Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Population_MAPE,Population_MAE,Population_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,652,164,N/A,N/A,N/A,4.860713958740234,4.860713958740234,0.003601099701231781,0.0038296625668185415,1.5094533283514888e-05,0.003601099701231781,0.0038296625668185415,1.5094533283514888e-05
Fixed Cut 5.0%,620,164,32,4.9079754601226995,N/A,8.467684030532837,8.467684030532837,0.001371347519575726,0.0014710521446562237,2.750723648208338e-06,0.001371347519575726,0.0014710521446562237,2.750723648208338e-06
Fixed Cut 10.0%,587,164,65,9.969325153374232,N/A,5.223346948623657,5.223346948623657,0.00027327958519147023,0.0002908673352745544,1.308658230101257e-07,0.00027327958519147023,0.0002908673352745544,1.308658230101257e-07
Fixed Cut 15.0%,555,164,97,14.877300613496933,N/A,7.240345001220703,7.240345001220703,0.0033022198306785987,0.003514480038899817,1.286672035237688e-05,0.0033022198306785987,0.003514480038899817,1.286672035237688e-05
Fixed Cut 20.0%,522,164,130,19.938650306748464,N/A,6.433927297592163,6.433927297592163,0.00031302908877231734,0.00033001818563833365,1.7784806174924278e-07,0.00031302908877231734,0.00033001818563833365,1.7784806174924278e-07
Fixed Cut 25.0%,489,164,163,25.0,N/A,6.533488035202026,6.533488035202026,0.0007390088507847962,0.000790134699436251,7.751792517426661e-07,0.0007390088507847962,0.000790134699436251,7.751792517426661e-07
Fixed Cut 30.0%,457,164,195,29.9079754601227,N/A,5.566637992858887,5.566637992858887,0.0012396085232387205,0.0013256055513324006,2.0585535554308673e-06,0.0012396085232387205,0.0013256055513324006,2.0585535554308673e-06
Fixed Cut 35.0%,424,164,228,34.96932515337423,N/A,7.972537040710449,7.972537040710449,0.003056337130542802,0.0032580692093193034,1.1308673081371792e-05,0.003056337130542802,0.0032580692093193034,1.1308673081371792e-05
Fixed Cut 40.0%,392,164,260,39.87730061349693,N/A,7.410292863845825,7.410292863845825,0.0010896298615345884,0.0011693181670182798,1.78852350074207e-06,0.0010896298615345884,0.0011693181670182798,1.78852350074207e-06
Fixed Cut 45.0%,359,164,293,44.93865030674847,N/A,12.310589075088501,12.310589075088501,0.0022044163371243864,0.0023640747487056147,6.887092774110133e-06,0.0022044163371243864,0.0023640747487056147,6.887092774110133e-06
