Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,4.6010589599609375,4.6010589599609375,0.24111003130263572,0.22417270998535987,0.0660062934569815,0.24111003130263572,0.22417270998535987,0.0660062934569815
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,4.0221476554870605,4.0221476554870605,0.13298050125169908,0.1230285092585782,0.023791602540601343,0.13298050125169908,0.1230285092585782,0.023791602540601343
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.4398627281188965,3.4398627281188965,0.22147344625378154,0.20718641523959047,0.05915189341014348,0.22147344625378154,0.20718641523959047,0.05915189341014348
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,3.377859115600586,3.377859115600586,0.21162650776905126,0.1980736912123206,0.05475682640741225,0.21162650776905126,0.1980736912123206,0.05475682640741225
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,3.9198548793792725,3.9198548793792725,0.1836917323259023,0.17262998214349423,0.04417175121263323,0.1836917323259023,0.17262998214349423,0.04417175121263323
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,3.7963309288024902,3.7963309288024902,0.17085724965142504,0.16046227548059083,0.03877461514145272,0.17085724965142504,0.16046227548059083,0.03877461514145272
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.171538829803467,3.171538829803467,0.1379747431237546,0.12698066914622078,0.025382958051646507,0.1379747431237546,0.12698066914622078,0.025382958051646507
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.79374098777771,3.79374098777771,0.15745081441555228,0.1475863292841752,0.03357908126363574,0.15745081441555228,0.1475863292841752,0.03357908126363574
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,3.8265888690948486,3.8265888690948486,0.1277877600268621,0.11676422603730548,0.02116477602811678,0.1277877600268621,0.11676422603730548,0.02116477602811678
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,3.892397165298462,3.892397165298462,0.1279788935276657,0.11323122435098168,0.019388226431744034,0.1279788935276657,0.11323122435098168,0.019388226431744034
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,4.5135321617126465,4.5135321617126465,0.14904813593225535,0.13977041263631895,0.03024873262942211,0.14904813593225535,0.13977041263631895,0.03024873262942211
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,3.718135118484497,3.718135118484497,0.1262995596287717,0.11257655175846933,0.019256574673902998,0.1262995596287717,0.11257655175846933,0.019256574673902998
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,4.0354039669036865,4.0354039669036865,0.12955077534450252,0.11788330872385032,0.021365596624046627,0.12955077534450252,0.11788330872385032,0.021365596624046627
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,3.216533660888672,3.216533660888672,0.12358557738925037,0.10988225304192031,0.018259277445565533,0.12358557738925037,0.10988225304192031,0.018259277445565533
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,2.9503509998321533,2.9503509998321533,0.12430930080125434,0.11103220557114364,0.018720752068690914,0.12430930080125434,0.11103220557114364,0.018720752068690914
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,3.2546849250793457,3.2546849250793457,0.13754811133210942,0.11908753465682895,0.020918653056786068,0.13754811133210942,0.11908753465682895,0.020918653056786068
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,3.1683902740478516,3.1683902740478516,0.13095398056327998,0.11660480411632611,0.0209704446849261,0.13095398056327998,0.11660480411632611,0.0209704446849261
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,2.680788040161133,2.680788040161133,0.12412450480265813,0.10820415863002132,0.017699050627482945,0.12412450480265813,0.10820415863002132,0.017699050627482945
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,2.8252999782562256,2.8252999782562256,0.13001727170931135,0.11746692932715141,0.021143161292387545,0.13001727170931135,0.11746692932715141,0.021143161292387545
Window L1,54,94,320,85.56149732620321,0.009224176406860352,4.033123970031738,4.042348146438599,0.1186110645537919,0.10510846886554123,0.016532118901159038,0.1186110645537919,0.10510846886554123,0.016532118901159038
Window L2,54,94,320,85.56149732620321,0.004767179489135742,3.149275064468384,3.1540422439575195,0.12122434741844944,0.10655441288516412,0.017193609014271326,0.12122434741844944,0.10655441288516412,0.017193609014271326
