Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,300,76,N/A,N/A,N/A,3.707267999649048,3.707267999649048,0.194723790145668,0.10346414575594816,0.011723428019784501,0.41660673491822287,0.4656514681777589,0.2173689732742953,0.3056652625319454,0.2845578069668535,0.1145462006470399
Fixed Cut 5.0%,285,76,15,5.0,N/A,3.7929329872131348,3.7929329872131348,0.16379434561578118,0.15191077854114926,0.02705391954743294,0.3337405669760507,0.37274581807345725,0.139551399107555,0.248767456295916,0.26232829830730325,0.08330265932749396
Fixed Cut 10.0%,270,76,30,10.0,N/A,4.1156837940216064,4.1156837940216064,0.23432446896646736,0.2258228686906279,0.054873777180490024,0.38168851657598873,0.4266618897095466,0.18266578459829003,0.30800649277122805,0.32624237920008725,0.11876978088939005
Fixed Cut 15.0%,255,76,45,15.0,N/A,4.543797969818115,4.543797969818115,0.2508849438526076,0.23651057668146774,0.05839625782886173,0.3829995317045481,0.4287215653546838,0.18476671357570035,0.3169422377785779,0.3326160710180758,0.12158148570228101
Fixed Cut 20.0%,240,76,60,20.0,N/A,3.407820224761963,3.407820224761963,0.23705906910204635,0.23020670133880844,0.05765844508402819,0.31571318870005294,0.35296193076315274,0.1250911851300789,0.27638612890104963,0.29158431605098056,0.09137481510705356
Fixed Cut 25.0%,225,76,75,25.0,N/A,3.783234119415283,3.783234119415283,0.21148816213290242,0.1941210836237745,0.04003841643846173,0.3121402678603855,0.3488949123509912,0.12253047078444193,0.2618142149966439,0.2715079979873828,0.08128444361145183
Fixed Cut 30.0%,210,76,90,30.0,N/A,3.27669620513916,3.27669620513916,0.1934470249247086,0.18043615175122696,0.03527017542732606,0.2529888009781119,0.28303324321140555,0.08049453088678078,0.2232179129514103,0.23173469748131628,0.05788235315705342
Fixed Cut 35.0%,195,76,105,35.0,N/A,2.8908920288085938,2.8908920288085938,0.23208475097485146,0.22263780033899286,0.05341636095899061,0.1916765774528847,0.2134160996357096,0.04828710055216655,0.2118806642138681,0.21802694998735125,0.050851730755578584
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,3.820006847381592,3.820006847381592,0.2575788544574707,0.24003935996829495,0.05933195722643014,0.30059155827522066,0.3367894456880176,0.11450185181321518,0.27908520636634576,0.2884144028281563,0.08691690451982265
Fixed Cut 45.0%,165,76,135,45.0,N/A,3.0327038764953613,3.0327038764953613,0.22865869481525453,0.21330517198521054,0.047441965584619744,0.18982648841120056,0.21258210626299973,0.04555338455181821,0.2092425916132275,0.21294363912410516,0.04649767506821899
Fixed Cut 50.0%,151,76,149,49.666666666666664,N/A,2.8087711334228516,2.8087711334228516,0.28313532362893856,0.2672103558395209,0.07439945006950525,0.1735483669603911,0.19344075184036136,0.03861533127666852,0.22834184529466484,0.23032555383994122,0.05650739067308688
Fixed Cut 55.0%,136,76,164,54.666666666666664,N/A,3.5433359146118164,3.5433359146118164,0.2305801462950706,0.21672622462770108,0.04971772872505696,0.14608413362315167,0.16373439033924814,0.027177092682590182,0.1883321399591111,0.19023030748347464,0.03844741070382358
Fixed Cut 60.0%,120,76,180,60.0,N/A,3.1550209522247314,3.1550209522247314,0.1597117792961741,0.14523989753239291,0.023613001604200858,0.11018497730602791,0.12337324334326141,0.015709609855811556,0.134948378301101,0.13430657043782715,0.01966130573000621
Fixed Cut 65.0%,105,76,195,65.0,N/A,2.5579798221588135,2.5579798221588135,0.25312096978124826,0.23886233927339642,0.059699247545264865,0.10265421992675222,0.11507877154725331,0.013869835157805866,0.17788759485400024,0.17697055541032486,0.03678454135153537
Fixed Cut 70.0%,90,76,210,70.0,N/A,2.784262180328369,2.784262180328369,0.25282923605264646,0.2385499435556097,0.059450261118328164,0.10035806132757752,0.11255172465257168,0.012913399618049347,0.1765936486901119,0.1755508341040907,0.036181830368188755
Fixed Cut 75.0%,75,76,225,75.0,N/A,2.79901385307312,2.79901385307312,0.21492683707711846,0.20450245224703809,0.04473611053881707,0.06806613756988009,0.0755476218212702,0.007354069665837436,0.1414964873234993,0.14002503703415417,0.026045090102327254
Fixed Cut 80.0%,60,76,240,80.0,N/A,3.643054723739624,3.643054723739624,0.24449607570330825,0.23467094583580356,0.05894022767211332,0.10202695515838009,0.11441056201522047,0.013580321393654622,0.17326151543084414,0.17454075392551205,0.03626027453288398
Fixed Cut 85.0%,45,76,255,85.0,N/A,2.478733777999878,2.478733777999878,0.3300441369733009,0.37326854807271537,0.15184416562681427,0.03906261869011797,0.043346377299193294,0.0022649658566581323,0.18455337783170941,0.20830746268595435,0.0770545657417362
Fixed Cut 90.0%,30,76,270,90.0,N/A,2.5969579219818115,2.5969579219818115,0.2746149527790685,0.38808819730387484,0.16089567700122967,0.062489538733780194,0.06916835178608025,0.005861697940513925,0.16855224575642436,0.22862827454497747,0.08337868747087179
Window L1,160,76,140,46.666666666666664,0.007302045822143555,3.499129056930542,3.5064311027526855,0.2346562399177694,0.21994864263188907,0.050648864065350595,0.2299119338728156,0.2574627849512702,0.06689163689638383,0.2322840868952925,0.23870571379157962,0.0587702504808672
Window L2,160,76,140,46.666666666666664,0.005647182464599609,3.9840831756591797,3.9897303581237793,0.19332320084759663,0.17656994397881998,0.03334654740115855,0.19855387195989507,0.22223321691901932,0.04988184206195353,0.19593853640374587,0.1994015804489197,0.04161419473155603
Window Normal,125,76,175,58.333333333333336,0.021394968032836914,3.898413896560669,3.919808864593506,0.20934922289609925,0.19611646572541394,0.04077045499560175,0.18300235075363072,0.20462024393387607,0.042574633078462334,0.196175786824865,0.20036835482964505,0.041672544037032036
Window RBF,155,76,145,48.333333333333336,0.00512385368347168,3.8635220527648926,3.8686459064483643,0.23702044768855274,0.22702335288351758,0.05475052087061889,0.2291135837522288,0.25661921682663724,0.06646946108947584,0.2330670157203908,0.24182128485507742,0.060609990980047365
Window Cosine,250,76,50,16.666666666666664,0.0037522315979003906,3.400360107421875,3.4041123390197754,0.12694488886806504,0.09553899407367532,0.01672438858474503,0.2981125874336717,0.3331268629312011,0.11164253011848531,0.2125287381508683,0.2143329285024382,0.0641834593516152
Window Linear,245,76,55,18.333333333333332,0.00598597526550293,3.3374669551849365,3.3434529304504395,0.19244861247026104,0.1800048542693031,0.03566892481227165,0.3653443948375405,0.40829769174356534,0.1673287423459857,0.2788965036539008,0.29415127300643423,0.10149883357912867
Window Clinear,250,76,50,16.666666666666664,0.0038170814514160156,4.045686960220337,4.049504041671753,0.20480897172221305,0.19937157644534353,0.04436502246392745,0.3302585949203736,0.3695097860228684,0.13710433969068017,0.2675337833212933,0.28444068123410593,0.09073468107730381
Window Rank,135,76,165,55.00000000000001,0.005052089691162109,3.4877166748046875,3.4927687644958496,0.19255382291400314,0.1751191375545823,0.03264633752273809,0.15560294237023067,0.17467271858465988,0.031130851016669205,0.1740783826421169,0.17489592806962112,0.031888594269703655
