Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,407,102,N/A,N/A,N/A,3.978626012802124,3.978626012802124,0.08324881604756228,0.07442675763214596,0.005653393123542628,0.200418825676144,0.21484259900366426,0.04872854757582601,376056837079385.2,0.27910118225876446,0.10897037937122603,0.3127542217992986,0.3310634463305748,0.2285263540891002,94014209269846.47,0.22485849630628735,0.09796966853992375
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,4.128868103027344,4.128868103027344,0.0711658201814908,0.06301470552769528,0.005071455259383029,0.3008349633999084,0.32600128117433136,0.11764574572669013,386749014055321.9,0.2875030803573838,0.11600192247959132,0.32129409120048497,0.35434971909169477,0.2695512684756912,96687253513830.66,0.2577171965377763,0.1270675979853389
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,5.508185863494873,5.508185863494873,0.016713003216532126,0.015236424022721452,0.0003544008369659751,0.2443096558204812,0.26371389972608755,0.07436600085872017,493834633284985.5,0.27575897712959274,0.0908264777435754,0.31844024247722164,0.3470246354154607,0.2547019980787709,123458658321246.52,0.22543348407346558,0.1050622193795081
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,4.200671911239624,4.200671911239624,0.028463213061268193,0.02547162748210624,0.0009400778478870295,0.26577729952698403,0.2851498744996953,0.08430803359069375,342583434794210.6,0.2980576165149165,0.13491439795919133,0.3182821603123627,0.36399555472861483,0.29228321255904843,85645858698552.83,0.2431686683063332,0.1281114304892051
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,4.240828990936279,4.240828990936279,0.06497736731934574,0.059351874181691446,0.005827037175237328,0.23739542392772411,0.25514699126617324,0.06852219802369264,190257537824919.2,0.27820560546039386,0.14509231565867686,0.29593053451338863,0.35870613398122836,0.28540458615710407,47564384456229.96,0.23785265122237176,0.12621153425367776
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,4.438832998275757,4.438832998275757,0.08300486127932183,0.07432372455255791,0.00592698898944036,0.2317775076543524,0.25059488604015845,0.06763317852003994,384626876365641.0,0.2880537665021305,0.1184410457605253,0.31048946228582064,0.42955128822970556,0.40112362617781916,96156719091410.44,0.2606309163311381,0.14828120986195623
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,4.8252270221710205,4.8252270221710205,0.07720318693295102,0.07075594232250229,0.009112700459618121,0.23575383807212932,0.25525074914954626,0.07166283167616701,322253953773007.75,0.25865197470055235,0.1037939441921837,0.2997476346647322,0.421865206269696,0.4000488953456794,80563488443252.1,0.2516309681105742,0.14615459291841212
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,4.097908020019531,4.097908020019531,0.06744948954377639,0.06136240216968117,0.005077607672835666,0.19118900392381072,0.20577080657680202,0.0446429645276465,374569652378872.2,0.2842888373894953,0.12303067652064942,0.28048262045656996,0.39861157273081893,0.3644308791317361,93642413094718.17,0.23750840471669943,0.13429553196321684
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,4.667479038238525,4.667479038238525,0.07081779945340388,0.06423405270501518,0.006264709607052512,0.15908855997950727,0.16942516847733238,0.030446695799650703,293509786247254.5,0.27920423171763775,0.1263821529513402,0.3108323126999173,0.4400886864535505,0.43159651848676495,73377446561813.77,0.23823803483838402,0.1486725192112021
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,4.096031188964844,4.096031188964844,0.042218205641932224,0.038471836859249,0.002119987591697239,0.13911111227406064,0.1484893287490272,0.024227579736167914,393442014177043.2,0.4293384416248826,0.32097635091508825,0.3307314985702664,0.702966972925019,1.1123691156700588,98360503544260.92,0.3298166450395445,0.36492325847825313
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,3.824727773666382,3.824727773666382,0.17923304468976048,0.16367544950344873,0.039017730505348965,0.1847226469974191,0.20062531640727688,0.048018227456881134,223970886793712.12,0.4576093477171876,0.43044985259146956,0.2745071903953394,0.7913127176399353,1.4472909537671923,55992721698428.2,0.4033057078169621,0.491194191080223
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,4.226351022720337,4.226351022720337,0.030055885158241,0.027117866526760355,0.0016518857706131764,0.19015479500904667,0.2076542457889538,0.055851809153515126,292914355080914.5,0.44010085588266,0.36636677195087547,0.2886874768090019,0.8362487380043083,1.6121234276156027,73228588770228.77,0.37778042655067046,0.5089984736226516
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,4.136244058609009,4.136244058609009,0.18470781327806693,0.16884150202058673,0.045665924729037126,0.15243277092481258,0.16482131840019054,0.032435706426963654,177834045050578.47,0.4369680452037387,0.40778392834499017,0.3018108621159149,0.8884957079868956,1.868283265708778,44458511262644.79,0.41478164340285295,0.5885422063024425
Fixed Cut 65.0%,143,102,264,64.86486486486487,N/A,2.7318429946899414,2.7318429946899414,0.09470559613520592,0.09445096649809996,0.0161391603124266,0.1301300001026229,0.14332851800190755,0.028438814821051053,201212729450065.2,0.6183569724857784,0.8514326452758608,0.30315275766254807,0.8666884832888391,1.69684512800861,50303182362516.43,0.43070623506865613,0.6482139371044873
