Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Number of Passengers_MAPE,Number of Passengers_MAE,Number of Passengers_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,374,94,N/A,N/A,N/A,5.679023742675781,5.679023742675781,0.1080430368484374,0.0920862726090621,0.011868543734780036,0.1080430368484374,0.0920862726090621,0.011868543734780036
Fixed Cut 5.0%,356,94,18,4.81283422459893,N/A,6.170007944107056,6.170007944107056,0.10817555893569095,0.09243423841768371,0.01204815501236831,0.10817555893569095,0.09243423841768371,0.01204815501236831
Fixed Cut 10.0%,337,94,37,9.893048128342247,N/A,3.8412511348724365,3.8412511348724365,0.10665478313917398,0.09007810478270155,0.011459101977665458,0.10665478313917398,0.09007810478270155,0.011459101977665458
Fixed Cut 15.0%,318,94,56,14.973262032085561,N/A,5.405455112457275,5.405455112457275,0.1032548521327889,0.08827183534831295,0.010610467476941705,0.1032548521327889,0.08827183534831295,0.010610467476941705
Fixed Cut 20.0%,300,94,74,19.786096256684495,N/A,4.4679038524627686,4.4679038524627686,0.10687380929289994,0.09103723874754706,0.01170603403943899,0.10687380929289994,0.09103723874754706,0.01170603403943899
Fixed Cut 25.0%,281,94,93,24.86631016042781,N/A,4.358119964599609,4.358119964599609,0.10943283414980101,0.09384524486280252,0.01247298949191161,0.10943283414980101,0.09384524486280252,0.01247298949191161
Fixed Cut 30.0%,262,94,112,29.946524064171122,N/A,3.49515700340271,3.49515700340271,0.10574706412658122,0.08928304596226208,0.011325932293159086,0.10574706412658122,0.08928304596226208,0.011325932293159086
Fixed Cut 35.0%,244,94,130,34.75935828877005,N/A,3.567249059677124,3.567249059677124,0.10581297243872323,0.08981143017642217,0.011295349831901428,0.10581297243872323,0.08981143017642217,0.011295349831901428
Fixed Cut 40.0%,225,94,149,39.839572192513366,N/A,4.53740119934082,4.53740119934082,0.10577027980158872,0.08998011679957112,0.011462289813684991,0.10577027980158872,0.08998011679957112,0.011462289813684991
Fixed Cut 45.0%,206,94,168,44.919786096256686,N/A,4.267642974853516,4.267642974853516,0.11251296482305721,0.09605211426608874,0.013490455065552477,0.11251296482305721,0.09605211426608874,0.013490455065552477
Fixed Cut 50.0%,188,94,186,49.73262032085562,N/A,3.099799156188965,3.099799156188965,0.11131575853462819,0.09549264926808194,0.013402028316748027,0.11131575853462819,0.09549264926808194,0.013402028316748027
Fixed Cut 55.0%,169,94,205,54.81283422459893,N/A,5.592319965362549,5.592319965362549,0.10460097538433691,0.08887024816897553,0.011162845732404876,0.10460097538433691,0.08887024816897553,0.011162845732404876
Fixed Cut 60.0%,150,94,224,59.893048128342244,N/A,4.827153921127319,4.827153921127319,0.10345281418597777,0.08826711561960195,0.010679560583402073,0.10345281418597777,0.08826711561960195,0.010679560583402073
Fixed Cut 65.0%,131,94,243,64.97326203208557,N/A,4.322868824005127,4.322868824005127,0.10609393108372601,0.08892746010425517,0.011793628006678688,0.10609393108372601,0.08892746010425517,0.011793628006678688
Fixed Cut 70.0%,113,94,261,69.78609625668449,N/A,5.247063875198364,5.247063875198364,0.106435317629285,0.09027892900064044,0.01204921542176522,0.106435317629285,0.09027892900064044,0.01204921542176522
Fixed Cut 75.0%,94,94,280,74.8663101604278,N/A,3.765713930130005,3.765713930130005,0.11374178040745783,0.0985965700178882,0.013831976141592046,0.11374178040745783,0.0985965700178882,0.013831976141592046
Fixed Cut 80.0%,75,94,299,79.94652406417111,N/A,3.5939879417419434,3.5939879417419434,0.11122780858299944,0.09602279410600306,0.013109775154959803,0.11122780858299944,0.09602279410600306,0.013109775154959803
Fixed Cut 85.0%,57,94,317,84.75935828877004,N/A,3.098146915435791,3.098146915435791,0.11366582544018032,0.09878119909887846,0.014025455356630504,0.11366582544018032,0.09878119909887846,0.014025455356630504
Fixed Cut 90.0%,38,94,336,89.83957219251337,N/A,2.8515751361846924,2.8515751361846924,0.11860093383802557,0.10542003372475696,0.015237435968868247,0.11860093383802557,0.10542003372475696,0.015237435968868247
Window L1,269,94,105,28.07486631016043,0.009348869323730469,3.975667953491211,3.9850168228149414,0.11841530284877877,0.10281241137039861,0.01528422593423801,0.11841530284877877,0.10281241137039861,0.01528422593423801
Window L2,264,94,110,29.411764705882355,0.005783796310424805,4.757623195648193,4.763406991958618,0.10829043966029178,0.09238859298334941,0.0122542428974586,0.10829043966029178,0.09238859298334941,0.0122542428974586
Window Normal,264,94,110,29.411764705882355,0.009832143783569336,6.6025919914245605,6.61242413520813,0.09865142195953165,0.08253958973003643,0.009218266803938903,0.09865142195953165,0.08253958973003643,0.009218266803938903
Window RBF,264,94,110,29.411764705882355,0.007797956466674805,4.538474082946777,4.546272039413452,0.10639267603977806,0.08967193543943282,0.011488111234761624,0.10639267603977806,0.08967193543943282,0.011488111234761624
Window Cosine,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,0,94,374,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Clinear,254,94,120,32.0855614973262,0.0045659542083740234,4.227031946182251,4.231597900390625,0.10681270777720807,0.09055332439416543,0.011511721562288652,0.10681270777720807,0.09055332439416543,0.011511721562288652
Window Rank,264,94,110,29.411764705882355,0.005497932434082031,5.436455011367798,5.44195294380188,0.10262442911922333,0.08634449055129513,0.010469557058296828,0.10262442911922333,0.08634449055129513,0.010469557058296828
Window Mahalanobis,264,94,110,29.411764705882355,0.003556966781616211,4.580715894699097,4.584272861480713,0.10582395783300477,0.08746648376837798,0.011542368557761274,0.10582395783300477,0.08746648376837798,0.011542368557761274
Window AR,264,94,110,29.411764705882355,0.007630825042724609,4.119050979614258,4.126681804656982,0.10602589180528356,0.0891836562447654,0.011381178283136232,0.10602589180528356,0.0891836562447654,0.011381178283136232
