Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Exchange rate_MAPE,Exchange rate_MAE,Exchange rate_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,197,50,N/A,N/A,N/A,3.6224751472473145,3.6224751472473145,0.03944841208567671,0.021226352522893198,0.0006613013589037473,0.03944841208567671,0.021226352522893198,0.0006613013589037473
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,3.967217206954956,3.967217206954956,0.04076297866056917,0.021980343252268372,0.0007113451914679016,0.04076297866056917,0.021980343252268372,0.0007113451914679016
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,2.366877794265747,2.366877794265747,0.08089195333005267,0.044284883465112876,0.002568899424808562,0.08089195333005267,0.044284883465112876,0.002568899424808562
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,2.9321999549865723,2.9321999549865723,0.035076031203972284,0.01856148845051807,0.0005612287860210522,0.035076031203972284,0.01856148845051807,0.0005612287860210522
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,3.3021881580352783,3.3021881580352783,0.04211241294612965,0.022481417524027637,0.0007319175850406495,0.04211241294612965,0.022481417524027637,0.0007319175850406495
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,3.797106981277466,3.797106981277466,0.044682892002027956,0.023990465540373464,0.0008234677865014585,0.044682892002027956,0.023990465540373464,0.0008234677865014585
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,3.229138135910034,3.229138135910034,0.04390605017397586,0.023603469618884824,0.000803084579993267,0.04390605017397586,0.023603469618884824,0.000803084579993267
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,3.1484901905059814,3.1484901905059814,0.045111898861930934,0.024334886177767027,0.0008504045042392549,0.045111898861930934,0.024334886177767027,0.0008504045042392549
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,3.5356521606445312,3.5356521606445312,0.042007361660572354,0.023008911803688914,0.0007896378366478053,0.042007361660572354,0.023008911803688914,0.0007896378366478053
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,3.549957752227783,3.549957752227783,0.04226065336374281,0.02309411652375726,0.0007870190253656838,0.04226065336374281,0.02309411652375726,0.0007870190253656838
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,3.7208809852600098,3.7208809852600098,0.040413357708423296,0.022181916910118143,0.0007401852224999374,0.040413357708423296,0.022181916910118143,0.0007401852224999374
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,2.800265073776245,2.800265073776245,0.050349556140468585,0.029732183407928266,0.0013268077184583108,0.050349556140468585,0.029732183407928266,0.0013268077184583108
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,2.5257060527801514,2.5257060527801514,0.061534660076370845,0.063159723879759,0.005753772350559808,0.061534660076370845,0.063159723879759,0.005753772350559808
Fixed Cut 65.0%,69,50,128,64.9746192893401,N/A,2.79130482673645,2.79130482673645,0.057633744246046066,0.05931860642036182,0.005194814929113903,0.057633744246046066,0.05931860642036182,0.005194814929113903
Fixed Cut 70.0%,60,50,137,69.54314720812182,N/A,2.4658420085906982,2.4658420085906982,0.05714511070422785,0.05868137757746315,0.00502820210116973,0.05714511070422785,0.05868137757746315,0.00502820210116973
Fixed Cut 75.0%,50,50,147,74.61928934010153,N/A,2.565150022506714,2.565150022506714,0.059152597416888136,0.06139540986107255,0.005623149856155796,0.059152597416888136,0.06139540986107255,0.005623149856155796
Fixed Cut 80.0%,40,50,157,79.69543147208121,N/A,2.8200607299804688,2.8200607299804688,0.06189418655089698,0.06407394542340472,0.006031217475581427,0.06189418655089698,0.06407394542340472,0.006031217475581427
Fixed Cut 85.0%,30,50,167,84.77157360406092,N/A,2.309760093688965,2.309760093688965,0.1114640084900458,0.11422968924737426,0.016380945796162446,0.1114640084900458,0.11422968924737426,0.016380945796162446
