Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,V1_MAPE,V1_MAE,V1_MSE,V2_MAPE,V2_MAE,V2_MSE,V3_MAPE,V3_MAE,V3_MSE,V4_MAPE,V4_MAE,V4_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,407,102,N/A,N/A,N/A,4.2986390590667725,4.2986390590667725,0.09349518624447273,0.08428995167113938,0.008709131854264722,0.24582406659759484,0.26722028349647814,0.08146341921708775,479561160699688.7,0.2840627012805014,0.09972132332163547,0.2916690003075,0.3280765111500151,0.23472898616301552,119890290174922.33,0.24091236189953347,0.1061557151390008
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,3.717142105102539,3.717142105102539,0.06291807273789095,0.057540524224987996,0.005018577741470972,0.2769392749454841,0.2977592778840546,0.09223499046331118,457172440654600.3,0.29842796793612214,0.11544292624737822,0.352137596941036,0.3368916404561407,0.21447917595938348,114293110163650.28,0.24765485262532627,0.10679391760288598
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,4.730787992477417,4.730787992477417,0.05561661355660626,0.04910133742467688,0.0033617451877758775,0.20762705419166674,0.22053808005305134,0.05127329857350845,591502580946664.0,0.2946867636680682,0.09791855760158129,0.3222992568249057,0.3395144190507712,0.23892431434224903,147875645236666.16,0.22596015004914183,0.09786947892627862
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,5.592114210128784,5.592114210128784,0.04984692509523104,0.04546563841772032,0.0029365775552945878,0.23751056883755542,0.25515210910919883,0.06765930495414309,433377424695210.0,0.29389378692477164,0.11439437553993813,0.3081082546928646,0.340333937739902,0.24955845179212624,108344356173802.69,0.23371136804789816,0.10863717746037543
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,4.494999885559082,4.494999885559082,0.10891022740040349,0.10050890819751349,0.018856182452736885,0.2359883465862914,0.25589802484835866,0.07236474575584258,310327048932039.7,0.31956226659190134,0.16916272393782844,0.2944125107111678,0.3423277120945721,0.2584630712625989,77581762233010.1,0.2545742279330863,0.1297116808522517
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,4.485260009765625,4.485260009765625,0.08618513819863557,0.07808746957702888,0.008398920761148947,0.2175791989106135,0.23389636748788023,0.0583507557150686,344943246649452.06,0.28010198276035514,0.11477103178274557,0.3061405984951759,0.43011038266029367,0.4121010993137457,86235811662363.17,0.2555490506213895,0.1484054518931771
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,5.252815008163452,5.252815008163452,0.08405068819216628,0.07600199057589262,0.007780056288048542,0.24014504387765162,0.2600320969764538,0.07423228599795367,395991127422264.8,0.28184885780803887,0.10977368929512701,0.29010011115933987,0.39932126926687916,0.356637467091278,98997781855566.36,0.2543010536568161,0.13710587466810184
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,5.205297946929932,5.205297946929932,0.06913441346185664,0.0628860671386059,0.005954949568461086,0.25473157436951616,0.27667743438241144,0.08646233018096418,333000328573919.94,0.29332651196083376,0.13136214834163096,0.27744560280209923,0.38773634819811925,0.3366919595858301,83250082143480.12,0.25515659041999267,0.14011784691922152
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,4.400186061859131,4.400186061859131,0.02600586160449913,0.023993014050225303,0.0010992553256635182,0.2560977078597032,0.2770418371032142,0.08482791487089773,156454927444421.06,0.31201529169686953,0.20009715382292637,0.327905593092074,0.4633171012505263,0.47637163146540046,39113731861105.414,0.26909181102520874,0.190598988871222
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,4.972666025161743,4.972666025161743,0.18081628800008753,0.1665324500802711,0.049598761698453724,0.14082019858131212,0.15079617970940734,0.02541432664799468,253015972938073.25,0.4090347348001031,0.32815427713448864,0.23840269943134318,0.5104255129641027,0.6136461459999356,63253993234518.445,0.309197219388471,0.2542033778702182
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,6.025201320648193,6.025201320648193,0.08925736992984523,0.08240408577570985,0.01288177590392587,0.2588943560328991,0.28048511649505503,0.08872634820861813,196289158723045.34,0.38451400331803653,0.30627308478431325,0.2999612504557639,0.8730493841588124,1.7661607314401995,49072289680761.5,0.4051131474369033,0.5435104850842641
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,6.160799026489258,6.160799026489258,0.22732445269308854,0.20907224552917664,0.07449561264821855,0.1782405084395524,0.19597910611325609,0.05295548423125237,395575477017330.9,0.43893484801881216,0.32914263908347285,0.25782199993028077,0.7418793114210712,1.2662322772586725,98893869254332.88,0.3964663777705791,0.4307065033054041
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,3.989511251449585,3.989511251449585,0.05502590432970902,0.04976672764908014,0.004608448611533228,0.0975526421608684,0.10691151507935667,0.01663789547975321,204832847184044.75,0.41231359313236066,0.35544426609132573,0.31808153477369655,0.9202590701731053,1.9485690717050248,51208211796011.305,0.3723127265084756,0.5813149204719094
