Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,415.9130189418793,3.932598114013672,419.84561705589294,0.05662611946810159,0.04978269987350227,0.003393074287502639,0.10139817851915937,0.08084464210921898,0.008783291375858206,13.63910533753913,0.4471430802474874,0.26259104077162115,17.65925255245126,0.4726467409218503,0.33822966409407995,7.864095546994413,0.26260429078801484,0.15324926763226548
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,411.03354001045227,4.122513055801392,415.15605306625366,0.11389187404521225,0.09471012880373597,0.010014658108458033,0.10979503952948537,0.08760914373980669,0.008859017457319448,13.597721325684557,0.43492636696134296,0.25476624779445334,3.761578426348545,0.46073129062307494,0.2688765504550808,4.39574666640195,0.26949423253199023,0.1356291184538279
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,402.1684169769287,14.283118963241577,416.4515359401703,0.07948571212570296,0.06918535784249154,0.005668147267198713,0.07729060166101731,0.06240374869782917,0.005075223118900032,28.083775322778006,0.42891560437969334,0.23597086935400466,8.42848912125571,0.41514228626544747,0.22799459526854216,9.16726018945511,0.2439117492963654,0.1186772087521614
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,389.3702766895294,14.25426197052002,403.62453866004944,0.08569282180508041,0.07385387226292149,0.006628522383971465,0.0635128882326617,0.05247290852605643,0.003962168052987951,132.41920477210914,0.4573382480809395,0.2586818227238808,16.244932485720575,0.3762443642958798,0.20273719335276835,37.20333574196687,0.23997734829144932,0.11800242662840214
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,386.8178880214691,12.019800901412964,398.8376889228821,0.08031086879928796,0.06958710709770026,0.006208456650005746,0.04069368810149242,0.03355578035791738,0.0018259088813859044,8.7551466093844,0.433616218836177,0.24348718169212283,30.35869792302338,0.36675284083726073,0.21430585885213166,9.80871227232714,0.22587798678226384,0.11645685151891154
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,373.6493110656738,9.468127250671387,383.1174383163452,0.05468177132713574,0.04876520111576224,0.003587621285454972,0.047923247359677096,0.039878889356861104,0.002509736593098581,5.214271609948675,0.4451984576287096,0.26077997982407225,6.831206331762083,0.3809203972429541,0.213935441455757,3.0370207400993934,0.22869073633607176,0.12020319478959571
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,367.57875084877014,15.750155925750732,383.3289067745209,0.04920221886716986,0.044131104081518165,0.00297089356919577,0.03638890726388587,0.029571057979647722,0.0013232474376763787,220.6337002917904,0.4303245556973283,0.24395772606235105,4.913620341509062,0.4217154025098483,0.2350351851134379,56.408227939857625,0.23143553006708562,0.12082176304566532
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,338.58882880210876,6.4071431159973145,344.9959719181061,0.05040455728549709,0.04529391580301157,0.003264975480980364,0.053520040025067946,0.04455103110250839,0.0025852750558532076,5.205419504439004,0.4791349755989442,0.2815570142597454,3.310710430690659,0.4221910719960207,0.23284721944799253,2.155013633110057,0.24779274862512118,0.1300636210611429
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,342.702064037323,5.537447929382324,348.2395119667053,0.05419213025367178,0.048185974292420046,0.0037236675162619125,0.039830893940815945,0.03453940029717785,0.001656751116615454,71.66903949948174,0.4509837081355187,0.2629306226487489,3.23656859680316,0.3738710906102806,0.20111932188937914,18.749907780119848,0.22689504333384927,0.11735759079275132
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,338.4170207977295,3.907465934753418,342.3244867324829,0.04741939102182329,0.04265423540806239,0.0028690857268825623,0.0506905713445672,0.04288082577221178,0.0022336263462479434,2.4673317384185522,0.48741991642128546,0.31631742976428917,9.902090970539387,0.4497519700630844,0.2678093477720833,3.1168831678310833,0.255676736916161,0.1473073724023758
