Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Close_MAPE,Close_MAE,Close_MSE,Volume_MAPE,Volume_MAE,Volume_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,497,125,N/A,N/A,N/A,3.64766788482666,3.64766788482666,0.17527399142173447,0.04194976408615499,0.0027091390544115974,0.7745815939713447,0.02492616223630181,0.0010485503915164682,0.47492779269653973,0.03343796316122838,0.0018788447229640328
Fixed Cut 5.0%,473,125,24,4.82897384305835,N/A,2.8893349170684814,2.8893349170684814,0.170676349256085,0.04080256485210692,0.0025532907268673408,0.6474018654209202,0.021707296295688874,0.0009280435727602256,0.40903910733850257,0.03125493057389788,0.0017406671498137836
Fixed Cut 10.0%,448,125,49,9.859154929577464,N/A,3.2175521850585938,3.2175521850585938,0.20297070096091296,0.04821661029321452,0.0034019094852419042,0.5147583594925424,0.018813709306071607,0.0008877306434591328,0.35886453022672765,0.033515159799643056,0.002144820064350518
Fixed Cut 15.0%,423,125,74,14.88933601609658,N/A,3.54010009765625,3.54010009765625,0.2690799379648464,0.0642582700867982,0.0057579880046601615,0.6875220710506981,0.022638839984598796,0.0009488083412690039,0.47830100450777213,0.043448555035698506,0.003353398172964583
Fixed Cut 20.0%,398,125,99,19.919517102615693,N/A,2.956063985824585,2.956063985824585,0.24512714233160998,0.05867378624164467,0.004778002328558647,0.748109807337892,0.024438561741318372,0.0010589696969727498,0.4966184748347509,0.04155617399148153,0.0029184860127656983
Fixed Cut 25.0%,373,125,124,24.949698189134807,N/A,3.772352933883667,3.772352933883667,0.3008632576813882,0.07271630201979484,0.007010386436574596,1.0191582289218757,0.03179665514724876,0.0013588831008383264,0.660010743301632,0.05225647858352182,0.004184634768706463
Fixed Cut 30.0%,348,125,149,29.979879275653925,N/A,2.9507110118865967,2.9507110118865967,0.27404014550909245,0.06550096100396019,0.005965212219656681,0.6305892765360605,0.021315545961537643,0.000925399797146965,0.45231471102257625,0.043408253482748925,0.0034453060084018257
Fixed Cut 35.0%,324,125,173,34.80885311871227,N/A,2.8640167713165283,2.8640167713165283,0.13428910379573675,0.03214228849874456,0.0015442892371357484,1.0403079987309054,0.03277323725237821,0.0014203422362893319,0.5872985512633211,0.03245776287556138,0.0014823157367125396
Fixed Cut 40.0%,299,125,198,39.839034205231385,N/A,2.9958410263061523,2.9958410263061523,0.3556766285195375,0.08942812506085354,0.009167122251421838,0.2972026309283731,0.01582853125756493,0.0009633464325987085,0.32643962972395535,0.05262832815920926,0.005065234342010276
Fixed Cut 45.0%,274,125,223,44.8692152917505,N/A,3.1564860343933105,3.1564860343933105,0.3444617798071555,0.08602472434269798,0.008650607809632277,0.6690118037470645,0.02208921075823857,0.000910013280034599,0.5067367917771098,0.05405696755046829,0.004780310544833439
Fixed Cut 50.0%,249,125,248,49.899396378269614,N/A,3.436281204223633,3.436281204223633,0.3189133873617762,0.07798950475687554,0.007666452238943657,0.8434403157537854,0.026882216030906642,0.001109977732201442,0.5811768515577806,0.05243586039389109,0.004388214985572552
Fixed Cut 55.0%,224,125,273,54.929577464788736,N/A,2.8816611766815186,2.8816611766815186,0.2025554236497233,0.0487959976695455,0.0032444782004332684,0.34326936519960866,0.015638135287692204,0.0008751655436488263,0.272912394424666,0.03221706647861885,0.002059821872041046
Fixed Cut 60.0%,199,125,298,59.95975855130785,N/A,2.8232839107513428,2.8232839107513428,0.14541267192909688,0.041135681525911946,0.0025228901717590114,0.6103278342937012,0.021931998165763928,0.001061832085632249,0.3778702531113989,0.03153383984583792,0.0017923611286956307
Fixed Cut 65.0%,174,125,323,64.98993963782696,N/A,3.1041998863220215,3.1041998863220215,0.09897354545241088,0.07484697398984314,0.008007189604710467,0.5499064106842031,0.07727497860270134,0.013863694280100295,0.324439978068307,0.07606097629627223,0.010935441942405384
Fixed Cut 70.0%,150,125,347,69.81891348088531,N/A,2.7968459129333496,2.7968459129333496,0.10145990051983718,0.07429198004995498,0.007817725382889664,0.5288076809917313,0.07535077213398284,0.013514652123596945,0.3151337907557842,0.0748213760919689,0.010666188753243303
Fixed Cut 75.0%,125,125,372,74.84909456740442,N/A,2.676831007003784,2.676831007003784,0.10019923863970827,0.07522755880211529,0.007928430279758335,0.46120521723699187,0.1077413977518367,0.03204841239311003,0.2807022279383501,0.09148447827697598,0.019988421336434185
