Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 170_MAPE,Line 170_MAE,Line 170_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,384,97,N/A,N/A,N/A,16.22528076171875,16.22528076171875,0.051502117204864764,0.025694665112943025,0.0035863409573201844,0.051502117204864764,0.025694665112943025,0.0035863409573201844
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,18.234067916870117,18.234067916870117,0.055616423204903224,0.029231176790834836,0.0036181162451354543,0.055616423204903224,0.029231176790834836,0.0036181162451354543
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,17.865236043930054,17.865236043930054,0.05312029120820476,0.02656106266596308,0.0035045569550141596,0.05312029120820476,0.02656106266596308,0.0035045569550141596
Fixed Cut 15.0%,327,97,57,14.84375,N/A,15.488948106765747,15.488948106765747,0.047598456483291494,0.023723890149958744,0.0034157075643863498,0.047598456483291494,0.023723890149958744,0.0034157075643863498
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,11.874266147613525,11.874266147613525,0.05040629115403098,0.024124268308224804,0.003769269185567378,0.05040629115403098,0.024124268308224804,0.003769269185567378
Fixed Cut 25.0%,288,97,96,25.0,N/A,14.064018964767456,14.064018964767456,0.05388829665320316,0.02843494705884392,0.0037481215041614553,0.05388829665320316,0.02843494705884392,0.0037481215041614553
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,19.65612006187439,19.65612006187439,0.050589406390215516,0.024795161495948653,0.003588577269938071,0.050589406390215516,0.024795161495948653,0.003588577269938071
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,19.13283681869507,19.13283681869507,0.05024529434633868,0.02553681590776333,0.00359778825139324,0.05024529434633868,0.02553681590776333,0.00359778825139324
Fixed Cut 40.0%,231,97,153,39.84375,N/A,15.223605155944824,15.223605155944824,0.05305683686783505,0.02872443643337922,0.003748087749966499,0.05305683686783505,0.02872443643337922,0.003748087749966499
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,11.748756885528564,11.748756885528564,0.05433996457332287,0.02959112836711708,0.0036084036310739345,0.05433996457332287,0.02959112836711708,0.0036084036310739345
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,11.351551055908203,11.351551055908203,0.061828588863853576,0.034214094635170535,0.004098655661901659,0.061828588863853576,0.034214094635170535,0.004098655661901659
Fixed Cut 55.0%,173,97,211,54.947916666666664,N/A,12.625985860824585,12.625985860824585,0.05264564788728291,0.025995591865188766,0.003833671501191074,0.05264564788728291,0.025995591865188766,0.003833671501191074
Fixed Cut 60.0%,154,97,230,59.895833333333336,N/A,8.69305682182312,8.69305682182312,0.06951904533279638,0.03250477137579315,0.004444451227390976,0.06951904533279638,0.03250477137579315,0.004444451227390976
Fixed Cut 65.0%,135,97,249,64.84375,N/A,2.846118927001953,2.846118927001953,0.20910778255590812,0.08422858412466742,0.0209600860480896,0.20910778255590812,0.08422858412466742,0.0209600860480896
Fixed Cut 70.0%,116,97,268,69.79166666666666,N/A,2.5321967601776123,2.5321967601776123,0.22712134884930915,0.10493005310895342,0.021426577897689744,0.22712134884930915,0.10493005310895342,0.021426577897689744
Fixed Cut 75.0%,96,97,288,75.0,N/A,2.481876850128174,2.481876850128174,0.16302165961398976,0.05896435801042329,0.019363234541620155,0.16302165961398976,0.05896435801042329,0.019363234541620155
Fixed Cut 80.0%,77,97,307,79.94791666666666,N/A,2.5179808139801025,2.5179808139801025,0.14961990677425788,0.05546175650682653,0.016374021083973518,0.14961990677425788,0.05546175650682653,0.016374021083973518
