Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Population_MAPE,Population_MAE,Population_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,652,164,N/A,N/A,N/A,4.864477872848511,4.864477872848511,0.00029668931829622883,0.0003128527769845673,1.62495536904719e-07,0.00029668931829622883,0.0003128527769845673,1.62495536904719e-07
Fixed Cut 5.0%,620,164,32,4.9079754601226995,N/A,5.468012094497681,5.468012094497681,0.0026487070426489583,0.0028309013229376075,8.991565946306208e-06,0.0026487070426489583,0.0028309013229376075,8.991565946306208e-06
Fixed Cut 10.0%,587,164,65,9.969325153374232,N/A,6.672856092453003,6.672856092453003,0.002203357205980036,0.0023443193747848343,5.759512281595922e-06,0.002203357205980036,0.0023443193747848343,5.759512281595922e-06
Fixed Cut 15.0%,555,164,97,14.877300613496933,N/A,7.467058181762695,7.467058181762695,0.0014140063381427746,0.001513833853003034,2.765084271619178e-06,0.0014140063381427746,0.001513833853003034,2.765084271619178e-06
Fixed Cut 20.0%,522,164,130,19.938650306748464,N/A,6.766953945159912,6.766953945159912,0.002955777375520587,0.003156453581285792,1.0984801408804563e-05,0.002955777375520587,0.003156453581285792,1.0984801408804563e-05
Fixed Cut 25.0%,489,164,163,25.0,N/A,7.373461008071899,7.373461008071899,0.0003138615298287376,0.0003323632621039462,1.712939046654807e-07,0.0003138615298287376,0.0003323632621039462,1.712939046654807e-07
Fixed Cut 30.0%,457,164,195,29.9079754601227,N/A,6.1074378490448,6.1074378490448,0.0010745200702040722,0.0011423229967062521,1.4356286372077836e-06,0.0010745200702040722,0.0011423229967062521,1.4356286372077836e-06
Fixed Cut 35.0%,424,164,228,34.96932515337423,N/A,7.881896257400513,7.881896257400513,0.0012541022487152216,0.0013437983180569493,2.2675318822042066e-06,0.0012541022487152216,0.0013437983180569493,2.2675318822042066e-06
Fixed Cut 40.0%,392,164,260,39.87730061349693,N/A,6.2307679653167725,6.2307679653167725,0.0007979274210585351,0.0008547354820214988,9.44774880783439e-07,0.0007979274210585351,0.0008547354820214988,9.44774880783439e-07
Fixed Cut 45.0%,359,164,293,44.93865030674847,N/A,7.359449148178101,7.359449148178101,0.0013500406745313087,0.0014393682488319862,2.276829086785598e-06,0.0013500406745313087,0.0014393682488319862,2.276829086785598e-06
Fixed Cut 50.0%,327,164,325,49.84662576687116,N/A,6.338095188140869,6.338095188140869,0.0002021007505007599,0.00021308509948628614,7.057113906487541e-08,0.0002021007505007599,0.00021308509948628614,7.057113906487541e-08
Fixed Cut 55.0%,294,164,358,54.90797546012271,N/A,2.958583116531372,2.958583116531372,0.015893997393222108,0.017128352640671377,0.00043542675563763356,0.015893997393222108,0.017128352640671377,0.00043542675563763356
Fixed Cut 60.0%,261,164,391,59.96932515337423,N/A,3.4577670097351074,3.4577670097351074,0.05785228258405429,0.061599906483186743,0.003943151505380256,0.05785228258405429,0.061599906483186743,0.003943151505380256
Fixed Cut 65.0%,229,164,423,64.87730061349694,N/A,3.084667921066284,3.084667921066284,0.022822207824125335,0.024361228128060887,0.0006430590385400548,0.022822207824125335,0.024361228128060887,0.0006430590385400548
Fixed Cut 70.0%,196,164,456,69.93865030674846,N/A,5.990354061126709,5.990354061126709,0.026616853919271773,0.028356964441534533,0.0008425393667218849,0.026616853919271773,0.028356964441534533,0.0008425393667218849
Fixed Cut 75.0%,163,164,489,75.0,N/A,2.8799281120300293,2.8799281120300293,0.008119549108485249,0.008736466991446012,0.00011323178554561905,0.008119549108485249,0.008736466991446012,0.00011323178554561905
Fixed Cut 80.0%,131,164,521,79.9079754601227,N/A,2.8332290649414062,2.8332290649414062,0.026724688022134027,0.028543697441372615,0.0008932768348707668,0.026724688022134027,0.028543697441372615,0.0008932768348707668
Fixed Cut 85.0%,98,164,554,84.96932515337423,N/A,2.895458221435547,2.895458221435547,0.022387906171138776,0.023942019929464927,0.0006461190476624845,0.022387906171138776,0.023942019929464927,0.0006461190476624845
Fixed Cut 90.0%,66,164,586,89.87730061349694,N/A,3.39774489402771,3.39774489402771,0.028934438542944585,0.031023279517232705,0.0011578603215154093,0.028934438542944585,0.031023279517232705,0.0011578603215154093
Window L1,167,164,485,74.38650306748467,0.019064903259277344,2.5521399974823,2.571204900741577,0.02114190375177218,0.0226549103965316,0.0006079061328250326,0.02114190375177218,0.0226549103965316,0.0006079061328250326
Window L2,152,164,500,76.68711656441718,0.012221097946166992,2.979783296585083,2.99200439453125,0.01749766185527073,0.01886798743701806,0.0005173058202705571,0.01749766185527073,0.01886798743701806,0.0005173058202705571
Window Normal,427,164,225,34.50920245398773,0.01940608024597168,6.992228031158447,7.011634111404419,0.001855883733871771,0.0019810036285017587,4.3456342723442335e-06,0.001855883733871771,0.0019810036285017587,4.3456342723442335e-06
Window RBF,157,164,495,75.920245398773,0.019526243209838867,3.184678077697754,3.2042043209075928,0.028202350375714332,0.0301317830958075,0.001002269842682305,0.028202350375714332,0.0301317830958075,0.001002269842682305
Window Cosine,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,427,164,225,34.50920245398773,0.011904001235961914,6.875847101211548,6.88775110244751,0.0012786233137012245,0.0013653035931635695,2.1175498997368445e-06,0.0012786233137012245,0.0013653035931635695,2.1175498997368445e-06
Window Clinear,197,164,455,69.78527607361963,0.010857820510864258,3.4688029289245605,3.479660749435425,0.03248669829655224,0.03461441836302874,0.001257513499717505,0.03248669829655224,0.03461441836302874,0.001257513499717505
Window Rank,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Mahalanobis,152,164,500,76.68711656441718,0.010959148406982422,2.7244620323181152,2.7354211807250977,0.03834815268777317,0.04088203240874893,0.0017695286470577856,0.03834815268777317,0.04088203240874893,0.0017695286470577856
Window AR,172,164,480,73.61963190184049,0.017337799072265625,2.9260358810424805,2.943373680114746,0.030824930364762828,0.0328546546271543,0.0011388606659590748,0.030824930364762828,0.0328546546271543,0.0011388606659590748
Window Mean,186,164,466,71.47239263803681,0.1212770938873291,3.72697377204895,3.8482508659362793,0.030062513107771388,0.03204789892646585,0.0010868874529520994,0.030062513107771388,0.03204789892646585,0.0010868874529520994
Window Median,162,164,490,75.15337423312883,0.1212770938873291,2.4532952308654785,2.5745723247528076,0.03556019512995255,0.03795825601906201,0.0015611353697100225,0.03556019512995255,0.03795825601906201,0.0015611353697100225
Binary Segmentation L1,307,164,345,52.91411042944786,0.02747178077697754,6.684223890304565,6.711695671081543,0.0005031766700764077,0.0005357532242026392,3.7671589519514325e-07,0.0005031766700764077,0.0005357532242026392,3.7671589519514325e-07
Binary Segmentation L2,312,164,340,52.14723926380368,0.014384031295776367,2.4512581825256348,2.465642213821411,0.033922823240006506,0.036231210677400226,0.0014387080556027246,0.033922823240006506,0.036231210677400226,0.0014387080556027246
Binary Segmentation Normal,317,164,335,51.380368098159515,0.026350021362304688,2.5188698768615723,2.545219898223877,0.05699207260064133,0.06064834490466696,0.0037927011756859765,0.05699207260064133,0.06064834490466696,0.0037927011756859765
Binary Segmentation RBF,317,164,335,51.380368098159515,0.04345583915710449,6.688967943191528,6.732423782348633,0.002231305398303323,0.0023869697251246874,6.541537532672799e-06,0.002231305398303323,0.0023869697251246874,6.541537532672799e-06
Binary Segmentation Cosine,12,164,640,98.15950920245399,0.06342196464538574,2.5363330841064453,2.599755048751831,0.024159991557233453,0.025848030305125624,0.0007605452914016472,0.024159991557233453,0.025848030305125624,0.0007605452914016472
Binary Segmentation Linear,217,164,435,66.71779141104295,0.015252113342285156,3.9896106719970703,4.0048627853393555,0.03397602540442197,0.036207291751064026,0.0013794987338102463,0.03397602540442197,0.036207291751064026,0.0013794987338102463
Binary Segmentation Clinear,152,164,500,76.68711656441718,0.011202096939086914,2.976145029067993,2.98734712600708,0.05149511892366268,0.05491685072091401,0.003212120648138359,0.05149511892366268,0.05491685072091401,0.003212120648138359
