Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Population_MAPE,Population_MAE,Population_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,652,164,N/A,N/A,N/A,6.464781045913696,6.464781045913696,0.000958658649329174,0.001025298159344178,1.2902825774154014e-06,0.000958658649329174,0.001025298159344178,1.2902825774154014e-06
Fixed Cut 5.0%,620,164,32,4.9079754601226995,N/A,8.297095775604248,8.297095775604248,0.0004247503435884736,0.000446719716408523,3.117952224431019e-07,0.0004247503435884736,0.000446719716408523,3.117952224431019e-07
Fixed Cut 10.0%,587,164,65,9.969325153374232,N/A,7.666531085968018,7.666531085968018,0.0033921001905987784,0.003621937003777753,1.442039241069987e-05,0.0033921001905987784,0.003621937003777753,1.442039241069987e-05
Fixed Cut 15.0%,555,164,97,14.877300613496933,N/A,6.61954402923584,6.61954402923584,0.0005286462036783255,0.0005613460591436621,4.1251529157714465e-07,0.0005286462036783255,0.0005613460591436621,4.1251529157714465e-07
Fixed Cut 20.0%,522,164,130,19.938650306748464,N/A,5.852128982543945,5.852128982543945,0.0012908152278856989,0.001383545124936661,2.4142859519548487e-06,0.0012908152278856989,0.001383545124936661,2.4142859519548487e-06
Fixed Cut 25.0%,489,164,163,25.0,N/A,6.567976236343384,6.567976236343384,0.0005112286557210417,0.0005429778039497691,3.7516275446282745e-07,0.0005112286557210417,0.0005429778039497691,3.7516275446282745e-07
Fixed Cut 30.0%,457,164,195,29.9079754601227,N/A,6.759909152984619,6.759909152984619,0.0013268454836581963,0.0014120063000533113,2.146564769255527e-06,0.0013268454836581963,0.0014120063000533113,2.146564769255527e-06
Fixed Cut 35.0%,424,164,228,34.96932515337423,N/A,9.248348236083984,9.248348236083984,0.0030867007327316565,0.0033075206043504724,1.3132067765930927e-05,0.0030867007327316565,0.0033075206043504724,1.3132067765930927e-05
Fixed Cut 40.0%,392,164,260,39.87730061349693,N/A,5.951390981674194,5.951390981674194,0.0005774351503571966,0.0006155615289606415,4.776046630676877e-07,0.0005774351503571966,0.0006155615289606415,4.776046630676877e-07
Fixed Cut 45.0%,359,164,293,44.93865030674847,N/A,7.600067138671875,7.600067138671875,0.0012967020524988107,0.0013873983515628684,2.2883925392676964e-06,0.0012967020524988107,0.0013873983515628684,2.2883925392676964e-06
Fixed Cut 50.0%,327,164,325,49.84662576687116,N/A,2.884202718734741,2.884202718734741,0.04299745182246838,0.04574489367758819,0.002151420095770475,0.04299745182246838,0.04574489367758819,0.002151420095770475
Fixed Cut 55.0%,294,164,358,54.90797546012271,N/A,9.510311841964722,9.510311841964722,0.001368028564689238,0.0014688663265769906,2.8328054207547106e-06,0.001368028564689238,0.0014688663265769906,2.8328054207547106e-06
Fixed Cut 60.0%,261,164,391,59.96932515337423,N/A,3.9219448566436768,3.9219448566436768,0.045879778673297976,0.0488366287429512,0.002468037732411922,0.045879778673297976,0.0488366287429512,0.002468037732411922
Fixed Cut 65.0%,229,164,423,64.87730061349694,N/A,2.752122163772583,2.752122163772583,0.026932889475399055,0.02871443133968124,0.0008739947055100029,0.026932889475399055,0.02871443133968124,0.0008739947055100029
Fixed Cut 70.0%,196,164,456,69.93865030674846,N/A,3.3102688789367676,3.3102688789367676,0.04858477327897224,0.051755135626463084,0.002801505584698546,0.04858477327897224,0.051755135626463084,0.002801505584698546
Fixed Cut 75.0%,163,164,489,75.0,N/A,2.362154006958008,2.362154006958008,0.030041016731446848,0.03202933075085235,0.0010880780063571825,0.030041016731446848,0.03202933075085235,0.0010880780063571825
Fixed Cut 80.0%,131,164,521,79.9079754601227,N/A,2.6382081508636475,2.6382081508636475,0.01184998158447116,0.01275965150451733,0.0002428677425084844,0.01184998158447116,0.01275965150451733,0.0002428677425084844
Fixed Cut 85.0%,98,164,554,84.96932515337423,N/A,2.2981302738189697,2.2981302738189697,0.019657639446443175,0.02106647926294547,0.0005270048196079982,0.019657639446443175,0.02106647926294547,0.0005270048196079982
Fixed Cut 90.0%,66,164,586,89.87730061349694,N/A,2.4795169830322266,2.4795169830322266,0.013550510726877258,0.01458510246254512,0.0002871512601178614,0.013550510726877258,0.01458510246254512,0.0002871512601178614
Window L1,167,164,485,74.38650306748467,0.017045021057128906,3.6241791248321533,3.6412241458892822,0.022081016722998687,0.02353887461316481,0.00058619739200113,0.022081016722998687,0.02353887461316481,0.00058619739200113
Window L2,152,164,500,76.68711656441718,0.009507894515991211,2.858792304992676,2.868300199508667,0.04237024323192699,0.0451860720389099,0.0021750462496783664,0.04237024323192699,0.0451860720389099,0.0021750462496783664
Window Normal,427,164,225,34.50920245398773,0.016772031784057617,6.004562854766846,6.021334886550903,0.0007419972754712269,0.0007953783673632645,8.384472554212447e-07,0.0007419972754712269,0.0007953783673632645,8.384472554212447e-07
Window RBF,157,164,495,75.920245398773,0.01588296890258789,3.611356258392334,3.627239227294922,0.0327050395280618,0.03487269288178889,0.0012917483466668093,0.0327050395280618,0.03487269288178889,0.0012917483466668093
Window Cosine,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,427,164,225,34.50920245398773,0.011281251907348633,5.631349802017212,5.6426310539245605,0.0014379888718439769,0.0015389421738745942,2.7850655130131277e-06,0.0014379888718439769,0.0015389421738745942,2.7850655130131277e-06
Window Clinear,197,164,455,69.78527607361963,0.007812976837158203,3.169685125350952,3.1774981021881104,0.03353761640495583,0.03574651178044545,0.0013484726304340588,0.03353761640495583,0.03574651178044545,0.0013484726304340588
Window Rank,0,164,652,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Mahalanobis,152,164,500,76.68711656441718,0.008188009262084961,3.013918876647949,3.022106885910034,0.038851469982653854,0.04143173036065498,0.0018273201640520871,0.038851469982653854,0.04143173036065498,0.0018273201640520871
Window AR,172,164,480,73.61963190184049,0.02844524383544922,2.725799798965454,2.7542450428009033,0.027486263812079057,0.029305239412348454,0.0009107636582049604,0.027486263812079057,0.029305239412348454,0.0009107636582049604
Window Mean,186,164,466,71.47239263803681,0.11493539810180664,3.3080098628997803,3.422945261001587,0.05038413344611333,0.05366752218052507,0.0030087063260565983,0.05038413344611333,0.05366752218052507,0.0030087063260565983
Window Median,162,164,490,75.15337423312883,0.11493539810180664,2.3478121757507324,2.462747573852539,0.03527245077948995,0.03764719190634407,0.001532523810769477,0.03527245077948995,0.03764719190634407,0.001532523810769477
Binary Segmentation L1,307,164,345,52.91411042944786,0.02589893341064453,6.7778990268707275,6.803797960281372,0.0004715331319528391,0.0005054370732981842,3.6339596388720476e-07,0.0004715331319528391,0.0005054370732981842,3.6339596388720476e-07
Binary Segmentation L2,312,164,340,52.14723926380368,0.015839338302612305,6.915191173553467,6.931030511856079,0.000400455566527024,0.0004288101182407215,2.636343165917787e-07,0.000400455566527024,0.0004288101182407215,2.636343165917787e-07
Binary Segmentation Normal,317,164,335,51.380368098159515,0.026289939880371094,6.934843301773071,6.961133241653442,0.0011663665160339396,0.001246365412698138,1.8261942154773e-06,0.0011663665160339396,0.001246365412698138,1.8261942154773e-06
Binary Segmentation RBF,317,164,335,51.380368098159515,0.044558048248291016,7.1615190505981445,7.2060770988464355,0.0011522180177203618,0.0012301735796305538,1.741408490656279e-06,0.0011522180177203618,0.0012301735796305538,1.741408490656279e-06
Binary Segmentation Cosine,12,164,640,98.15950920245399,0.04953598976135254,2.8407399654388428,2.8902759552001953,0.013344709817701486,0.014388146701027678,0.0002987708168253387,0.013344709817701486,0.014388146701027678,0.0002987708168253387
Binary Segmentation Linear,217,164,435,66.71779141104295,0.013046026229858398,3.035754919052124,3.0488009452819824,0.05230206585506481,0.05572464247940879,0.003256290408862982,0.05230206585506481,0.05572464247940879,0.003256290408862982
Binary Segmentation Clinear,152,164,500,76.68711656441718,0.011209964752197266,2.3382720947265625,2.3494820594787598,0.029212953185177696,0.031188373753132805,0.0010575799773264625,0.029212953185177696,0.031188373753132805,0.0010575799773264625
Binary Segmentation Rank,327,164,325,49.84662576687116,0.013116121292114258,6.537295818328857,6.550411939620972,0.00022180499655373364,0.00023396197298170668,8.528805047892802e-08,0.00022180499655373364,0.00023396197298170668,8.528805047892802e-08
Binary Segmentation Mahalanobis,312,164,340,52.14723926380368,0.04760289192199707,7.110284090042114,7.157886981964111,0.002041579595244838,0.0021887239581351186,5.891270581155106e-06,0.002041579595244838,0.0021887239581351186,5.891270581155106e-06
Binary Segmentation AR,637,164,15,2.3006134969325154,0.029570817947387695,5.4045469760894775,5.434117794036865,0.00036816758247125366,0.00038774593523155485,2.4124539210723186e-07,0.00036816758247125366,0.00038774593523155485,2.4124539210723186e-07
Binary Segmentation Mean,291,164,361,55.3680981595092,0.27666807174682617,3.5659968852996826,3.842664957046509,0.06519197273938034,0.06939755125933057,0.004987480022765401,0.06519197273938034,0.06939755125933057,0.004987480022765401
Binary Segmentation Median,312,164,340,52.14723926380368,0.27666807174682617,4.358953952789307,4.635622024536133,0.029838353957322403,0.03176065996717163,0.0010435932415928171,0.029838353957322403,0.03176065996717163,0.0010435932415928171
Bottom Up L1,247,164,405,62.11656441717791,0.02110123634338379,2.828598976135254,2.8497002124786377,0.04952718584919271,0.05274158110807323,0.002895337607905636,0.04952718584919271,0.05274158110807323,0.002895337607905636
Bottom Up L2,297,164,355,54.44785276073619,0.013447046279907227,2.8210768699645996,2.834523916244507,0.030697671858075436,0.03276623626187016,0.0011622030541678212,0.030697671858075436,0.03276623626187016,0.0011622030541678212
Bottom Up Normal,237,164,415,63.65030674846626,0.015911102294921875,2.6376330852508545,2.6535441875457764,0.03853431434420498,0.04103643615297878,0.0017535096912560109,0.03853431434420498,0.04103643615297878,0.0017535096912560109
