Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Exchange rate_MAPE,Exchange rate_MAE,Exchange rate_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,197,50,N/A,N/A,N/A,3.0138566493988037,3.0138566493988037,0.04243960390921462,0.022867885925402665,0.0007558407256666722,0.04243960390921462,0.022867885925402665,0.0007558407256666722
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,2.568143129348755,2.568143129348755,0.05961464910506391,0.032976788413923326,0.001608675243221304,0.05961464910506391,0.032976788413923326,0.001608675243221304
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,2.219219207763672,2.219219207763672,0.043910471804563526,0.023052407254745506,0.0007586556938700054,0.043910471804563526,0.023052407254745506,0.0007586556938700054
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,4.115043878555298,4.115043878555298,0.04511186471839559,0.024410251913583526,0.0008783886464827233,0.04511186471839559,0.024410251913583526,0.0008783886464827233
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,2.5518879890441895,2.5518879890441895,0.037341114002824735,0.019602678126274867,0.0006663242812415468,0.037341114002824735,0.019602678126274867,0.0006663242812415468
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,4.363709926605225,4.363709926605225,0.040812032506065486,0.021909859776850546,0.0006990701030034184,0.040812032506065486,0.021909859776850546,0.0006990701030034184
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,2.919951915740967,2.919951915740967,0.03567895584436893,0.018626723033518932,0.0005622671768728892,0.03567895584436893,0.018626723033518932,0.0005622671768728892
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,4.139234781265259,4.139234781265259,0.03674174411627134,0.01970486792810725,0.0005790793904170596,0.03674174411627134,0.01970486792810725,0.0005790793904170596
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,3.1464438438415527,3.1464438438415527,0.047873381636067754,0.026354385220400352,0.0010137720191666518,0.047873381636067754,0.026354385220400352,0.0010137720191666518
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,5.174638032913208,5.174638032913208,0.04109230172133358,0.022429009444999093,0.0007434709648865754,0.04109230172133358,0.022429009444999093,0.0007434709648865754
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,3.257513999938965,3.257513999938965,0.05153397788380072,0.028669525404564567,0.001225304344610494,0.05153397788380072,0.028669525404564567,0.001225304344610494
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,2.8620059490203857,2.8620059490203857,0.05385594610715734,0.03181403192894532,0.0015026846315312674,0.05385594610715734,0.03181403192894532,0.0015026846315312674
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,4.077463865280151,4.077463865280151,0.06603660674331074,0.06770531400481473,0.0064214633410433946,0.06603660674331074,0.06770531400481473,0.0064214633410433946
