Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,USD/Bitcoin_MAPE,USD/Bitcoin_MAE,USD/Bitcoin_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,619,155,N/A,N/A,N/A,11.618940830230713,11.618940830230713,0.05516685335780129,0.01768509364471066,0.0005811920297729967,0.05516685335780129,0.01768509364471066,0.0005811920297729967
Fixed Cut 5.0%,589,155,30,4.846526655896607,N/A,24.904284954071045,24.904284954071045,0.041970160915631126,0.01326154914807934,0.00036686203680341933,0.041970160915631126,0.01326154914807934,0.00036686203680341933
Fixed Cut 10.0%,558,155,61,9.8546042003231,N/A,16.53841471672058,16.53841471672058,0.050892931599586945,0.015982513666921928,0.00045592696855830306,0.050892931599586945,0.015982513666921928,0.00045592696855830306
Fixed Cut 15.0%,527,155,92,14.862681744749596,N/A,13.686855792999268,13.686855792999268,0.049061977223001325,0.015606979241393771,0.0004966443062125545,0.049061977223001325,0.015606979241393771,0.0004966443062125545
Fixed Cut 20.0%,496,155,123,19.87075928917609,N/A,4.553060054779053,4.553060054779053,0.12120822414268029,0.0362689178107799,0.002113953298239228,0.12120822414268029,0.0362689178107799,0.002113953298239228
Fixed Cut 25.0%,465,155,154,24.878836833602584,N/A,6.051542043685913,6.051542043685913,0.19812824370527402,0.06058419610651867,0.005585158715300091,0.19812824370527402,0.06058419610651867,0.005585158715300091
Fixed Cut 30.0%,434,155,185,29.88691437802908,N/A,5.295426845550537,5.295426845550537,0.09829766831782752,0.03054604652871219,0.0016022087529616272,0.09829766831782752,0.03054604652871219,0.0016022087529616272
Fixed Cut 35.0%,403,155,216,34.894991922455574,N/A,7.459414005279541,7.459414005279541,0.08349880364438049,0.02548298066962059,0.001085896171006709,0.08349880364438049,0.02548298066962059,0.001085896171006709
Fixed Cut 40.0%,372,155,247,39.903069466882066,N/A,8.246166229248047,8.246166229248047,0.10314879899450911,0.03067039181839618,0.0014762497160292177,0.10314879899450911,0.03067039181839618,0.0014762497160292177
Fixed Cut 45.0%,341,155,278,44.91114701130856,N/A,4.192595958709717,4.192595958709717,0.20019022624258334,0.06247232584426741,0.006230553138518616,0.20019022624258334,0.06247232584426741,0.006230553138518616
Fixed Cut 50.0%,310,155,309,49.919224555735056,N/A,8.67950701713562,8.67950701713562,0.07536025463264313,0.023750603985507306,0.0010232119919311733,0.07536025463264313,0.023750603985507306,0.0010232119919311733
Fixed Cut 55.0%,279,155,340,54.92730210016155,N/A,5.514296054840088,5.514296054840088,0.09442244289053052,0.028894508174992513,0.0013998174346066226,0.09442244289053052,0.028894508174992513,0.0013998174346066226
Fixed Cut 60.0%,248,155,371,59.935379644588046,N/A,7.405671119689941,7.405671119689941,0.09970586316691568,0.028980422761781678,0.0012637913185448851,0.09970586316691568,0.028980422761781678,0.0012637913185448851
Fixed Cut 65.0%,217,155,402,64.94345718901454,N/A,2.727504253387451,2.727504253387451,0.10693566770419308,0.03360140815197212,0.0018362286215265796,0.10693566770419308,0.03360140815197212,0.0018362286215265796
Fixed Cut 70.0%,186,155,433,69.95153473344104,N/A,2.7745559215545654,2.7745559215545654,0.08202635447694574,0.02628122742425968,0.001305560181300109,0.08202635447694574,0.02628122742425968,0.001305560181300109
Fixed Cut 75.0%,155,155,464,74.95961227786752,N/A,2.8007140159606934,2.8007140159606934,0.09928968136259847,0.029166164800293083,0.0014450959535707308,0.09928968136259847,0.029166164800293083,0.0014450959535707308
Fixed Cut 80.0%,124,155,495,79.96768982229402,N/A,2.7925379276275635,2.7925379276275635,0.23630742290888787,0.059434048549846595,0.004526623389310105,0.23630742290888787,0.059434048549846595,0.004526623389310105
Fixed Cut 85.0%,93,155,526,84.97576736672052,N/A,2.2046430110931396,2.2046430110931396,0.2291837425957639,0.05747200460500115,0.0042726425997366415,0.2291837425957639,0.05747200460500115,0.0042726425997366415
Fixed Cut 90.0%,62,155,557,89.98384491114702,N/A,2.19987416267395,2.19987416267395,0.4180195600091653,0.10520935985393355,0.013584524282661818,0.4180195600091653,0.10520935985393355,0.013584524282661818
Window L1,54,155,565,91.2762520193861,0.01647019386291504,2.489447832107544,2.505918025970459,0.3714939530692435,0.09469891078274531,0.010864470425621414,0.3714939530692435,0.09469891078274531,0.010864470425621414
Window L2,54,155,565,91.2762520193861,0.008938312530517578,2.775876045227051,2.7848143577575684,0.32376561363136575,0.0814163256289063,0.008305250319153903,0.32376561363136575,0.0814163256289063,0.008305250319153903
Window Normal,539,155,80,12.924071082390952,0.018098831176757812,11.699816942214966,11.717915773391724,0.057146079124997126,0.01815733978144912,0.0005793415772263576,0.057146079124997126,0.01815733978144912,0.0005793415772263576
