Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Exchange rate_MAPE,Exchange rate_MAE,Exchange rate_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,197,50,N/A,N/A,N/A,3.6775128841400146,3.6775128841400146,0.042153912007900265,0.022765801188911305,0.0007571626419075553,0.042153912007900265,0.022765801188911305,0.0007571626419075553
Fixed Cut 5.0%,188,50,9,4.568527918781726,N/A,3.037385940551758,3.037385940551758,0.04216904075471957,0.02271300117672202,0.000747816484611577,0.04216904075471957,0.02271300117672202,0.000747816484611577
Fixed Cut 10.0%,178,50,19,9.644670050761421,N/A,2.898308038711548,2.898308038711548,0.03612613687429981,0.019230307174635305,0.0005702442998248704,0.03612613687429981,0.019230307174635305,0.0005702442998248704
Fixed Cut 15.0%,168,50,29,14.720812182741117,N/A,3.4299471378326416,3.4299471378326416,0.040922435549954075,0.021913770457772194,0.0007002224375341962,0.040922435549954075,0.021913770457772194,0.0007002224375341962
Fixed Cut 20.0%,158,50,39,19.796954314720814,N/A,4.484924793243408,4.484924793243408,0.03781486215480006,0.020274893281425344,0.0006108639448860309,0.03781486215480006,0.020274893281425344,0.0006108639448860309
Fixed Cut 25.0%,148,50,49,24.873096446700508,N/A,3.284034013748169,3.284034013748169,0.042407119424618035,0.022720078881750462,0.000744128970499081,0.042407119424618035,0.022720078881750462,0.000744128970499081
Fixed Cut 30.0%,138,50,59,29.949238578680205,N/A,4.422545909881592,4.422545909881592,0.041622864126001656,0.02228367169271394,0.0007224805827068248,0.041622864126001656,0.02228367169271394,0.0007224805827068248
Fixed Cut 35.0%,129,50,68,34.51776649746193,N/A,3.043842077255249,3.043842077255249,0.037912390861446515,0.020344648042744173,0.0006116976545385674,0.037912390861446515,0.020344648042744173,0.0006116976545385674
Fixed Cut 40.0%,119,50,78,39.59390862944163,N/A,2.43481707572937,2.43481707572937,0.04555449027665613,0.025292465540121167,0.0009644286960487407,0.04555449027665613,0.025292465540121167,0.0009644286960487407
Fixed Cut 45.0%,109,50,88,44.67005076142132,N/A,3.8848090171813965,3.8848090171813965,0.042391009696651445,0.023181333726735955,0.000797311100912676,0.042391009696651445,0.023181333726735955,0.000797311100912676
Fixed Cut 50.0%,99,50,98,49.746192893401016,N/A,4.365381956100464,4.365381956100464,0.04513284064917873,0.024934898662268126,0.0009281010012241973,0.04513284064917873,0.024934898662268126,0.0009281010012241973
Fixed Cut 55.0%,89,50,108,54.82233502538071,N/A,2.409066915512085,2.409066915512085,0.04894702710724792,0.028899951160102265,0.001255760734273634,0.04894702710724792,0.028899951160102265,0.001255760734273634
Fixed Cut 60.0%,79,50,118,59.89847715736041,N/A,2.865933895111084,2.865933895111084,0.06822756823451838,0.06970254366963946,0.006611106445714835,0.06822756823451838,0.06970254366963946,0.006611106445714835
Fixed Cut 65.0%,69,50,128,64.9746192893401,N/A,2.400611162185669,2.400611162185669,0.059873483653287665,0.06138105629789303,0.00542461431979184,0.059873483653287665,0.06138105629789303,0.00542461431979184
Fixed Cut 70.0%,60,50,137,69.54314720812182,N/A,3.2081027030944824,3.2081027030944824,0.06607736872880275,0.06749876224034004,0.006263378586962681,0.06607736872880275,0.06749876224034004,0.006263378586962681
Fixed Cut 75.0%,50,50,147,74.61928934010153,N/A,2.66261887550354,2.66261887550354,0.061106563516938786,0.06296924659828884,0.005652873353731737,0.061106563516938786,0.06296924659828884,0.005652873353731737
Fixed Cut 80.0%,40,50,157,79.69543147208121,N/A,2.473430871963501,2.473430871963501,0.09329666208792715,0.0952198856306509,0.011349657837006312,0.09329666208792715,0.0952198856306509,0.011349657837006312
Fixed Cut 85.0%,30,50,167,84.77157360406092,N/A,2.591095209121704,2.591095209121704,0.06909774556945157,0.07086477777065851,0.006723931881118538,0.06909774556945157,0.07086477777065851,0.006723931881118538
Fixed Cut 90.0%,20,50,177,89.84771573604061,N/A,2.904121160507202,2.904121160507202,0.11499601107266963,0.1164438339404092,0.01569733538879978,0.11499601107266963,0.1164438339404092,0.01569733538879978
Window L1,82,50,115,58.37563451776649,0.0035278797149658203,2.1538000106811523,2.157327890396118,0.05927179459110906,0.04430253252024567,0.0027826755912580617,0.05927179459110906,0.04430253252024567,0.0027826755912580617
Window L2,82,50,115,58.37563451776649,0.0019299983978271484,2.000231981277466,2.002161979675293,0.0504215031558288,0.03754750320576491,0.0020706500253027953,0.0504215031558288,0.03754750320576491,0.0020706500253027953
Window Normal,82,50,115,58.37563451776649,0.0033600330352783203,2.127370834350586,2.1307308673858643,0.05484104720529378,0.041062407661853866,0.0024892543674334194,0.05484104720529378,0.041062407661853866,0.0024892543674334194
Window RBF,82,50,115,58.37563451776649,0.002248048782348633,2.352858781814575,2.355106830596924,0.05367828431969448,0.04031867060742825,0.002430391975572915,0.05367828431969448,0.04031867060742825,0.002430391975572915
Window Cosine,0,50,197,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,132,50,65,32.99492385786802,0.001669168472290039,4.5781569480896,4.57982611656189,0.040382374598722716,0.02172576711810181,0.0006930744757966276,0.040382374598722716,0.02172576711810181,0.0006930744757966276
Window Clinear,112,50,85,43.14720812182741,0.0017099380493164062,2.6049418449401855,2.606651782989502,0.043055360102577545,0.023588629598007907,0.0008246634441417782,0.043055360102577545,0.023588629598007907,0.0008246634441417782
Window Rank,82,50,115,58.37563451776649,0.002443075180053711,2.467297077178955,2.469740152359009,0.05018584402260087,0.03758856856738138,0.002108648509039257,0.05018584402260087,0.03758856856738138,0.002108648509039257
Window Mahalanobis,82,50,115,58.37563451776649,0.00174713134765625,2.2122859954833984,2.2140331268310547,0.058286580807975184,0.043499202408616225,0.0027070866116723,0.058286580807975184,0.043499202408616225,0.0027070866116723
Window AR,82,50,115,58.37563451776649,0.0036270618438720703,2.191800117492676,2.195427179336548,0.057111851911302726,0.0425383140457023,0.0025380310450715884,0.057111851911302726,0.0425383140457023,0.0025380310450715884
Window Mean,82,50,115,58.37563451776649,0.0222623348236084,2.5309388637542725,2.553201198577881,0.055430392374151614,0.04157245292412406,0.002559095798634751,0.055430392374151614,0.04157245292412406,0.002559095798634751
Window Median,82,50,115,58.37563451776649,0.0222623348236084,2.1239962577819824,2.146258592605591,0.06167174515031283,0.046332744514951237,0.0031655214419547707,0.06167174515031283,0.046332744514951237,0.0031655214419547707
Binary Segmentation L1,82,50,115,58.37563451776649,0.007884025573730469,2.2023568153381348,2.2102408409118652,0.06559953748136772,0.04877647240478632,0.0032283674693655354,0.06559953748136772,0.04877647240478632,0.0032283674693655354
