Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Pace_MAPE,Pace_MAE,Pace_MSE,Distance_MAPE,Distance_MAE,Distance_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,300,76,N/A,N/A,N/A,6.06744909286499,6.06744909286499,0.27200892878985417,0.14881470643144482,0.023630283096208838,0.4152383815677261,0.46475483032339004,0.21699267762358826,0.3436236551787902,0.3067847683774174,0.12031148035989855
Fixed Cut 5.0%,285,76,15,5.0,N/A,3.831914186477661,3.831914186477661,0.19017966908974296,0.17871572242059466,0.03516019686852766,0.3843789132317815,0.43010288053763224,0.18574450096299955,0.28727929116076223,0.3044093014791135,0.11045234891576361
Fixed Cut 10.0%,270,76,30,10.0,N/A,3.6042380332946777,3.6042380332946777,0.20563620202734179,0.19108720806854254,0.038783355654072274,0.34086660447290207,0.3810251356044901,0.1456868618238553,0.2732514032501219,0.28605617183651627,0.09223510873896378
Fixed Cut 15.0%,255,76,45,15.0,N/A,3.3441102504730225,3.3441102504730225,0.18864151609916777,0.1809913025019815,0.03768734477039965,0.3197419694924193,0.35686098328633725,0.12864982341640832,0.2541917427957936,0.2689261428941594,0.08316858409340401
Fixed Cut 20.0%,240,76,60,20.0,N/A,3.5146632194519043,3.5146632194519043,0.23375503587022728,0.2276831944417252,0.056494669709466615,0.326280431588259,0.36460300381731436,0.1336109657192093,0.2800177337292431,0.29614309912951975,0.09505281771433795
Fixed Cut 25.0%,225,76,75,25.0,N/A,4.205981016159058,4.205981016159058,0.30784700928463216,0.310390260908568,0.10885045043497396,0.3860280895695542,0.4326235851525756,0.18914408947313238,0.3469375494270932,0.37150692303057187,0.14899726995405316
Fixed Cut 30.0%,210,76,90,30.0,N/A,3.67677903175354,3.67677903175354,0.26677506555194513,0.26142346095140323,0.07409417979855336,0.2911656253514941,0.3260034669146517,0.10699261574541283,0.27897034545171967,0.2937134639330275,0.09054339777198311
Fixed Cut 35.0%,195,76,105,35.0,N/A,3.0241100788116455,3.0241100788116455,0.2477165135122301,0.23639860806050403,0.05913628003388715,0.26373183285313534,0.2955722835626651,0.0882971553479727,0.25572417318268265,0.26598544581158456,0.0737167176909299
Fixed Cut 40.0%,181,76,119,39.666666666666664,N/A,3.548330068588257,3.548330068588257,0.25060395565382393,0.2438860087788613,0.06444457638494723,0.2899836078090736,0.3245250747697437,0.10599177270954592,0.2702937817314488,0.28420554177430246,0.08521817454724659
Fixed Cut 45.0%,165,76,135,45.0,N/A,2.899024724960327,2.899024724960327,0.15723022208790727,0.13507933733912378,0.021949844471805154,0.18376523423903957,0.20597401486025485,0.043084300482062854,0.1704977281634734,0.17052667609968933,0.032517072476934
Fixed Cut 50.0%,151,76,149,49.666666666666664,N/A,2.5853869915008545,2.5853869915008545,0.25828995711474545,0.26676669395952857,0.08588212140791796,0.0767101300889542,0.08524506947367234,0.008201582881466387,0.1675000436018499,0.17600588171660048,0.04704185214469217
