Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Amount_MAPE,Amount_MAE,Amount_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,464,117,N/A,N/A,N/A,3.935283899307251,3.935283899307251,0.02848206292814431,0.02573335838634358,0.0013489962698615351,0.02848206292814431,0.02573335838634358,0.0013489962698615351
Fixed Cut 5.0%,441,117,23,4.956896551724138,N/A,4.018923997879028,4.018923997879028,0.027031284306250812,0.02454844743750311,0.0013788065163470643,0.027031284306250812,0.02454844743750311,0.0013788065163470643
Fixed Cut 10.0%,418,117,46,9.913793103448276,N/A,3.3624649047851562,3.3624649047851562,0.03026480867399688,0.027312950559470858,0.0014771774849450994,0.03026480867399688,0.027312950559470858,0.0014771774849450994
Fixed Cut 15.0%,395,117,69,14.870689655172415,N/A,5.662964820861816,5.662964820861816,0.028244713471719144,0.025584794935056547,0.0014154805725689961,0.028244713471719144,0.025584794935056547,0.0014154805725689961
Fixed Cut 20.0%,372,117,92,19.82758620689655,N/A,4.451751947402954,4.451751947402954,0.027400582670365967,0.02478505738464363,0.0012993792075037033,0.027400582670365967,0.02478505738464363,0.0012993792075037033
Fixed Cut 25.0%,348,117,116,25.0,N/A,3.517106056213379,3.517106056213379,0.02858517535849775,0.025902572135195385,0.0014717609956971976,0.02858517535849775,0.025902572135195385,0.0014717609956971976
Fixed Cut 30.0%,325,117,139,29.95689655172414,N/A,3.847352981567383,3.847352981567383,0.027435517507992686,0.02484189266761609,0.0013195275059050566,0.027435517507992686,0.02484189266761609,0.0013195275059050566
Fixed Cut 35.0%,302,117,162,34.91379310344828,N/A,2.82009220123291,2.82009220123291,0.02808392133545071,0.025383469909885117,0.00133346664073357,0.02808392133545071,0.025383469909885117,0.00133346664073357
Fixed Cut 40.0%,279,117,185,39.87068965517241,N/A,3.4374489784240723,3.4374489784240723,0.028172095325272237,0.025477043241718005,0.0013504064675867319,0.028172095325272237,0.025477043241718005,0.0013504064675867319
Fixed Cut 45.0%,256,117,208,44.827586206896555,N/A,3.6203970909118652,3.6203970909118652,0.028717523473265602,0.02588391159114011,0.0012881571376354996,0.028717523473265602,0.02588391159114011,0.0012881571376354996
Fixed Cut 50.0%,233,117,231,49.78448275862069,N/A,3.782637119293213,3.782637119293213,0.026367723629363547,0.023997287884154343,0.0014204705705408581,0.026367723629363547,0.023997287884154343,0.0014204705705408581
Fixed Cut 55.0%,209,117,255,54.956896551724135,N/A,3.2011210918426514,3.2011210918426514,0.030136643516554158,0.027179332659836235,0.0014525493896130183,0.030136643516554158,0.027179332659836235,0.0014525493896130183
Fixed Cut 60.0%,186,117,278,59.91379310344828,N/A,3.3381638526916504,3.3381638526916504,0.031389064355880805,0.028242455798939244,0.001472907266068257,0.031389064355880805,0.028242455798939244,0.001472907266068257
Fixed Cut 65.0%,163,117,301,64.87068965517241,N/A,2.528697967529297,2.528697967529297,0.03364657598253446,0.030177693716594838,0.0015367321939999342,0.03364657598253446,0.030177693716594838,0.0015367321939999342
Fixed Cut 70.0%,140,117,324,69.82758620689656,N/A,3.5101211071014404,3.5101211071014404,0.03424088874585235,0.030657263994827638,0.001528504899694561,0.03424088874585235,0.030657263994827638,0.001528504899694561
Fixed Cut 75.0%,116,117,348,75.0,N/A,2.9256250858306885,2.9256250858306885,0.03183119082337462,0.028584986624483076,0.0014212572489406504,0.03183119082337462,0.028584986624483076,0.0014212572489406504
Fixed Cut 80.0%,93,117,371,79.95689655172413,N/A,2.8699240684509277,2.8699240684509277,0.028121036035275937,0.026401044575286216,0.0016283474391664899,0.028121036035275937,0.026401044575286216,0.0016283474391664899
Fixed Cut 85.0%,70,117,394,84.91379310344827,N/A,3.3624699115753174,3.3624699115753174,0.025116551229642285,0.023578567545298378,0.0013303020791527198,0.025116551229642285,0.023578567545298378,0.0013303020791527198
Fixed Cut 90.0%,47,117,417,89.87068965517241,N/A,2.5334889888763428,2.5334889888763428,0.028460430016426553,0.026552209804819565,0.0014334169928163008,0.028460430016426553,0.026552209804819565,0.0014334169928163008
Window L1,234,117,230,49.56896551724138,0.010435104370117188,3.638159990310669,3.648595094680786,0.025953850864002113,0.02369716183524711,0.0014684327336270397,0.025953850864002113,0.02369716183524711,0.0014684327336270397
Window L2,99,117,365,78.66379310344827,0.00587916374206543,3.505880832672119,3.5117599964141846,0.027800127026512165,0.025969478843677302,0.001413918439832415,0.027800127026512165,0.025969478843677302,0.001413918439832415
Window Normal,99,117,365,78.66379310344827,0.009974002838134766,3.439429998397827,3.449404001235962,0.028009717859669655,0.026206367814858755,0.0014769255623495253,0.028009717859669655,0.026206367814858755,0.0014769255623495253
Window RBF,99,117,365,78.66379310344827,0.007010698318481445,3.2007641792297363,3.2077748775482178,0.03209979583327729,0.029812312058877702,0.001624937086026643,0.03209979583327729,0.029812312058877702,0.001624937086026643
Window Cosine,0,117,464,100.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Window Linear,414,117,50,10.775862068965516,0.006394863128662109,7.484364986419678,7.49075984954834,0.032454191497305926,0.029119316426679115,0.0014677102860413426,0.032454191497305926,0.029119316426679115,0.0014677102860413426
Window Clinear,269,117,195,42.025862068965516,0.0051991939544677734,4.299810886383057,4.305010080337524,0.03044608989080916,0.027485290379446702,0.0015371294092426688,0.03044608989080916,0.027485290379446702,0.0015371294092426688
Window Rank,99,117,365,78.66379310344827,0.008151769638061523,3.4974710941314697,3.5056228637695312,0.027809833737541943,0.025972338581581635,0.0014195713990442394,0.027809833737541943,0.025972338581581635,0.0014195713990442394
Window Mahalanobis,99,117,365,78.66379310344827,0.004520893096923828,3.6581499576568604,3.662670850753784,0.029790856934930093,0.027747241966035053,0.0014998923359924097,0.029790856934930093,0.027747241966035053,0.0014998923359924097
Window AR,274,117,190,40.94827586206897,0.009900808334350586,9.177424192428589,9.18732500076294,0.027086689824089637,0.024486179105044352,0.0012627590767224314,0.027086689824089637,0.024486179105044352,0.0012627590767224314
Window Mean,169,117,295,63.577586206896555,0.06746649742126465,3.618577718734741,3.686044216156006,0.030403411835216144,0.02740388882414426,0.0014436017870751432,0.030403411835216144,0.02740388882414426,0.0014436017870751432
Window Median,99,117,365,78.66379310344827,0.06746649742126465,3.128204822540283,3.195671319961548,0.026918973478818834,0.02519422621867151,0.0013915794429649121,0.026918973478818834,0.02519422621867151,0.0013915794429649121
Binary Segmentation L1,444,117,20,4.310344827586207,0.020674705505371094,10.633533000946045,10.654207706451416,0.028786735101271957,0.025865896052068908,0.0012355544259859002,0.028786735101271957,0.025865896052068908,0.0012355544259859002
Binary Segmentation L2,444,117,20,4.310344827586207,0.011445999145507812,5.681284189224243,5.692730188369751,0.03202955484519214,0.02884661966433426,0.0015994473100813971,0.03202955484519214,0.02884661966433426,0.0015994473100813971
Binary Segmentation Normal,444,117,20,4.310344827586207,0.0170290470123291,6.699004888534546,6.716033935546875,0.030397041189419147,0.02738247942022681,0.0014727829157111002,0.030397041189419147,0.02738247942022681,0.0014727829157111002
Binary Segmentation RBF,444,117,20,4.310344827586207,0.01940608024597168,5.135885953903198,5.15529203414917,0.02687473613066605,0.024411729012619354,0.0013764467969929594,0.02687473613066605,0.024411729012619354,0.0013764467969929594
Binary Segmentation Cosine,9,117,455,98.0603448275862,0.021419048309326172,3.032674789428711,3.054093837738037,0.03317431099440871,0.03378622934431697,0.0018944121701776069,0.03317431099440871,0.03378622934431697,0.0018944121701776069
Binary Segmentation Linear,349,117,115,24.78448275862069,0.008252859115600586,4.660401821136475,4.668654680252075,0.03262736658148863,0.029322773900765188,0.001556726315975674,0.03262736658148863,0.029322773900765188,0.001556726315975674
Binary Segmentation Clinear,379,117,85,18.318965517241377,0.006679058074951172,8.279195070266724,8.285874128341675,0.026849623041577342,0.024377400985374484,0.0013754433187673704,0.026849623041577342,0.024377400985374484,0.0013754433187673704
