Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,3.924855947494507,3.924855947494507,0.06985369330741857,0.06601039445227,0.006054489326597598,0.08908900090060361,0.061154862127043394,0.0052707249561252485,0.7439797383932791,0.4210542069840436,0.22606680128202816,0.7063729848310063,0.4865248102099689,0.3091557851826395,0.4023238543580769,0.25868606844333153,0.1366369501868476
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,3.687169075012207,3.687169075012207,0.11358785724002811,0.10674573618326673,0.01362303289028652,0.0928162193368721,0.06409707089189652,0.005347004125026252,0.8253475427643765,0.4590265454568094,0.27290059459161214,0.7055368308277232,0.4763590227414283,0.29390331235698613,0.43432211254224995,0.2765570938183503,0.14644348599097773
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,6.541790962219238,6.541790962219238,0.08246440335833144,0.07797207206940088,0.007901538738999367,0.0771606964352104,0.05435779254332084,0.004341762661298471,0.8106302434512671,0.4554342461026682,0.26877837473276484,0.6690026243136544,0.4586938512390275,0.30583717759735046,0.40981449188961583,0.26161449048860447,0.14671471343260328
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,4.486254930496216,4.486254930496216,0.08650813164282732,0.08158657792675932,0.008893729271907444,0.09368540276110615,0.0685848939006128,0.007257929882148497,0.8640063924992499,0.4324909992100679,0.25050552654469566,0.675078776788646,0.43987662751270357,0.30244317009199173,0.4298196759229573,0.255634774637536,0.14227508894768584
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,5.553696155548096,5.553696155548096,0.08169620248405063,0.07760042741451899,0.008410824628777267,0.06965523219085375,0.053004171454596176,0.004055831479041933,0.8998712437886512,0.4493060847927235,0.2685549006545036,0.6562808486996375,0.4576522556990584,0.2827598272774037,0.4268758817907984,0.25939073484022435,0.1409453460099317
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,4.8773322105407715,4.8773322105407715,0.06620548494782807,0.06295234511903755,0.005784661944572806,0.07328012720261039,0.05560755189444508,0.004467495033018988,0.9251506849304726,0.4360392062970311,0.2578313252023429,0.7096003177430578,0.49266218415293267,0.344727902420563,0.4435591537059921,0.26181532186586165,0.1532028461501244
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,3.806615114212036,3.806615114212036,0.05313831193592862,0.05097357492091459,0.005062753389058696,0.04452784389500218,0.034846455552143815,0.0017509120147005336,0.8915472834231234,0.4622476946699768,0.27697515766302594,0.7084664070602695,0.4949961279579016,0.33622723238352775,0.42441996157858075,0.26076596327523427,0.15500401386257823
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,3.6425302028656006,3.6425302028656006,0.05112873770646973,0.04864883309474659,0.003797194086317534,0.05234470129943788,0.042542626581771624,0.002671370338113055,0.8263421760248109,0.4396773640169462,0.24949872169665044,0.6585624901200834,0.4627917370324299,0.30321504246289654,0.3970945262877006,0.24841514018147368,0.13979558214599436
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,3.2121801376342773,3.2121801376342773,0.04348408174558601,0.041146810777297094,0.002789664219991299,0.06425977325488172,0.05269753065556122,0.004275415662950629,0.8327275753798952,0.4453653091787789,0.25992719231552797,0.780765632034649,0.5155568580170613,0.39631706106780223,0.4303092656037528,0.2636916271571747,0.16582733331656802
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,2.9946720600128174,2.9946720600128174,0.040692917220351475,0.037917212171289155,0.0022914750368077156,0.07613778313442286,0.0629383534106297,0.005530619135735818,0.8282123979815342,0.43624071264838554,0.24772298741738535,0.7333357481744089,0.47224061752967467,0.3225899198205851,0.4195947116276793,0.25233422393999483,0.14453375035262844
