Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Line 200_MAPE,Line 200_MAE,Line 200_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Binary Segmentation Clinear,9,97,375,97.65625,0.006114959716796875,3.037946939468384,3.0440618991851807,0.6281582056814546,0.17412568962002634,0.04122876468086228,0.6281582056814546,0.17412568962002634,0.04122876468086228
Binary Segmentation Rank,229,97,155,40.36458333333333,0.010200023651123047,10.993579864501953,11.003779888153076,0.14445363447840898,0.046658400776988795,0.008050721318420842,0.14445363447840898,0.046658400776988795,0.008050721318420842
Binary Segmentation Mahalanobis,94,97,290,75.52083333333334,0.01198887825012207,4.691810131072998,4.70379900932312,0.31621071538428913,0.0953874466349097,0.018914992431088955,0.31621071538428913,0.0953874466349097,0.018914992431088955
Binary Segmentation AR,99,97,285,74.21875,0.013474702835083008,4.902029037475586,4.915503740310669,0.31672341356521433,0.09413261225020965,0.017625467691226224,0.31672341356521433,0.09413261225020965,0.017625467691226224
Binary Segmentation Mean,87,97,297,77.34375,0.12414073944091797,3.53174090385437,3.655881643295288,0.38613113264507604,0.11041529133688653,0.019396363593587033,0.38613113264507604,0.11041529133688653,0.019396363593587033
Binary Segmentation Median,94,97,290,75.52083333333334,0.12414073944091797,2.632227897644043,2.756368637084961,0.42416868866277474,0.12294246733967776,0.026943083425740078,0.42416868866277474,0.12294246733967776,0.026943083425740078
Bottom Up L1,219,97,165,42.96875,0.007504940032958984,7.305917978286743,7.313422918319702,0.18603984641572135,0.060377358461127566,0.011985086732190009,0.18603984641572135,0.060377358461127566,0.011985086732190009
Bottom Up L2,99,97,285,74.21875,0.005631923675537109,2.515648126602173,2.52128005027771,0.608776736133077,0.16800367072646655,0.03699759135088598,0.608776736133077,0.16800367072646655,0.03699759135088598
Bottom Up Normal,139,97,245,63.802083333333336,0.006973981857299805,10.561255931854248,10.568229913711548,0.2384048099386785,0.0709861289721169,0.012015872941816422,0.2384048099386785,0.0709861289721169,0.012015872941816422
Bottom Up RBF,219,97,165,42.96875,0.006428956985473633,7.42421293258667,7.4306418895721436,0.17201107236200813,0.054825994285363264,0.010206622831413235,0.17201107236200813,0.054825994285363264,0.010206622831413235
Bottom Up Cosine,14,97,370,96.35416666666666,0.0040209293365478516,2.4159109592437744,2.4199318885803223,0.6107503643293927,0.16941632531177506,0.038591528854423546,0.6107503643293927,0.16941632531177506,0.038591528854423546
Bottom Up Linear,14,97,370,96.35416666666666,0.0036711692810058594,3.135662078857422,3.1393332481384277,0.8817289524629337,0.2373256200097485,0.06536101740832174,0.8817289524629337,0.2373256200097485,0.06536101740832174
Bottom Up Clinear,99,97,285,74.21875,0.004182100296020508,2.6478986740112305,2.652080774307251,0.47070105583764127,0.1342679689094132,0.02915688372029543,0.47070105583764127,0.1342679689094132,0.02915688372029543
Bottom Up Rank,219,97,165,42.96875,0.007987022399902344,10.13269305229187,10.140680074691772,0.1487298858349499,0.04814470246077103,0.008721803754679404,0.1487298858349499,0.04814470246077103,0.008721803754679404
Bottom Up Mahalanobis,99,97,285,74.21875,0.003843069076538086,7.780845880508423,7.784688949584961,0.2933676833718345,0.08799182697903356,0.015766651226604304,0.2933676833718345,0.08799182697903356,0.015766651226604304
Bottom Up AR,139,97,245,63.802083333333336,0.00841975212097168,9.083207368850708,9.09162712097168,0.24002365218284688,0.07019720213345712,0.011195358555015767,0.24002365218284688,0.07019720213345712,0.011195358555015767
Bottom Up Mean,126,97,258,67.1875,0.05866384506225586,5.947214841842651,6.005878686904907,0.26864644116695613,0.0812656759417135,0.015276696508209193,0.26864644116695613,0.0812656759417135,0.015276696508209193
Bottom Up Median,119,97,265,69.01041666666666,0.05866384506225586,10.241250038146973,10.299913883209229,0.22164629172619602,0.06705703950200985,0.01083050922816994,0.22164629172619602,0.06705703950200985,0.01083050922816994
