Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,USD/Bitcoin_MAPE,USD/Bitcoin_MAE,USD/Bitcoin_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,619,155,N/A,N/A,N/A,18.044446229934692,18.044446229934692,0.04688302878264397,0.014739473246569327,0.0004159950175859658,0.04688302878264397,0.014739473246569327,0.0004159950175859658
Fixed Cut 5.0%,589,155,30,4.846526655896607,N/A,24.67371702194214,24.67371702194214,0.0418461527076099,0.013271455996792194,0.0003683733830881457,0.0418461527076099,0.013271455996792194,0.0003683733830881457
Fixed Cut 10.0%,558,155,61,9.8546042003231,N/A,14.73372197151184,14.73372197151184,0.04890042859035168,0.015487663937069232,0.00044424093111952495,0.04890042859035168,0.015487663937069232,0.00044424093111952495
Fixed Cut 15.0%,527,155,92,14.862681744749596,N/A,7.1368608474731445,7.1368608474731445,0.0941766843944471,0.029470982508351236,0.0015145695598203469,0.0941766843944471,0.029470982508351236,0.0015145695598203469
Fixed Cut 20.0%,496,155,123,19.87075928917609,N/A,4.309051036834717,4.309051036834717,0.14281701565285707,0.04261127591515979,0.002915114774042962,0.14281701565285707,0.04261127591515979,0.002915114774042962
Fixed Cut 25.0%,465,155,154,24.878836833602584,N/A,4.676631927490234,4.676631927490234,0.13145459202320592,0.03987708789093518,0.0026833661652945744,0.13145459202320592,0.03987708789093518,0.0026833661652945744
Fixed Cut 30.0%,434,155,185,29.88691437802908,N/A,4.797714948654175,4.797714948654175,0.11690315959286753,0.036109867308191775,0.0022494848933185267,0.11690315959286753,0.036109867308191775,0.0022494848933185267
Fixed Cut 35.0%,403,155,216,34.894991922455574,N/A,8.665322065353394,8.665322065353394,0.07551396438112025,0.023024357865538313,0.0009115046688372381,0.07551396438112025,0.023024357865538313,0.0009115046688372381
Fixed Cut 40.0%,372,155,247,39.903069466882066,N/A,12.03888988494873,12.03888988494873,0.07089156358556112,0.021164279980754715,0.0007536136936645728,0.07089156358556112,0.021164279980754715,0.0007536136936645728
Fixed Cut 45.0%,341,155,278,44.91114701130856,N/A,3.4878220558166504,3.4878220558166504,0.15078588767387313,0.04614935542218463,0.003550200120183095,0.15078588767387313,0.04614935542218463,0.003550200120183095
Fixed Cut 50.0%,310,155,309,49.919224555735056,N/A,3.9309818744659424,3.9309818744659424,0.10185139390094107,0.031920785677390505,0.0017863569190429336,0.10185139390094107,0.031920785677390505,0.0017863569190429336
Fixed Cut 55.0%,279,155,340,54.92730210016155,N/A,7.873882055282593,7.873882055282593,0.0863612365553492,0.026097261792949345,0.0011147436450694068,0.0863612365553492,0.026097261792949345,0.0011147436450694068
Fixed Cut 60.0%,248,155,371,59.935379644588046,N/A,3.6352908611297607,3.6352908611297607,0.1362607318264003,0.0434868761124561,0.0029116056969886914,0.1362607318264003,0.0434868761124561,0.0029116056969886914
Fixed Cut 65.0%,217,155,402,64.94345718901454,N/A,3.20740008354187,3.20740008354187,0.10626012858670564,0.03200911920605419,0.0016434271215487435,0.10626012858670564,0.03200911920605419,0.0016434271215487435
Fixed Cut 70.0%,186,155,433,69.95153473344104,N/A,3.2665529251098633,3.2665529251098633,0.1061454732771995,0.03521484247494553,0.0021654124916685117,0.1061454732771995,0.03521484247494553,0.0021654124916685117
