Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg Line 200_MAPE,Std Line 200_MAPE,Avg Line 200_MAE,Std Line 200_MAE,Avg Line 200_MSE,Std Line 200_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,384,97,N/A,N/A,N/A,N/A,15.511505651474,1.69730153262763,15.511505651474,1.69730153262763,0.15037646392782641,0.012518701438870853,0.047687312264328166,0.0025787599553333145,0.007805829739294756,0.00024698484468258647,0.15037646392782641,0.012518701438870853,0.047687312264328166,0.0025787599553333145,0.007805829739294756,0.00024698484468258647
Fixed Cut 5.0%,365,97,19,4.947916666666666,N/A,N/A,13.76865839958191,3.421269805696428,13.76865839958191,3.421269805696428,0.1543202137015951,0.013157070043469624,0.048688835328570636,0.0030890868827969714,0.008085193512655266,0.0004602577491781133,0.1543202137015951,0.013157070043469624,0.048688835328570636,0.0030890868827969714,0.008085193512655266,0.0004602577491781133
Fixed Cut 10.0%,346,97,38,9.895833333333332,N/A,N/A,13.14438304901123,2.082046728622388,13.14438304901123,2.082046728622388,0.15427631997787414,0.01029463751285872,0.04857178440397861,0.0023424091531781916,0.008054920231939176,0.00039442104163627645,0.15427631997787414,0.01029463751285872,0.04857178440397861,0.0023424091531781916,0.008054920231939176,0.00039442104163627645
Fixed Cut 15.0%,327,97,57,14.84375,N/A,N/A,9.28418493270874,1.358175418095267,9.28418493270874,1.358175418095267,0.14238066069917346,0.013554175108505699,0.046306217675634975,0.003785272815305294,0.008089711515390641,0.0008270671383865253,0.14238066069917346,0.013554175108505699,0.046306217675634975,0.003785272815305294,0.008089711515390641,0.0008270671383865253
Fixed Cut 20.0%,308,97,76,19.791666666666664,N/A,N/A,10.79165244102478,2.90480534541816,10.79165244102478,2.90480534541816,0.136926317403488,0.021185946709439463,0.045400550439077265,0.005915848270675306,0.008113685329307087,0.0013620940088714516,0.136926317403488,0.021185946709439463,0.045400550439077265,0.005915848270675306,0.008113685329307087,0.0013620940088714516
Fixed Cut 25.0%,288,97,96,25.0,N/A,N/A,9.376872158050537,1.2758167642860798,9.376872158050537,1.2758167642860798,0.15589531858124828,0.012223625626063503,0.049928176814045,0.0034399613311842953,0.008760021484176924,0.0009603320403156298,0.15589531858124828,0.012223625626063503,0.049928176814045,0.0034399613311842953,0.008760021484176924,0.0009603320403156298
Fixed Cut 30.0%,269,97,115,29.947916666666668,N/A,N/A,11.023526000976563,4.103730999114292,11.023526000976563,4.103730999114292,0.18048698412689962,0.04714828744766995,0.05682883597316305,0.01320706424012583,0.010516889390218675,0.0030230001822350934,0.18048698412689962,0.04714828744766995,0.05682883597316305,0.01320706424012583,0.010516889390218675,0.0030230001822350934
Fixed Cut 35.0%,250,97,134,34.89583333333333,N/A,N/A,12.287856101989746,4.075898798878461,12.287856101989746,4.075898798878461,0.16334409885449866,0.01603941379125742,0.0518696060349479,0.004901076797484501,0.009377712823570378,0.0013062662909244017,0.16334409885449866,0.01603941379125742,0.0518696060349479,0.004901076797484501,0.009377712823570378,0.0013062662909244017
Fixed Cut 40.0%,231,97,153,39.84375,N/A,N/A,10.380839681625366,1.3155221141466689,10.380839681625366,1.3155221141466689,0.1679269438987131,0.017773956802806534,0.05351679564132669,0.004870170862893611,0.009660203336057955,0.0012121539085860492,0.1679269438987131,0.017773956802806534,0.05351679564132669,0.004870170862893611,0.009660203336057955,0.0012121539085860492
Fixed Cut 45.0%,212,97,172,44.79166666666667,N/A,N/A,8.427068185806274,1.2925570315513024,8.427068185806274,1.2925570315513024,0.1736057839190628,0.018317016268640473,0.05452703067329195,0.004866132597911026,0.009783097977720282,0.000971735425604899,0.1736057839190628,0.018317016268640473,0.05452703067329195,0.004866132597911026,0.009783097977720282,0.000971735425604899
Fixed Cut 50.0%,193,97,191,49.73958333333333,N/A,N/A,7.352041625976563,1.4760375655022493,7.352041625976563,1.4760375655022493,0.18668012521695024,0.024598669766799326,0.05965798075097838,0.00768961691353178,0.011445720288678372,0.0021202933623274286,0.18668012521695024,0.024598669766799326,0.05965798075097838,0.00768961691353178,0.011445720288678372,0.0021202933623274286
Fixed Cut 55.0%,173,97,211,54.947916666666664,N/A,N/A,9.385465669631959,1.354099335663189,9.385465669631959,1.354099335663189,0.1872695546315954,0.02418843768769483,0.057280119371959586,0.006120729663433237,0.00961439358506753,0.0010227159727044207,0.1872695546315954,0.02418843768769483,0.057280119371959586,0.006120729663433237,0.00961439358506753,0.0010227159727044207
Fixed Cut 60.0%,154,97,230,59.895833333333336,N/A,N/A,10.865604829788207,1.5822924572888044,10.865604829788207,1.5822924572888044,0.21167808701887428,0.01032350778043196,0.06330213428452643,0.0030429462781181946,0.010441422096275353,0.0009439434115839411,0.21167808701887428,0.01032350778043196,0.06330213428452643,0.0030429462781181946,0.010441422096275353,0.0009439434115839411
Fixed Cut 65.0%,135,97,249,64.84375,N/A,N/A,8.533266687393189,2.9467273165675265,8.533266687393189,2.9467273165675265,0.25460151321823826,0.03190791879717427,0.07545351445311294,0.008834756123170386,0.012910784009886808,0.0018569322043039823,0.25460151321823826,0.03190791879717427,0.07545351445311294,0.008834756123170386,0.012910784009886808,0.0018569322043039823
Fixed Cut 70.0%,116,97,268,69.79166666666666,N/A,N/A,7.568262195587158,3.45543390731107,7.568262195587158,3.45543390731107,0.3117987997330284,0.1244002765345471,0.09152327551717072,0.033449583259650126,0.017204837824748593,0.009102846856685847,0.3117987997330284,0.1244002765345471,0.09152327551717072,0.033449583259650126,0.017204837824748593,0.009102846856685847
Fixed Cut 75.0%,96,97,288,75.0,N/A,N/A,3.1598824977874758,0.5246240674163367,3.1598824977874758,0.5246240674163367,0.5240241171463516,0.12033983729986025,0.14757517135896456,0.029949474107691637,0.032810815740622105,0.007906596313720787,0.5240241171463516,0.12033983729986025,0.14757517135896456,0.029949474107691637,0.032810815740622105,0.007906596313720787
Fixed Cut 80.0%,77,97,307,79.94791666666666,N/A,N/A,4.377061414718628,1.1811492466903528,4.377061414718628,1.1811492466903528,0.3162642463083205,0.07750598705347017,0.09764660793257175,0.018067611262313005,0.021342578990249595,0.003004411068121696,0.3162642463083205,0.07750598705347017,0.09764660793257175,0.018067611262313005,0.021342578990249595,0.003004411068121696
Fixed Cut 85.0%,58,97,326,84.89583333333334,N/A,N/A,2.5583710193634035,0.4602114060212004,2.5583710193634035,0.4602114060212004,0.37152148199079255,0.030310789877001088,0.11149751223094585,0.006614176799267829,0.024552307506117827,0.0006730758242188067,0.37152148199079255,0.030310789877001088,0.11149751223094585,0.006614176799267829,0.024552307506117827,0.0006730758242188067
Fixed Cut 90.0%,39,97,345,89.84375,N/A,N/A,2.9801751613616942,0.4900828941600763,2.9801751613616942,0.4900828941600763,0.34789575859423316,0.020310785401216676,0.10528155923824686,0.004409626520533193,0.022929445499924914,0.0006807832678271924,0.34789575859423316,0.020310785401216676,0.10528155923824686,0.004409626520533193,0.022929445499924914,0.0006807832678271924
