Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,x_MAPE,x_MAE,x_MSE,y_MAPE,y_MAE,y_MSE,sin(theta)_MAPE,sin(theta)_MAE,sin(theta)_MSE,cos(theta)_MAPE,cos(theta)_MAE,cos(theta)_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,487,122,N/A,N/A,N/A,6.029067039489746,6.029067039489746,0.06627818396215926,0.06304698737522789,0.005546520069737149,0.13213754621255766,0.09198267303287148,0.009721495161742434,0.8091854659499795,0.4481728258320316,0.2573105642011717,0.6890295241583,0.4780936464848911,0.3014571793773355,0.4241576800707492,0.2703240331812556,0.14350893970249673
Fixed Cut 5.0%,463,122,24,4.9281314168377826,N/A,4.670273780822754,4.670273780822754,0.07975040350550176,0.07540351535856898,0.007208904521198035,0.11558123012320272,0.0793594617370019,0.008659735438924074,0.9096447655403529,0.43999106832675383,0.2644652339558122,0.6794459078796266,0.4697022883808021,0.2902503643339127,0.44610557676217094,0.26611408345078175,0.14264605956246174
Fixed Cut 10.0%,439,122,48,9.856262833675565,N/A,5.714194059371948,5.714194059371948,0.10128660870920884,0.0956625867193447,0.011599469655230898,0.0892325041226142,0.06302830351571669,0.005295926138379377,1.0626549895623782,0.4486578113433104,0.2883483440859656,0.6712252225619816,0.47514665964377223,0.3057396586088448,0.48109983123904565,0.2706238403055361,0.1527458496221052
Fixed Cut 15.0%,414,122,73,14.989733059548255,N/A,4.6073081493377686,4.6073081493377686,0.11910384795006446,0.11262615234590975,0.016760400473368842,0.052158714503407366,0.03884062151135302,0.001997561502524365,0.9858327648132839,0.45897687766393963,0.29064864327518325,0.6663718511480612,0.46333698803213197,0.30082890039083343,0.4558667946037042,0.2684451598883337,0.15255887641047744
Fixed Cut 20.0%,390,122,97,19.917864476386036,N/A,4.4165380001068115,4.4165380001068115,0.05274190634087901,0.049726547873263305,0.003316426544773248,0.10226687111634424,0.07748861250052815,0.009147813452534173,0.9493074781557452,0.47015227316214697,0.29590808447389244,0.6417963869077458,0.42951377022988985,0.271580464912868,0.4365281606301785,0.2567203009414571,0.14498819734601692
Fixed Cut 25.0%,366,122,121,24.84599589322382,N/A,4.557414770126343,4.557414770126343,0.05789485963760625,0.054946860721381455,0.004243716002755349,0.06304343292297969,0.04748692648758907,0.003658745940736011,1.0143215120094737,0.45675564245216294,0.29123460061103495,0.6861221160249193,0.46625162703304995,0.3227960514815519,0.4553454801487449,0.25636026417354596,0.1554832785090196
Fixed Cut 30.0%,341,122,146,29.97946611909651,N/A,4.7235939502716064,4.7235939502716064,0.05616894041917222,0.053068318001078495,0.004729560827555584,0.06544028149385292,0.05011855332447364,0.0036975672034446354,0.9932573996459275,0.4660829333836451,0.29471415081724445,0.7350538621293429,0.5144477236485859,0.3579924152539204,0.4624801209220738,0.2709293820894459,0.16528342352554126
Fixed Cut 35.0%,317,122,170,34.90759753593429,N/A,3.707524061203003,3.707524061203003,0.052791829035320814,0.04985031993623132,0.003640150275330994,0.04519762989048033,0.03655755901464307,0.0019586449596194666,0.8172374773012223,0.4487958935454147,0.2562251424397938,0.7017584936394264,0.4817442532829246,0.3344910228033855,0.4042463574666123,0.2542370064448035,0.14907874011953243
Fixed Cut 40.0%,293,122,194,39.83572895277207,N/A,3.8640921115875244,3.8640921115875244,0.0331343479672271,0.031046098280117174,0.001521990293634799,0.04871980002211711,0.04009482196694008,0.002249690449873913,0.8826071057854031,0.45697892722180516,0.26918798351921797,0.7092192718422934,0.49030376582115615,0.3489408797118629,0.4184201314042602,0.25460590332250477,0.15547513599364735
Fixed Cut 45.0%,268,122,219,44.969199178644764,N/A,3.61110782623291,3.61110782623291,0.04739903876605912,0.045106041809977494,0.0032488662677840736,0.048005015759411775,0.03958859197884075,0.002207771708416474,0.8587424260457914,0.44636545696614816,0.26129959598608477,0.6525019149753143,0.43173260489364834,0.2725862950766923,0.40166209888664406,0.24069817391215376,0.13483563225974438
Fixed Cut 50.0%,244,122,243,49.89733059548255,N/A,4.474644184112549,4.474644184112549,0.03938303851356527,0.03624836917644854,0.0020315616319179115,0.05432724700164434,0.04521561758223342,0.002710787321117039,0.8262628709105446,0.45354718324338106,0.265189304846012,0.6740613486492179,0.45787372021605693,0.28730124263011525,0.398508626268743,0.24822122255453008,0.1393082241072906
Fixed Cut 55.0%,220,122,267,54.82546201232032,N/A,3.9945549964904785,3.9945549964904785,0.03843034278725879,0.03623258229851779,0.001772701520108758,0.0706269256548366,0.05848254704399032,0.004737275356619103,0.856078225739554,0.45602270699351016,0.271544429832613,0.7374151658067932,0.5046863183395914,0.33369267683437515,0.42563766499711064,0.2638560386689025,0.152936770885929
Fixed Cut 60.0%,195,122,292,59.95893223819302,N/A,4.116207122802734,4.116207122802734,0.05642802830276679,0.05288771890199556,0.004405823152790929,0.041961277180457474,0.03605030103210779,0.0017700327959490412,0.8473732064092696,0.43299837074095293,0.25013303335472287,0.6782573631882162,0.47901108959837496,0.3117257464841589,0.40600496877017755,0.2502368700683579,0.14200865894690545
