Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,Amount_MAPE,Amount_MAE,Amount_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,464,117,N/A,N/A,N/A,13.674149990081787,13.674149990081787,0.022791417944983093,0.02067218809565418,0.0010303157884567987,0.022791417944983093,0.02067218809565418,0.0010303157884567987
Fixed Cut 5.0%,441,117,23,4.956896551724138,N/A,4.1427929401397705,4.1427929401397705,0.02910632547709488,0.02634216397645959,0.0014696232798187736,0.02910632547709488,0.02634216397645959,0.0014696232798187736
Fixed Cut 10.0%,418,117,46,9.913793103448276,N/A,3.28003191947937,3.28003191947937,0.032516816291693125,0.029078373331606528,0.0013463163209262304,0.032516816291693125,0.029078373331606528,0.0013463163209262304
Fixed Cut 15.0%,395,117,69,14.870689655172415,N/A,18.11767292022705,18.11767292022705,0.021076259522223997,0.01896039784449601,0.0007825714737862954,0.021076259522223997,0.01896039784449601,0.0007825714737862954
Fixed Cut 20.0%,372,117,92,19.82758620689655,N/A,3.2147488594055176,3.2147488594055176,0.027197925310476635,0.024623371115923866,0.0013089742063239456,0.027197925310476635,0.024623371115923866,0.0013089742063239456
Fixed Cut 25.0%,348,117,116,25.0,N/A,2.9619882106781006,2.9619882106781006,0.02721638533910667,0.024726256762634614,0.0014028540678372515,0.02721638533910667,0.024726256762634614,0.0014028540678372515
Fixed Cut 30.0%,325,117,139,29.95689655172414,N/A,4.039774179458618,4.039774179458618,0.033059729741134504,0.02963972790673553,0.0015185244927103285,0.033059729741134504,0.02963972790673553,0.0015185244927103285
Fixed Cut 35.0%,302,117,162,34.91379310344828,N/A,3.3095779418945312,3.3095779418945312,0.027195572633669667,0.024678224543835066,0.001372967874975686,0.027195572633669667,0.024678224543835066,0.001372967874975686
Fixed Cut 40.0%,279,117,185,39.87068965517241,N/A,3.6975510120391846,3.6975510120391846,0.03232770591161515,0.029070682593822884,0.001514059492673935,0.03232770591161515,0.029070682593822884,0.001514059492673935
Fixed Cut 45.0%,256,117,208,44.827586206896555,N/A,9.185176849365234,9.185176849365234,0.028636964076279282,0.025820642886292256,0.0012963986761935426,0.028636964076279282,0.025820642886292256,0.0012963986761935426
Fixed Cut 50.0%,233,117,231,49.78448275862069,N/A,2.7367210388183594,2.7367210388183594,0.026308266762185565,0.02414217075682427,0.00166024341464512,0.026308266762185565,0.02414217075682427,0.00166024341464512
Fixed Cut 55.0%,209,117,255,54.956896551724135,N/A,4.5071470737457275,4.5071470737457275,0.028445056930569795,0.025775413560356293,0.0014793245985707563,0.028445056930569795,0.025775413560356293,0.0014793245985707563
Fixed Cut 60.0%,186,117,278,59.91379310344828,N/A,4.0586419105529785,4.0586419105529785,0.03229433049314142,0.02910126167248161,0.0016095026326469202,0.03229433049314142,0.02910126167248161,0.0016095026326469202
Fixed Cut 65.0%,163,117,301,64.87068965517241,N/A,2.550285816192627,2.550285816192627,0.033566061548720334,0.030113825225603727,0.0015913802540220047,0.033566061548720334,0.030113825225603727,0.0015913802540220047
Fixed Cut 70.0%,140,117,324,69.82758620689656,N/A,3.113603115081787,3.113603115081787,0.03983727869549575,0.035491838533001745,0.0018550151839206055,0.03983727869549575,0.035491838533001745,0.0018550151839206055
Fixed Cut 75.0%,116,117,348,75.0,N/A,3.3008389472961426,3.3008389472961426,0.03515029947362567,0.03136509516083494,0.0014757568558207458,0.03515029947362567,0.03136509516083494,0.0014757568558207458
Fixed Cut 80.0%,93,117,371,79.95689655172413,N/A,2.6500561237335205,2.6500561237335205,0.029702988461895136,0.027781432904254458,0.0016574339844262083,0.029702988461895136,0.027781432904254458,0.0016574339844262083
Fixed Cut 85.0%,70,117,394,84.91379310344827,N/A,2.879624128341675,2.879624128341675,0.027780793336781438,0.026109692194880442,0.0016268579102902002,0.027780793336781438,0.026109692194880442,0.0016268579102902002
Fixed Cut 90.0%,47,117,417,89.87068965517241,N/A,2.5456621646881104,2.5456621646881104,0.028049369103455495,0.02629070078213639,0.001564685410278957,0.028049369103455495,0.02629070078213639,0.001564685410278957
Window L1,234,117,230,49.56896551724138,0.012694120407104492,3.6824419498443604,3.695136070251465,0.028630932121070908,0.025919467342687172,0.0014521453471022993,0.028630932121070908,0.025919467342687172,0.0014521453471022993
Window L2,99,117,365,78.66379310344827,0.007019996643066406,2.956698179244995,2.9637181758880615,0.03198818197193731,0.029664242503756467,0.0015403770150007288,0.03198818197193731,0.029664242503756467,0.0015403770150007288
