Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,DEWP_MAPE,DEWP_MAE,DEWP_MSE,TEMP_MAPE,TEMP_MAE,TEMP_MSE,PRES_MAPE,PRES_MAE,PRES_MSE,Iws_MAPE,Iws_MAE,Iws_MSE,Is_MAPE,Is_MAE,Is_MSE,Ir_MAPE,Ir_MAE,Ir_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,35059,8765,N/A,N/A,N/A,1323.854479789734,163.0255949497223,1486.8800747394562,23.84313960322524,0.32712719142832225,0.1396055258091452,0.7135112230930162,0.21637622201558082,0.06244776068634643,0.008604844540696542,0.008326910898472366,9.793033692777213e-05,0.9910741424348242,0.03157406538671521,0.004732507525516621,1.2387667429281357,0.0023421910587163117,0.0005453640214319702,1.5314816465912429,0.006876616824950477,0.0007504521972038681,4.721096367135524,0.09877053293545841,0.03469659009609539
Fixed Cut 5.0%,33307,8765,1752,4.9972902820958955,N/A,1757.197497844696,158.18222093582153,1915.3797187805176,187.01333523543403,0.3227687453922332,0.13699034746249186,0.7098082398917587,0.21518680331812176,0.06179561972901652,0.008125157031240185,0.007891098310361779,8.448373839217116e-05,0.842348290710095,0.041248852993047154,0.004657091351317369,1.0468796885891405,0.004595327005162494,0.0010199484194863156,1.1116630249018749,0.012248948512594194,0.0007594340632606598,31.7886932727597,0.10065662925525237,0.03421782079399423
Fixed Cut 10.0%,31554,8765,3505,9.997432898827691,N/A,1850.5066769123077,88.48180603981018,1938.988482952118,31.121923975324048,0.32209311115417105,0.1360990338726187,0.8130210608002736,0.22136142386424842,0.06523538601257961,0.01612825236003663,0.015442224189712675,0.0002836261752293704,0.855794751152752,0.04060276085551049,0.004706895807010072,1.0499449250935642,0.007086579900402529,0.0010973701939912428,1.065247237557322,0.016040839241126478,0.0008307889453424553,5.820343367048011,0.10377115653419378,0.0347088501677952
Fixed Cut 15.0%,29801,8765,5258,14.997575515559486,N/A,1759.0372910499573,42.485363245010376,1801.5226542949677,183.99220889135373,0.32424382442676086,0.13705271207164244,0.7327148802880739,0.23095618051136252,0.0710893520599928,0.007258180983468345,0.007027778057293303,7.395714999876133e-05,0.8618160986489399,0.04207320829432596,0.00482257112476759,1.0462961557433017,0.008900194116477812,0.0010682710978114896,1.0921893134805742,0.013138025079113165,0.000782717703471907,31.288747253416414,0.104389868414221,0.0358149302012808
Fixed Cut 20.0%,28048,8765,7011,19.997718132291283,N/A,1119.6340308189392,94.45780611038208,1214.0918369293213,27.785790115210737,0.32412295980194006,0.1368877555764161,0.7208174081561832,0.23470042820067438,0.07317663503462835,0.006314942002754521,0.006156988302366053,5.8619723493242986e-05,0.8737789852726134,0.03515457737273573,0.004414197878596579,1.0600371313855603,0.0031832335593923585,0.0009927071170690556,1.2123022796155065,0.007877883153702563,0.0009264241428732305,5.2765068102739265,0.10186601173180088,0.036076056578846126
Fixed Cut 25.0%,26295,8765,8764,24.997860749023076,N/A,1082.758172750473,131.69239282608032,1214.4505655765533,42.602360829832605,0.3267565429186946,0.13958792264626313,0.7284942464675488,0.2337823964587224,0.07276830642893771,0.007629851085161389,0.007423584292517286,7.256457997803742e-05,0.8695972381462113,0.03725758044379652,0.004614898008208001,1.117002856029586,0.0027488092792178663,0.0010260753095123864,1.1699348829566507,0.010001428931553601,0.0009432849160893211,7.74916998408631,0.10299505705408289,0.03650217531483141
Fixed Cut 30.0%,24542,8765,10517,29.998003365754872,N/A,934.0798761844635,60.08500409126282,994.1648802757263,25.14685386614799,0.32190067876208495,0.1354758095936761,0.7145022883351309,0.2259824887999692,0.06855128867969518,0.008841373164875255,0.008542395611385797,0.0001080126869712382,0.8456098190157076,0.05032188749594689,0.006715927950176329,1.1593778408042885,0.0035072324078875496,0.001214631828845527,1.2387563769196692,0.00818286325223595,0.0009513356434612559,4.852323594064615,0.1030729243882509,0.0355028343971377
Fixed Cut 35.0%,22789,8765,12270,34.99814598248667,N/A,923.3130037784576,83.60350894927979,1006.9165127277374,24.354910357795312,0.31781509812367603,0.1334255036734364,0.6778138262629619,0.22634017931424288,0.06868743069584494,0.00918185603001202,0.00896985617174481,0.00011318121022361109,0.8914760048962467,0.04204973311123399,0.006584513157415227,1.1559480427729847,0.0028781125955287226,0.0011365968737907658,1.195757056776526,0.009164148279140123,0.0009495128196307629,4.714181190755677,0.10120285459926055,0.035149456405057
Fixed Cut 40.0%,21036,8765,14023,39.99828859921846,N/A,890.7100441455841,68.55363512039185,959.263679265976,26.47600506492159,0.315002372557304,0.13128728887194138,0.7937120817929654,0.23649038036605446,0.0744884883362464,0.011842109270451756,0.01150921423190004,0.0001755519847881432,0.9033624447734446,0.040324441411659015,0.00650647470353823,1.0941075182421542,0.0022584039894202397,0.001155008716248963,1.0857330935131897,0.013825181216076433,0.0009606542447085818,5.060793718752291,0.10323499896206821,0.035762244476245264
Fixed Cut 45.0%,19283,8765,15776,44.998431215950255,N/A,964.0732772350311,83.47885322570801,1047.5521304607391,12.016333201876833,0.32847497051630004,0.14032546108057248,0.8596951898382323,0.24549041478584274,0.08007430683247278,0.008512084192797984,0.00832208302749626,0.000103219018864778,0.8775114449357861,0.04176729993645396,0.006373148533856246,1.0307584290864267,0.010399824782366868,0.001230414421671441,1.1756150466780064,0.011007403474143166,0.0009622415805853783,2.661404232768011,0.1075769994204331,0.03817813191133704
Fixed Cut 50.0%,17530,8765,17529,49.998573832682055,N/A,798.2909572124481,32.37723088264465,830.6681880950928,23.25307070566166,0.3300638841431409,0.1412201846144782,0.7677351218616121,0.23941705614359454,0.07610491703917725,0.007841415937923138,0.007576072779705118,8.08323262844512e-05,0.8915680352978087,0.04092015018913966,0.006484846448106916,1.1551601348069391,0.0037717967857222156,0.0011513217953816922,1.1822362552197276,0.009436721932551318,0.0009591813344222958,4.542935278130956,0.10519761366230788,0.03766688059297512
Fixed Cut 55.0%,15777,8765,19282,54.99871644941384,N/A,556.8922519683838,46.687875270843506,603.5801272392273,5.111045081050188,0.32357632946164955,0.14287546575324778,0.6166218394024997,0.2258138843610733,0.0696725893148107,0.007326431544570665,0.007134392060070603,7.123160037955218e-05,0.9168662308604797,0.03860257763175144,0.006414292373411997,1.1463210582789092,0.004122746842818789,0.001188470238340904,2.4984098514206927,0.007311964713033606,0.0009709341470638436,1.7160984154262173,0.10109364917839885,0.03686549723787592
Fixed Cut 60.0%,14024,8765,21035,59.99885906614564,N/A,659.0008149147034,25.676087141036987,684.6769020557404,36.25626738840675,0.3219363332615731,0.14510734490462557,0.5953982343855788,0.22535687213445174,0.07037426294861368,0.026440930850803384,0.026494511604773858,0.0010415964766441862,0.8625934360257221,0.05103578871692274,0.006929119802148193,1.0206436428527952,0.01957360655888261,0.0014481872722429954,1.3886082257742802,0.007843613614781681,0.0009958311109602193,6.6916586430493155,0.10870678764856367,0.03764939041920581
Fixed Cut 65.0%,12271,8765,22788,64.99900168287743,N/A,567.9057023525238,72.4239239692688,640.3296263217926,61.84653936695347,0.3307504779943496,0.1440666754077526,0.741624717402099,0.23880553564031817,0.0758155885736057,0.01084615982917674,0.01048784752665617,0.0001519829403292086,0.8669965272793645,0.04189513380177879,0.00634333762831157,1.0403878729116378,0.004922968264348731,0.001120335097778514,1.4355999071567618,0.006805682304968814,0.0009529973940214353,10.990332425255374,0.10561127425540294,0.03807515284029985
Fixed Cut 70.0%,10518,8765,24541,69.99914429960923,N/A,487.1899182796478,14.625126361846924,501.81504464149475,13.567214435838595,0.3245898442944337,0.13722185047804147,0.8210804824075312,0.2365758405144914,0.07449257315692265,0.007968085233181897,0.007763089043625276,8.45794140521341e-05,0.8274035219720479,0.05555157437696412,0.006900222625624213,1.0441228584954365,0.007362820968182819,0.0011952303844454213,1.111775040653568,0.01634429741302451,0.0010428288963575214,2.896594070766724,0.10803124443511947,0.036822880825907185
Fixed Cut 75.0%,8765,8765,26294,74.99928691634102,N/A,394.92577624320984,20.903101205825806,415.82887744903564,7.519585765807157,0.32997646681525167,0.14607239250633167,0.6240881256901636,0.23068399721970664,0.07270601060928941,0.0197831609790133,0.01884661596159571,0.0003803139313020159,0.8843317164328571,0.04235985488466762,0.006462285455858013,1.0416098863072496,0.019329218327876613,0.003904837636651186,1.0843988235685256,0.022167506651709693,0.001714808148606157,1.8622995797974944,0.1105606099768008,0.03854010804800637
Fixed Cut 80.0%,7012,8765,28047,79.99942953307281,N/A,334.3670289516449,14.028364181518555,348.39539313316345,2.0535610787288032,0.3361792880934524,0.16363697749296427,0.5443103536079762,0.24093011709798554,0.0849247652324762,0.00789858171068767,0.007767476429835228,9.304941454003413e-05,1.1742640955297206,0.03347556065855463,0.006730981517384035,1.067326901667422,0.005310676865693123,0.004307488418648485,1.9941276584965828,0.01802836067819737,0.0018947221252583668,1.1402481116235303,0.10694857997061974,0.04359799736687869
Fixed Cut 85.0%,5259,8765,29800,84.99957214980462,N/A,248.71000599861145,18.314429998397827,267.0244359970093,1.5877274870521128,0.3418414805008632,0.18476383167606103,0.5086766882072407,0.24553761049281625,0.09352077263955073,0.014052394442064195,0.012400959401104476,0.0007001528500102863,0.9558725120567751,0.04607901787029847,0.008162166416355705,1.3794377562753433,0.04058158883636635,0.5102048488323583,1.077022227347627,0.029343648948468106,0.003991213962228416,0.9204648442301933,0.11929738434165245,0.13355716439609425
Fixed Cut 90.0%,3506,8765,31553,89.99971476653641,N/A,211.57211685180664,21.680423974990845,233.25254082679749,11.714687290710458,0.3304126902413756,0.14538488783549763,0.6628569302391019,0.24194685582837533,0.07933085615404305,0.06325850935426683,0.008184654305151194,0.002374283532363763,0.9434392465068028,0.04103030683478557,0.007579111248351741,8.985877673485945,0.03668567969711721,0.49877302396270046,2.1358225748765176,0.01158280875289455,0.0051250653719542875,4.084323704195504,0.11164049927661666,0.12309453801748449
Window L1,26294,8765,8765,25.000713083658976,1.0909380912780762,987.8856780529022,135.42852997779846,1124.4051461219788,66.5753486772346,0.3223224150919508,0.1353592836180104,0.7899231082797894,0.2305148635771565,0.07076923565099079,0.009517299250032281,0.009298326813804639,0.00011961874051856353,0.8367738663968278,0.047554001618827266,0.0064304751915284855,1.0262464909426654,0.013751885152648972,0.0011656492147862356,1.2042783850326386,0.007047160434898131,0.0009175988334986341,11.740347971189458,0.10508144211488003,0.035793643541555585
Window L2,26294,8765,8765,25.000713083658976,0.5684018135070801,1111.2237730026245,129.6245551109314,1241.416729927063,22.663048513297728,0.3260356984390685,0.1382051721427225,0.752831232259997,0.23201285219967502,0.07156905699250697,0.008336117592483365,0.00806618533035713,9.69470915070867e-05,0.8423763693330687,0.044228191552051224,0.006269992675854776,1.1740307689582903,0.0023292476400261796,0.0010141420301187489,1.132808676980112,0.012317197739674086,0.0009634097613336923,4.428905279736944,0.10416489548347409,0.03635312011567388
Window Normal,10604,8765,24455,69.75384352092188,1.3904311656951904,517.7551112174988,20.207905054092407,539.3534474372864,36.84785183192045,0.3379466099538698,0.14853032952362943,0.7756042941583535,0.2411833207046374,0.07742561010402886,0.01456938794066826,0.013968223249665117,0.00024456715190499347,0.8843406631042192,0.045430830899176405,0.006736251837820119,1.302705333902672,0.0027298100134605977,0.0011850755040081604,1.2418975847937468,0.00985692014626786,0.000991685929966716,6.844494849303366,0.10851928582784515,0.0391855866752263
Window RBF,27374,8765,7685,21.920191676887534,187.54540395736694,1092.0446870326996,87.23835921287537,1366.828450202942,30.791911004371315,0.32796895477487487,0.13985808913433187,0.7536632751956592,0.23609213829718512,0.07412724993093077,0.006591154254993606,0.006401040197982705,5.7754970848347064e-05,0.8552759879973983,0.03689146179152137,0.004494309636413505,1.0733063035591093,0.00952500316887103,0.001108699741546929,1.1103371986386235,0.010962264440197085,0.0009299055129767678,5.76518082066955,0.10464014377843743,0.03676266815450801
Window Cosine,26294,8765,8765,25.000713083658976,50.353017807006836,1002.8409218788147,46.77530598640442,1099.969245672226,146.22632286784224,0.3164169524675431,0.13007101722018427,0.8357776015470751,0.24369512403575988,0.07903023300160184,0.007468203030805381,0.007246897400469989,7.202936262219999e-05,0.8921591851758667,0.04146424438871757,0.006533800848661813,1.022526047197612,0.01192018998008417,0.00110057879820369,1.1682131544555288,0.011094613257393712,0.0009537399296737675,25.025411176541642,0.10530633692166042,0.03629356652682456
