Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,377.6111297607422,12.6594717502594,390.2706015110016,1.1725526151236496,0.2216582000523132,0.06484091700754367,0.41373081614565427,0.04876863841559003,0.0024285739896982364,1.180820132855563,0.06335969223666323,0.0375701018235371,1.5627817311735586,0.13292215529622212,0.033994601594416064,3.4425449503496677,0.3987278136490551,0.19400922111485958,1.4533592342411794,0.0795596868956644,0.04412441208365573,1.1326635194277994,0.11214194712819142,0.0591721064072317,1.5577431404783326,0.0550535669843029,0.03274678867416802,1.4895245174744258,0.13902396258225003,0.05861084033688882
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,333.8927900791168,30.078649044036865,363.9714391231537,1.1352168551704864,0.23737054346246633,0.06912857584452917,0.18951825953473425,0.026711304969225955,0.0007259573016823081,1.0738009051411586,0.06369393590458144,0.0394225496974319,1.5529197800207588,0.13272359866373606,0.0337269167346644,3.667102611063604,0.4000840325917469,0.19177882293662968,1.6537106280934282,0.08745209049520011,0.04486161669517076,1.1781428421736262,0.11254868652281538,0.05880675979673452,1.8810841499286926,0.05061818132277325,0.03487728283823742,1.5414370038908112,0.13890029674156817,0.05916606023063506
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,329.80608582496643,18.917500972747803,348.72358679771423,1.1182637173296694,0.25280934682614686,0.07491377699732711,0.18704140171234546,0.026121436967403627,0.0007270915854784883,1.528638788527464,0.0639769608384243,0.037993476394270455,1.4350662293167364,0.12974290029217514,0.032505034381699854,2.433643579242001,0.3672205881913361,0.16926833844113065,1.25379966772945,0.07858143090131135,0.04339303817442766,2.2557623365402337,0.12575407316900453,0.05877920844503735,1.3865146786178624,0.06556599882251321,0.03417379645425345,1.44984129987697,0.13872159200103934,0.05646922010920312
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,317.8882429599762,12.778621912002563,330.66686487197876,1.1963411419290662,0.19923089489115467,0.05748968427868996,0.16206552695352033,0.024558253953654234,0.0006247049959278825,4.0568198352174,0.0707437513762321,0.03798424343283323,1.55860858053648,0.13269634012901085,0.03389061872796114,2.3077395841148403,0.3610377420151663,0.1657916045427361,1.2759627901384039,0.07662266280290747,0.04238512188980984,67.52122933652332,0.14045618238554566,0.060170886718287714,1.336683184097036,0.07341614655034016,0.03451489868791946,9.926931247438777,0.13484524676300125,0.05410647040927066
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,310.2568838596344,14.766687870025635,325.02357172966003,1.1472135240428019,0.23939426930888733,0.07079690957193274,0.00797775731384743,0.007929699509469762,0.0001108036192280631,1.1901916067247973,0.06311315142906264,0.03973184449560613,0.8405672134408726,0.10743485741452691,0.025108844162568377,1.9620171697788098,0.3449746786290707,0.15638802701998986,3.5387516910982377,0.08585148812930697,0.04742897574051258,0.9581714752308252,0.13158837634394,0.0671418415448455,1.4504801669026905,0.06798312171009209,0.03579530701488049,1.3869213255666106,0.13103370530929442,0.05531281914619549
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,286.36466789245605,11.630360126495361,297.9950280189514,1.146401753440787,0.22919016801774023,0.06616725056713749,0.006119904192309777,0.00615752126831791,5.7475377136436895e-05,1.3863958320064818,0.06273733800570143,0.038231386538330796,0.909044392705823,0.11069119216368044,0.026384081738490873,1.8576750199689758,0.33930611696881063,0.1514590116837128,1.594076380221336,0.08334356598548452,0.04449599118948313,1.5131854620142533,0.11673303492090818,0.058228325370519154,1.3323065375441085,0.07078154251580929,0.0337087432050361,1.2181506602617596,0.12736755998080643,0.052341533208730834
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,277.2051751613617,8.775215148925781,285.9803903102875,1.1745867475154674,0.20586618364950288,0.058528998300346746,0.007321227851627676,0.0073457513354099465,8.483819668003676e-05,1.501809009636209,0.06528828010286626,0.04274559127045599,0.9839511012526383,0.1114778081033929,0.0270719385968176,1.676945654896159,0.32533024734006527,0.1437380587138361,5.650060968763775,0.099380800979946,0.04902256027915573,0.7734219349072952,0.11252874005310658,0.062303632412962336,3.011917710406472,0.04817365173288676,0.037374809889601214,1.8475017944037069,0.12192393291214695,0.052608803457482034
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,257.3551869392395,24.32005476951599,281.6752417087555,1.105830923951864,0.2705329806361311,0.08297975869854615,0.003963336044150911,0.0038959670759761552,7.522887743199241e-05,1.0306092898341108,0.06255449861807967,0.03746608489123364,0.80700753903717,0.10715458168187529,0.024898016976057966,3.168654152650009,0.3916723236161803,0.1871873801118697,2.141558737085579,0.07875235734147745,0.04159014847513125,1.225912265053419,0.10991868182551617,0.05769596325305088,1.4523389321660998,0.060210335860547644,0.03405306253155633,1.3669843969778,0.13558646583197284,0.05824320547685981
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,211.34485125541687,12.721918106079102,224.06676936149597,1.0852634912317454,0.3005221860032299,0.09737831780739231,0.012745543740168622,0.012533971227845301,0.00020684445304024415,1.9269568518643927,0.06603691233556727,0.03938814233114783,0.769447606622468,0.10540780381033274,0.02413100613105228,3.611264867996015,0.401289757449343,0.19365406705048607,1.3149593989601291,0.07293908835907564,0.04224879176773394,1.4784699230519587,0.11395599763479694,0.057711340135733834,1.3690626390561016,0.06871087547144232,0.03449202397541665,1.4460212903153726,0.142674574036454,0.06115131670650049
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,258.95913076400757,10.552933692932129,269.5120644569397,1.1252991004355868,0.2561353773639424,0.07743681032935157,0.011838829788043964,0.012001344699520855,0.00018696446555586585,139.93225549476847,0.07742813600164279,0.038234726867565884,1.1500524586873506,0.12043697375339261,0.029971197311429117,6.7493773900638105,0.4196280338571704,0.20764074910285762,1.0627373248471015,0.07083189993290746,0.03906709880996166,1.5442168754062913,0.1244965375969016,0.06073498664450206,1.3377714454980412,0.07643989865625762,0.03519981720124463,19.114193614936806,0.1446747752327168,0.06105904384155857
Fixed Cut 50.0%,3743,1872,3742,49.993319973279895,N/A,214.3566439151764,20.239903926849365,234.59654784202576,1.1770906306397237,0.21355317391613765,0.061996654188336255,0.006803261498360529,0.006690714276848066,0.00012747627844613186,1.8436809091489408,0.06530221270039066,0.03601012424435137,0.8784620411807312,0.11017951403970859,0.026120250631551416,3.6234261338835703,0.39820731291023304,0.19256077797773263,1.1034607406733146,0.06504408885712466,0.03996920245356655,1.3043195341167315,0.11365886888234826,0.05847296067657964,1.2923445050880384,0.07557413898357798,0.03312669808225827,1.4036984695286778,0.131026253070796,0.056048018066602756
Fixed Cut 55.0%,3369,1872,4116,54.98997995991984,N/A,183.81725311279297,10.525312185287476,194.34256529808044,1.2107815233058075,0.18355555736816484,0.05257004358734523,0.014527160218807674,0.014250636325329061,0.0002703925252630954,1.4004646372543348,0.06388880592466717,0.03970612624033734,0.5555168369784633,0.10258797526319777,0.020504629575749767,2.336169637905726,0.36263950442657594,0.1666156314498222,1.2890946876791183,0.07089657177028233,0.04155618249514848,1.013493056095424,0.10889988234255811,0.058700503914441836,1.3845125042562223,0.06293557226309748,0.03285402944723849,1.1505700054617378,0.12120681321048395,0.05159719240441841
Fixed Cut 60.0%,2994,1872,4491,60.0,N/A,250.70192193984985,11.533091068267822,262.2350130081177,1.2528750651815217,0.1744606658498425,0.05184466972948934,0.012401964914419417,0.012559234133577707,0.0001988353024902167,1.39187505107726,0.06387327501175381,0.0404459693658265,0.5166676133395557,0.10815428995245428,0.020372919486587152,1.5133790932739863,0.31587881149296165,0.13734809024316133,1.2224042763688465,0.06530319482936604,0.04101910207318173,0.7001049481378986,0.11213061410689124,0.06346731299765553,1.3447112898801252,0.07817407550088473,0.035756098807543636,0.9943024127717022,0.11631677010971636,0.048806624750741975
Fixed Cut 65.0%,2620,1872,4865,64.99665998663995,N/A,236.86882281303406,4.327043056488037,241.1958658695221,1.316970815100261,0.21328179059324404,0.06707950691078275,0.030766717017070917,0.02957810928285186,0.001428334285908322,14.392560867185932,0.07298993951689343,0.04864772284268618,0.5298280544315436,0.11432213876792008,0.022294379888317846,2.0215776931619365,0.34562726809392924,0.16200595752764074,9.632678445562245,0.07042245713500676,0.047683348380816275,0.5924242970011883,0.12165710522585715,0.07257592023373939,1.8353051992554767,0.08258386347719478,0.04232552074086876,3.7940140110894616,0.13130783401161206,0.05800508635134503
Fixed Cut 70.0%,2246,1872,5239,69.99331997327988,N/A,450.3736209869385,14.796717882156372,465.17033886909485,1.4289079573518324,0.13044688994019243,0.045500169000830586,0.008800311474612249,0.00869794016847863,0.00010679545679426165,2.7275144584674136,0.06650932473857972,0.03545300994515069,0.5020334025247354,0.11709175695567749,0.021617418608142838,0.7176282927570276,0.22932298539247867,0.09369705835934408,3.1806430049618633,0.07342635855610422,0.03583636903103382,1.3863370770274295,0.11534089743801222,0.058659712127730176,1.3759139349269134,0.06968028927872665,0.03459254049840944,1.4159723049364783,0.10131455530853122,0.040682884128429464
