Approach,# Train,# Test,Cut,% Cut,Cut Seconds,Train Seconds,Total Seconds,CO(GT)_MAPE,CO(GT)_MAE,CO(GT)_MSE,NMHC(GT)_MAPE,NMHC(GT)_MAE,NMHC(GT)_MSE,C6H6(GT)_MAPE,C6H6(GT)_MAE,C6H6(GT)_MSE,NOx(GT)_MAPE,NOx(GT)_MAE,NOx(GT)_MSE,NO2(GT)_MAPE,NO2(GT)_MAE,NO2(GT)_MSE,T_MAPE,T_MAE,T_MSE,RH_MAPE,RH_MAE,RH_MSE,AH_MAPE,AH_MAE,AH_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7485,1872,N/A,N/A,N/A,20.76288604736328,20.76288604736328,34.96157243689335,0.21813824415820532,0.061187027548386175,0.34857292703508175,0.05863295660808774,0.003521247059360159,0.9994651531391706,0.059263472302615805,0.03029002817002251,0.5023353847604595,0.11465991932974721,0.028137172678752494,0.5942668927245283,0.322750833797018,0.1379861087176101,184901364692.66312,0.0768828767790232,0.03458561131521214,0.3162670267747649,0.1142318679355744,0.04502428978632854,9.44673854359921,0.0592884377888673,0.027061270807735682,23112670592.47898,0.12798107608739195,0.04597409451042598
Fixed Cut 5.0%,7111,1872,374,4.996659986639947,N/A,19.97294306755066,19.97294306755066,34.05421056544933,0.21554563246182398,0.06051062968005115,0.3563984451320711,0.05994927588428445,0.003640321919285578,0.851537836956239,0.05759811002609367,0.03057415111060031,0.5289873547320766,0.12544267046292057,0.03098051283165975,0.6678511380986307,0.3577305895722193,0.16240906448302858,148118402609.01205,0.06348436128218675,0.033487678540796546,0.36649997659378836,0.13205168191377503,0.05307848160960578,9.236419508562392,0.059642029377945056,0.02734981013614774,18514800331.884247,0.13393054387265574,0.050253831288896995
Fixed Cut 10.0%,6737,1872,748,9.993319973279894,N/A,22.798470735549927,22.798470735549927,31.723299113668805,0.19672271920247628,0.05303134649215238,0.09256535353897086,0.015570286549868941,0.00025680066758576445,1.1107837937499887,0.05762862896626821,0.031734706974494105,0.5019837759029075,0.11735001242493824,0.027867571764821443,0.6595666671125157,0.3481983253356687,0.15233567331456738,157272915258.13367,0.06758865136177386,0.03607209626860247,0.29941713578870455,0.10670447998423999,0.04738699138955159,9.121794054179116,0.06039381815397493,0.029329161921514694,19659114412.70538,0.12126961524740111,0.04725179359916126
Fixed Cut 15.0%,6363,1872,1122,14.989979959919838,N/A,19.61452007293701,19.61452007293701,33.014054513242556,0.2054057791163391,0.055742481073009845,0.047697079093083176,0.00844943828043989,0.00010993792794019696,0.741679289978031,0.05400244234443989,0.02934934181126733,0.4841962147038652,0.10827229638487043,0.024709308975151157,0.6102067925218003,0.32915868744274085,0.1414980695065246,180985337582.34406,0.07288532867589842,0.0348469071979787,0.314950339298746,0.11364732272901419,0.04701629036890516,10.193398763878411,0.061481820496555886,0.026832622556467102,22623167203.468807,0.11916288943378725,0.04501311992715552
Fixed Cut 20.0%,5988,1872,1497,20.0,N/A,20.667826890945435,20.667826890945435,27.510419104495895,0.17731984690884803,0.048280083248361076,0.005102324294021238,0.005102324294021238,5.9104392244529936e-05,1.4073279560883816,0.05774608459341822,0.03002212900528907,0.47434154797477085,0.10695083965320329,0.02460014859356776,0.5531584435069874,0.30133886395329107,0.12391956753671651,207064867657.31195,0.08156205690005351,0.03825180973778054,0.30776617212501983,0.110946531407587,0.047452456529978454,4.610785433573524,0.04628353520857324,0.025981052160610196,25883108461.522633,0.11090626036487429,0.04232079390056851
Fixed Cut 25.0%,5614,1872,1871,24.996659986639948,N/A,25.541074991226196,25.541074991226196,32.79209028223007,0.19808264926969205,0.05248023804126811,0.01906339291273429,0.01906339291273429,0.0007972110982501407,1.3192301930083212,0.05518825692797315,0.026307850646891312,0.5400849693992263,0.12684440292872748,0.029704399417000493,0.659376111474065,0.34798751209149814,0.15228690423951236,215516122591.76593,0.08525968441904071,0.03182062357759789,0.3056835669984869,0.10801396137133201,0.04051810451693285,7.619638186125944,0.0506737321392727,0.02279209009237942,26939515329.377693,0.12388919900753376,0.04458842770372908
Fixed Cut 30.0%,5240,1872,2245,29.993319973279892,N/A,17.806581020355225,17.806581020355225,32.20794740704037,0.20480037344499183,0.056595503974365545,0.014087738652011983,0.014087738652011983,0.00040765962866366257,1.008728585393075,0.05389477894439214,0.023835713440507007,0.5538472317122245,0.10455386865728028,0.024133397925518045,0.602590381696107,0.3284249614350473,0.14291133886974441,184248933396.121,0.06797773380442536,0.02863367784373973,0.327515793214272,0.11505858635568028,0.04116437743768129,10.48228303001276,0.05981223505242286,0.02556883594851309,23031116680.16477,0.11857628454328137,0.04290631313359158
Fixed Cut 35.0%,4866,1872,2619,34.98997995991984,N/A,14.35059404373169,14.35059404373169,35.06732685521436,0.21694013456531247,0.0602700286730833,0.014501259793544902,0.014501259793544902,0.00037964830680904844,2.186466832438352,0.0645646247941751,0.030150379844609613,0.5274291090470341,0.11145512425312643,0.026901921057017084,0.7133180518695894,0.37188112235813664,0.17027983144319425,208045718579.18964,0.07854341898161829,0.034227671439250436,0.33764816752378735,0.10709504975042937,0.047935319819991724,2.141009389749881,0.039619547603923194,0.025247715262722223,26005714827.522182,0.12557503526253316,0.04942406448083472
Fixed Cut 40.0%,4492,1872,2993,39.98663994655979,N/A,11.758220911026001,11.758220911026001,37.05588937275204,0.2248618047907589,0.06275106376348431,0.008755320358532045,0.008755320358532045,0.00013736312758661303,1.464350360037577,0.0628882663025054,0.033260394562523485,0.48519044551835994,0.10757516761465201,0.025238881874174807,0.672662867500563,0.35593631654502844,0.15865121708997157,138452936023.51117,0.06347194001634703,0.03395333143450062,0.33092675707401775,0.11619108603261911,0.04756352642824511,16.14136300748049,0.07660029162512733,0.027703294511916693,17306617009.958794,0.12703502416069615,0.0486573840990504
Fixed Cut 45.0%,4117,1872,3368,44.99665998663995,N/A,17.65209698677063,17.65209698677063,32.61675418871132,0.20323425993337707,0.05535610871049212,0.006827490003754562,0.006827490003754562,8.267812557188996e-05,1.6672958717881305,0.057837031539555536,0.028052421366267687,0.4929561550415635,0.09578434483777837,0.020713814766456833,0.7200489176931942,0.37432301341047486,0.1705571682925374,191535732594.2753,0.07444980874441905,0.0312024388165576,0.3256151850246096,0.09963700981033072,0.046108167785745606,3.0153546192608496,0.040997406881762066,0.02466697836678943,23941966579.139965,0.11913629564518137,0.04709247202880229
